file,Corrected,TN,FN,FP,TP,Kappa,
blood_trans,F,199,19,1,1,0.08,
blood_trans,T,48,0,152,20,0.05,
biodegrad,F,235,5,5,19,0.77,
biodegrad,T,187,0,53,24,0.39,
breast,F,20,0,0,2,1,
breast,T,20,0,0,2,1,
ecoli,F,50,0,0,5,1,
ecoli,T,50,0,0,5,1,
fertility,F,30,0,0,3,1,
fertility,T,30,0,0,3,1,
haberman,F,79,7,1,1,0.17,
haberman,T,0,0,80,8,0,
liver,F,140,14,0,0,0,
liver,T,24,0,116,14,0.04,
ionosphere,F,80,0,0,8,1,
ionosphere,T,80,0,0,8,1,
mammo,F,148,8,2,7,0.55,
mammo,T,90,0,60,15,0.21,
parkinson,F,50,0,0,5,1,
parkinson,T,50,0,0,5,1,
seeds,F,50,0,0,5,1,
seeds,T,50,0,0,5,1,
blood_trans,F,200,20,0,0,0,
blood_trans,T,0,0,200,20,0,
biodegrad,F,224,3,16,21,0.65,
biodegrad,T,224,3,16,21,0.65,
breast,F,20,0,0,2,1,
breast,T,20,0,0,2,1,
ecoli,F,50,0,0,5,1,
ecoli,T,50,0,0,5,1,
fertility,F,30,0,0,3,1,
fertility,T,30,0,0,3,1,
haberman,F,80,8,0,0,0,
haberman,T,0,0,80,8,0,
liver,F,140,14,0,0,0,
liver,T,31,0,109,14,0.05,
ionosphere,F,80,0,0,8,1,
ionosphere,T,80,0,0,8,1,
mammo,F,149,12,1,3,0.29,
mammo,T,72,0,78,15,0.14,
parkinson,F,50,0,0,5,1,
parkinson,T,50,0,0,5,1,
seeds,F,50,0,0,5,1,
seeds,T,50,0,0,5,1,
blood_trans,F,200,19,0,1,0.09,
blood_trans,T,1,0,199,20,0,
biodegrad,F,235,5,5,19,0.77,
biodegrad,T,196,0,44,24,0.45,
breast,F,20,0,0,2,1,
breast,T,20,0,0,2,1,
ecoli,F,50,0,0,5,1,
ecoli,T,50,0,0,5,1,
fertility,F,30,0,0,3,1,
fertility,T,30,0,0,3,1,
haberman,F,80,5,0,3,0.52,
haberman,T,0,0,80,8,0,
liver,F,140,14,0,0,0,
liver,T,30,0,110,14,0.05,
ionosphere,F,80,0,0,8,1,
ionosphere,T,80,0,0,8,1,
mammo,F,149,12,1,3,0.29,
mammo,T,63,0,87,15,0.12,
parkinson,F,50,0,0,5,1,
parkinson,T,50,0,0,5,1,
seeds,F,50,0,0,5,1,
seeds,T,50,0,0,5,1,
blood_trans,F,199,20,1,0,-0.01,
blood_trans,T,3,0,197,20,0,
biodegrad,F,240,0,0,24,1,
biodegrad,T,240,0,0,24,1,
breast,F,20,0,0,2,1,
breast,T,20,0,0,2,1,
ecoli,F,50,0,0,5,1,
ecoli,T,50,0,0,5,1,
fertility,F,30,0,0,3,1,
fertility,T,30,0,0,3,1,
haberman,F,79,8,1,0,-0.02,
haberman,T,0,0,80,8,0,
liver,F,140,13,0,1,0.12,
liver,T,36,0,104,14,0.06,
ionosphere,F,80,0,0,8,1,
ionosphere,T,80,0,0,8,1,
mammo,F,148,13,2,2,0.18,
mammo,T,16,0,134,15,0.02,
parkinson,F,50,0,0,5,1,
parkinson,T,50,0,0,5,1,
seeds,F,50,0,0,5,1,
seeds,T,50,0,0,5,1,
blood_trans,F,200,18,0,2,0.17,
blood_trans,T,4,0,196,20,0,
biodegrad,F,237,8,3,16,0.72,
