file,cost,sigma,nSV_0,nSV_1,TN,FN,FP,TP,Kappa,
blood_trans,0.5,0.1,35,25,203,0,0,200,1,
biodegrad,0.5,0.1,140,69,244,0,0,240,1,
breast,0.5,0.1,8,6,20,0,0,6,1,
ecoli,0.5,0.1,11,11,50,0,0,47,1,
fertility,0.5,0.1,24,12,30,0,0,14,1,
haberman,0.5,0.1,21,20,81,0,0,80,1,
liver,0.5,0.1,61,37,142,0,0,140,1,
ionosphere,0.5,0.1,40,47,81,0,0,80,1,
mammo,0.5,0.1,52,39,152,0,0,150,1,
parkinson,0.5,0.1,29,15,50,0,0,39,1,
seeds,0.5,0.1,11,8,50,0,0,40,1,
blood_trans,0.5,0.1,36,27,203,0,0,200,1,
biodegrad,0.5,0.1,139,63,244,0,0,240,1,
breast,0.5,0.1,9,6,19,0,1,8,1,
ecoli,0.5,0.1,8,7,50,0,0,42,1,
fertility,0.5,0.1,26,10,30,0,0,11,1,
haberman,0.5,0.1,30,19,81,0,0,80,1,
liver,0.5,0.1,61,40,142,0,0,140,1,
ionosphere,0.5,0.1,39,46,81,0,0,80,1,
mammo,0.5,0.1,47,40,152,0,0,150,1,
parkinson,0.5,0.1,25,13,50,0,0,36,1,
seeds,0.5,0.1,13,14,50,0,0,40,1,
blood_trans,0.5,0.1,33,29,203,0,0,200,1,
biodegrad,0.5,0.1,144,72,244,0,0,240,1,
breast,0.5,0.1,6,5,20,0,0,6,1,
ecoli,0.5,0.1,10,12,50,0,0,42,1,
fertility,0.5,0.1,23,11,30,0,0,15,1,
haberman,0.5,0.1,23,24,81,0,0,80,1,
liver,0.5,0.1,66,37,142,0,0,140,1,
ionosphere,0.5,0.1,38,39,81,0,0,80,1,
mammo,0.5,0.1,48,39,152,0,0,150,1,
parkinson,0.5,0.1,31,22,50,0,0,43,1,
seeds,0.5,0.1,9,8,50,0,0,35,1,
blood_trans,0.5,0.1,34,30,203,0,0,200,1,
biodegrad,1,0.1,123,61,244,0,0,240,1,
breast,0.5,0.1,5,4,20,0,0,6,1,
ecoli,0.5,0.1,11,12,50,0,0,46,1,
fertility,0.5,0.1,26,11,30,0,0,13,1,
haberman,0.5,0.1,22,19,81,0,0,80,1,
liver,0.5,0.1,55,40,142,0,0,140,1,
ionosphere,0.5,0.1,36,40,81,0,0,80,1,
mammo,0.5,0.1,57,45,152,0,0,150,1,
parkinson,0.5,0.1,30,22,50,0,0,39,1,
seeds,0.5,0.1,13,11,50,0,0,38,1,
blood_trans,0.5,0.1,28,26,203,0,0,200,1,
biodegrad,0.5,0.1,147,87,244,0,0,240,1,
breast,0.5,0.1,5,3,20,0,0,3,1,
ecoli,0.5,0.1,14,15,50,0,0,42,1,
fertility,0.5,0.1,24,15,30,0,0,17,1,
haberman,0.5,0.1,23,19,81,0,0,80,1,
liver,0.5,0.1,60,33,142,0,0,140,1,
ionosphere,0.5,0.1,40,45,81,0,0,80,1,
mammo,0.5,0.1,44,39,152,0,0,150,1,
parkinson,0.5,0.1,30,19,50,0,0,38,1,
seeds,0.5,0.1,11,8,50,0,0,43,1,
blood_trans,0.5,0.1,29,26,203,0,0,200,1,
biodegrad,1,0.1,142,52,244,0,0,240,1,
breast,1,0.1,7,2,20,0,0,2,1,
ecoli,0.5,0.1,10,10,50,0,0,38,1,
fertility,0.5,0.1,24,13,30,0,0,15,1,
haberman,0.5,0.1,23,22,81,0,0,80,1,
liver,0.5,0.1,58,43,142,0,0,140,1,
ionosphere,0.5,0.1,45,52,81,0,0,80,1,
mammo,1,0.1,41,30,152,0,0,150,1,
parkinson,0.5,0.1,32,22,50,0,0,36,1,
seeds,0.5,0.1,16,11,50,0,0,38,1,
blood_trans,0.5,0.1,29,27,203,0,0,200,1,
biodegrad,0.5,0.1,140,76,244,0,0,240,1,
breast,0.5,0.1,10,5,20,0,0,5,1,
ecoli,0.5,0.1,13,13,50,0,0,39,1,
fertility,0.5,0.1,26,11,30,0,0,15,1,
haberman,0.5,0.1,27,22,81,0,0,80,1,
liver,0.5,0.1,63,40,142,0,0,140,1,
ionosphere,0.5,0.1,38,35,81,0,0,80,1,
mammo,0.5,0.1,46,44,152,0,0,150,1,
parkinson,0.5,0.1,28,18,50,0,0,43,1,
seeds,0.5,0.1,12,11,50,0,0,41,1,
blood_trans,0.5,0.1,33,27,203,0,0,200,1,
biodegrad,0.5,0.1,151,75,244,0,0,240,1,
breast,0.5,0.1,7,3,20,0,0,3,1,
ecoli,0.5,0.1,11,10,50,0,0,42,1,
fertility,0.5,0.1,20,10,30,0,0,11,1,
haberman,0.5,0.1,24,20,81,0,0,80,1,
liver,0.5,0.1,60,36,142,0,0,140,1,
ionosphere,0.5,0.1,45,48,81,0,0,80,1,
mammo,0.5,0.1,42,33,152,0,0,150,1,
parkinson,0.5,0.1,30,20,50,0,0,44,1,
seeds,0.5,0.1,12,9,50,0,0,41,1,
blood_trans,0.5,0.1,26,28,203,0,0,200,1,
biodegrad,0.5,0.1,147,83,244,0,0,240,1,
breast,0.5,0.1,7,3,20,0,0,3,1,
ecoli,0.5,0.1,13,15,50,0,0,40,1,
fertility,0.5,0.1,23,11,30,0,0,12,1,
haberman,0.5,0.1,22,21,81,0,0,80,1,
liver,0.5,0.1,59,33,142,0,0,140,1,
ionosphere,0.5,0.1,37,43,81,0,0,80,1,
mammo,0.5,0.1,58,45,152,0,0,150,1,
parkinson,0.5,0.1,32,25,50,0,0,41,1,
seeds,0.5,0.1,11,8,50,0,0,41,1,
blood_trans,0.5,0.1,27,26,203,0,0,200,1,
biodegrad,0.5,0.1,147,78,244,0,0,240,1,
breast,0.5,0.1,6,6,20,0,0,8,1,
ecoli,0.5,0.1,10,9,50,0,0,46,1,
fertility,0.5,0.1,24,10,30,0,0,12,1,
haberman,0.5,0.1,22,22,81,0,0,80,1,
liver,0.5,0.1,71,40,142,0,0,140,1,
ionosphere,0.5,0.1,45,46,81,0,0,80,1,
mammo,0.5,0.1,48,37,152,0,0,150,1,
parkinson,0.5,0.1,23,13,50,0,0,40,1,
seeds,0.5,0.1,16,11,50,0,0,45,1,
