file,cost,gamma,nu,TN,FN,FP,TP,Kappa,
blood_trans,0.01,0.1,0.05,399,0,0,20,1,
biodegrad,0.01,0.1,0.05,490,0,0,24,1,
breast,0.01,0.1,0.05,35,0,0,2,1,
ecoli,0.01,0.1,0.05,101,0,0,5,1,
fertility,0.01,0.1,0.05,62,0,0,3,1,
haberman,0.01,0.1,0.05,158,0,0,8,1,
liver,0.01,0.1,0.05,290,0,0,14,1,
ionosphere,0.01,0.1,0.05,158,0,0,8,1,
mammo,0.01,0.1,0.05,300,0,0,15,1,
parkinson,0.01,0.1,0.05,103,0,0,5,1,
seeds,0.01,0.1,0.05,98,0,0,5,1,
blood_trans,0.01,0.1,0.05,399,0,0,20,1,
biodegrad,0.01,0.1,0.05,490,0,0,24,1,
breast,0.01,0.1,0.05,35,0,0,2,1,
ecoli,0.01,0.1,0.05,101,0,0,5,1,
fertility,0.01,0.1,0.05,62,0,0,3,1,
haberman,0.01,0.1,0.05,158,0,0,8,1,
liver,0.01,0.1,0.05,290,0,0,14,1,
ionosphere,0.01,0.1,0.05,158,0,0,8,1,
mammo,0.01,0.1,0.05,300,0,0,15,1,
parkinson,0.01,0.1,0.05,103,0,0,5,1,
seeds,0.01,0.1,0.05,98,0,0,5,1,
blood_trans,0.01,0.34,0.05,399,0,0,20,1,
biodegrad,0.01,0.1,0.05,490,0,0,24,1,
breast,0.01,0.1,0.05,35,0,0,2,1,
ecoli,0.01,0.1,0.05,101,0,0,5,1,
fertility,0.01,0.1,0.05,62,0,0,3,1,
haberman,0.01,0.1,0.05,158,0,0,8,1,
liver,0.01,0.1,0.05,290,0,0,14,1,
ionosphere,0.01,0.1,0.05,158,0,0,8,1,
mammo,0.01,0.1,0.05,300,0,0,15,1,
parkinson,0.01,0.1,0.05,103,0,0,5,1,
seeds,0.01,0.1,0.05,98,0,0,5,1,
blood_trans,0.01,0.1,0.05,399,0,0,20,1,
biodegrad,0.01,0.1,0.05,490,0,0,24,1,
breast,0.01,0.1,0.05,35,0,0,2,1,
ecoli,0.01,0.1,0.05,101,0,0,5,1,
fertility,0.01,0.1,0.05,62,0,0,3,1,
haberman,0.01,0.1,0.05,158,0,0,8,1,
liver,0.01,0.1,0.05,290,0,0,14,1,
ionosphere,0.01,0.1,0.05,158,0,0,8,1,
mammo,0.01,0.1,0.05,300,0,0,15,1,
parkinson,0.01,0.1,0.05,103,0,0,5,1,
seeds,0.01,0.1,0.05,98,0,0,5,1,
blood_trans,0.01,0.1,0.05,399,0,0,20,1,
biodegrad,0.01,0.1,0.05,490,0,0,24,1,
breast,0.01,0.1,0.05,35,0,0,2,1,
ecoli,0.01,0.1,0.05,101,0,0,5,1,
fertility,0.01,0.1,0.05,62,0,0,3,1,
haberman,0.01,0.1,0.05,158,0,0,8,1,
liver,0.01,0.1,0.05,290,0,0,14,1,
ionosphere,0.01,0.1,0.05,158,0,0,8,1,
mammo,0.01,0.1,0.05,300,0,0,15,1,
parkinson,0.01,0.1,0.05,103,0,0,5,1,
seeds,0.01,0.1,0.05,98,0,0,5,1,
blood_trans,0.01,0.4,0.05,399,0,0,20,1,
biodegrad,0.01,0.1,0.05,490,0,0,24,1,
breast,0.01,0.1,0.05,35,0,0,2,1,
ecoli,0.01,0.1,0.05,101,0,0,5,1,
fertility,0.01,0.1,0.05,62,0,0,3,1,
haberman,0.01,0.1,0.05,158,0,0,8,1,
liver,0.01,0.1,0.05,290,0,0,14,1,
ionosphere,0.01,0.1,0.05,158,0,0,8,1,
mammo,0.01,0.1,0.05,300,0,0,15,1,
parkinson,0.01,0.1,0.05,103,0,0,5,1,
seeds,0.01,0.1,0.05,98,0,0,5,1,
blood_trans,0.01,0.28,0.05,399,0,0,20,1,
biodegrad,0.01,0.1,0.05,490,0,0,24,1,
breast,0.01,0.1,0.05,35,0,0,2,1,
ecoli,0.01,0.1,0.05,101,0,0,5,1,
fertility,0.01,0.1,0.05,62,0,0,3,1,
haberman,0.01,0.1,0.05,158,0,0,8,1,
liver,0.01,0.1,0.05,290,0,0,14,1,
ionosphere,0.01,0.1,0.05,158,0,0,8,1,
mammo,0.01,0.1,0.05,300,0,0,15,1,
parkinson,0.01,0.1,0.05,103,0,0,5,1,
seeds,0.01,0.1,0.05,98,0,0,5,1,
blood_trans,0.01,0.82,0.05,399,0,0,20,1,
biodegrad,0.01,0.1,0.05,490,0,0,24,1,
breast,0.01,0.1,0.05,35,0,0,2,1,
ecoli,0.01,0.1,0.05,101,0,0,5,1,
fertility,0.01,0.1,0.05,62,0,0,3,1,
haberman,0.01,0.1,0.05,158,0,0,8,1,
liver,0.01,0.1,0.05,290,0,0,14,1,
ionosphere,0.01,0.1,0.05,158,0,0,8,1,
mammo,0.01,0.1,0.05,300,0,0,15,1,
parkinson,0.01,0.1,0.05,103,0,0,5,1,
seeds,0.01,0.1,0.05,98,0,0,5,1,
blood_trans,0.01,0.4,0.05,399,0,0,20,1,
biodegrad,0.01,0.1,0.05,490,0,0,24,1,
breast,0.01,0.1,0.05,35,0,0,2,1,
ecoli,0.01,0.1,0.05,101,0,0,5,1,
fertility,0.01,0.1,0.05,62,0,0,3,1,
haberman,0.01,0.1,0.05,158,0,0,8,1,
liver,0.01,0.1,0.05,290,0,0,14,1,
ionosphere,0.01,0.1,0.05,158,0,0,8,1,
mammo,0.01,0.1,0.05,300,0,0,15,1,
parkinson,0.01,0.1,0.05,103,0,0,5,1,
seeds,0.01,0.1,0.05,98,0,0,5,1,
blood_trans,0.01,0.1,0.05,399,0,0,20,1,
biodegrad,0.01,0.1,0.05,490,0,0,24,1,
breast,0.01,0.1,0.05,35,0,0,2,1,
