file,cost,sigma,TN,FN,FP,TP,Kappa,
blood_trans,0.01,0.1,399,20,0,0,0.95,
biodegrad,0.01,0.1,490,24,0,0,0.95,
breast,0.01,0.1,35,2,0,0,0.95,
ecoli,0.01,0.1,101,5,0,0,0.95,
fertility,0.01,0.1,62,3,0,0,0.95,
haberman,0.9,0.1,158,8,0,0,0.95,
liver,0.01,0.1,290,14,0,0,0.95,
ionosphere,0.01,0.1,158,8,0,0,0.95,
mammo,0.01,0.1,300,15,0,0,0.95,
parkinson,0.01,0.1,103,5,0,0,0.95,
seeds,0.01,0.1,98,5,0,0,0.95,
blood_trans,0.01,0.1,399,20,0,0,0.95,
biodegrad,0.01,0.1,490,24,0,0,0.95,
breast,0.01,0.1,35,2,0,0,0.95,
ecoli,0.01,0.1,101,5,0,0,0.95,
fertility,0.01,0.1,62,3,0,0,0.95,
haberman,0.01,0.1,158,8,0,0,0.95,
liver,0.01,0.1,290,14,0,0,0.95,
ionosphere,0.01,0.1,158,8,0,0,0.95,
mammo,0.01,0.1,300,15,0,0,0.95,
parkinson,0.01,0.1,103,5,0,0,0.95,
seeds,0.01,0.1,98,5,0,0,0.95,
blood_trans,0.3,0.1,397,19,2,1,0.95,
biodegrad,0.01,0.1,490,24,0,0,0.95,
breast,0.01,0.1,35,2,0,0,0.95,
ecoli,0.01,0.1,101,5,0,0,0.95,
fertility,0.01,0.1,62,3,0,0,0.95,
haberman,0.01,0.1,158,8,0,0,0.95,
liver,0.01,0.1,290,14,0,0,0.95,
ionosphere,0.9,0.1,158,8,0,0,0.95,
mammo,0.01,0.1,300,15,0,0,0.95,
parkinson,0.01,0.1,103,5,0,0,0.95,
seeds,0.01,0.1,98,5,0,0,0.95,
blood_trans,0.01,0.1,399,20,0,0,0.95,
biodegrad,0.01,0.1,490,24,0,0,0.95,
breast,0.01,0.1,35,2,0,0,0.95,
ecoli,0.01,0.1,101,5,0,0,0.95,
fertility,0.01,0.1,62,3,0,0,0.95,
haberman,0.01,0.1,158,8,0,0,0.95,
liver,0.01,0.1,290,14,0,0,0.95,
ionosphere,0.7,0.7,157,8,1,0,0.95,
mammo,0.01,0.1,300,15,0,0,0.95,
parkinson,0.01,0.1,103,5,0,0,0.95,
seeds,0.01,0.1,98,5,0,0,0.95,
blood_trans,0.3,0.1,399,20,0,0,0.95,
biodegrad,0.01,0.1,490,24,0,0,0.95,
breast,0.01,0.1,35,2,0,0,0.95,
ecoli,0.01,0.1,101,5,0,0,0.95,
fertility,0.01,0.1,62,3,0,0,0.95,
haberman,0.01,0.1,158,8,0,0,0.95,
liver,0.01,0.1,290,14,0,0,0.95,
ionosphere,0.3,0.1,158,8,0,0,0.95,
mammo,0.3,1,300,15,0,0,0.95,
parkinson,0.01,0.1,103,5,0,0,0.95,
seeds,0.01,0.1,98,5,0,0,0.95,
blood_trans,0.01,0.1,399,20,0,0,0.95,
biodegrad,0.01,0.1,490,24,0,0,0.95,
breast,0.01,0.1,35,2,0,0,0.95,
ecoli,0.01,0.1,101,5,0,0,0.95,
fertility,0.01,0.1,62,3,0,0,0.95,
haberman,0.01,0.1,158,8,0,0,0.95,
liver,0.01,0.1,290,14,0,0,0.95,
ionosphere,0.01,0.1,158,8,0,0,0.95,
mammo,0.4,0.7,297,14,3,1,0.95,
parkinson,0.01,0.1,103,5,0,0,0.95,
seeds,0.01,0.1,98,5,0,0,0.95,
blood_trans,0.01,0.1,399,20,0,0,0.95,
biodegrad,0.3,0.1,489,23,1,1,0.96,
blood_trans,0.01,0.1,399,20,0,0,0.95,
biodegrad,0.4,0.1,485,23,5,1,0.95,
breast,0.01,0.1,35,2,0,0,0.95,
ecoli,0.9,0.4,101,5,0,0,0.95,
fertility,0.01,0.1,62,3,0,0,0.95,
haberman,0.01,0.1,158,8,0,0,0.95,
liver,0.6,0.7,288,14,2,0,0.95,
ionosphere,0.01,0.1,158,8,0,0,0.95,
mammo,0.01,0.1,300,15,0,0,0.95,
parkinson,0.01,0.1,103,5,0,0,0.95,
seeds,0.01,0.1,98,5,0,0,0.95,
blood_trans,0.01,0.1,399,20,0,0,0.95,
biodegrad,0.01,0.1,490,24,0,0,0.95,
breast,0.01,0.1,35,2,0,0,0.95,
ecoli,0.01,0.1,101,5,0,0,0.95,
fertility,0.01,0.1,62,3,0,0,0.95,
haberman,0.01,0.1,158,8,0,0,0.95,
liver,0.01,0.1,290,14,0,0,0.95,
