file,TN,FN,FP,TP,Kappa,
blood_trans,226,25,34,155,0.9,
biodegrad,311,0,1,203,1,
breast,29,0,6,2,1,
ecoli,135,0,1,40,1,
fertility,39,3,0,7,0.93,
haberman,103,12,1,30,0.9,
liver,182,124,0,0,0.59,
ionosphere,121,0,0,64,1,
mammo,171,34,24,87,0.83,
parkinson,131,0,0,36,1,
seeds,110,0,0,37,1,
blood_trans,233,56,27,115,0.81,
biodegrad,312,0,0,201,1,
breast,53,1,0,3,0.98,
ecoli,5,0,0,101,1,
fertility,39,6,0,1,0.87,
haberman,104,30,0,6,0.78,
liver,182,115,0,0,0.61,
ionosphere,104,0,0,27,1,
mammo,168,40,27,87,0.81,
parkinson,126,0,0,36,1,
seeds,108,1,0,34,0.99,
blood_trans,223,36,37,144,0.86,
biodegrad,312,0,0,201,1,
breast,13,0,0,2,1,
ecoli,131,0,0,39,1,
fertility,62,6,0,9,0.91,
haberman,104,12,0,29,0.9,
liver,182,117,0,0,0.61,
ionosphere,104,0,0,42,1,
mammo,154,15,41,109,0.91,
parkinson,124,0,0,38,1,
seeds,112,0,0,37,1,
blood_trans,220,55,40,125,0.8,
biodegrad,312,0,0,207,1,
breast,2,0,0,35,1,
ecoli,127,0,0,36,1,
fertility,39,4,0,0,0.91,
haberman,102,9,2,31,0.92,
liver,162,79,20,37,0.67,
ionosphere,104,0,0,56,1,
mammo,154,26,41,91,0.86,
parkinson,124,0,0,35,1,
seeds,113,0,0,33,1,
blood_trans,205,39,55,141,0.84,
biodegrad,312,2,0,200,0.99,
breast,35,0,0,2,1,
ecoli,131,0,1,34,1,
fertility,39,3,0,2,0.93,
haberman,104,23,0,9,0.82,
liver,182,106,0,0,0.63,
ionosphere,127,0,0,48,1,
mammo,142,9,53,118,0.94,
parkinson,127,0,0,36,1,
seeds,108,0,0,36,1,
blood_trans,226,54,34,111,0.81,
biodegrad,312,1,0,207,1,
breast,2,0,0,35,1,
ecoli,148,0,0,35,1,
fertility,39,2,0,4,0.95,
haberman,102,13,2,32,0.89,
liver,182,118,0,0,0.61,
ionosphere,104,0,0,34,1,
mammo,170,42,25,77,0.8,
parkinson,130,0,0,40,1,
seeds,120,3,0,29,0.98,
blood_trans,242,86,18,89,0.74,
biodegrad,312,2,0,203,0.99,
breast,32,0,3,2,1,
ecoli,129,1,0,37,0.99,
fertility,63,3,0,11,0.95,
haberman,103,13,1,20,0.89,
liver,182,126,0,0,0.59,
ionosphere,126,0,0,64,1,
mammo,167,18,28,105,0.9,
parkinson,128,0,0,40,1,
seeds,109,0,0,38,1,
blood_trans,223,36,37,135,0.86,
biodegrad,418,0,0,216,1,
breast,53,0,0,5,1,
ecoli,137,0,0,38,1,
fertility,39,2,0,3,0.95,
haberman,103,23,1,11,0.82,
liver,162,68,20,52,0.7,
ionosphere,104,0,0,36,1,
mammo,361,43,33,92,0.89,
parkinson,123,1,0,36,0.99,
seeds,113,0,0,34,1,
blood_trans,210,33,50,147,0.86,
biodegrad,434,0,2,216,1,
breast,34,0,1,2,1,
ecoli,131,0,1,41,1,
fertility,61,2,0,13,0.97,
haberman,104,5,0,25,0.95,
liver,182,114,0,0,0.61,
ionosphere,104,0,0,31,1,
mammo,158,43,37,77,0.79,
parkinson,130,0,0,37,1,
seeds,113,0,0,38,1,
blood_trans,226,49,34,131,0.82,
biodegrad,312,1,0,206,1,
breast,35,0,0,2,1,
ecoli,143,0,0,34,1,
fertility,78,3,0,11,0.96,
haberman,104,14,0,17,0.88,
liver,182,115,0,0,0.61,
ionosphere,131,0,0,45,1,
mammo,176,24,19,99,0.88,
parkinson,133,0,0,39,1,
seeds,113,0,2,36,1,
