file,TN,FP,FN,TP,Kappa,
blood_trans,327,10,72,10,0.97,
biodegrad,490,3,0,21,0.99,
breast,35,2,0,0,0.95,
ecoli,101,0,0,5,1,
fertility,62,3,0,0,0.95,
haberman,157,3,1,5,0.98,
liver,259,11,31,3,0.96,
ionosphere,158,1,0,7,0.99,
mammo,264,10,36,5,0.96,
parkinson,103,0,0,5,1,
seeds,98,1,0,4,0.99,
blood_trans,247,12,152,8,0.95,
biodegrad,490,2,0,22,1,
breast,35,0,0,2,1,
ecoli,101,5,0,0,0.95,
fertility,62,1,0,2,0.98,
haberman,158,5,0,3,0.97,
liver,244,11,46,3,0.96,
ionosphere,158,2,0,6,0.99,
mammo,248,10,52,5,0.96,
parkinson,103,0,0,5,1,
seeds,98,1,0,4,0.99,
blood_trans,387,16,12,4,0.96,
biodegrad,490,3,0,21,0.99,
breast,35,2,0,0,0.95,
ecoli,101,1,0,4,0.99,
fertility,62,0,0,3,1,
haberman,158,4,0,4,0.98,
liver,273,12,17,2,0.96,
ionosphere,158,3,0,5,0.98,
mammo,296,11,4,4,0.96,
parkinson,103,0,0,5,1,
seeds,98,0,0,5,1,
blood_trans,390,14,9,6,0.97,
biodegrad,490,6,0,18,0.99,
breast,35,2,0,0,0.95,
ecoli,101,0,0,5,1,
fertility,62,1,0,2,0.98,
haberman,157,1,1,7,0.99,
liver,267,12,23,2,0.96,
ionosphere,158,2,0,6,0.99,
mammo,257,6,43,9,0.98,
parkinson,103,0,0,5,1,
seeds,98,0,0,5,1,
blood_trans,382,14,17,6,0.96,
biodegrad,490,2,0,22,1,
breast,35,2,0,0,0.95,
ecoli,101,0,0,5,1,
fertility,62,2,0,1,0.97,
haberman,158,5,0,3,0.97,
liver,290,14,0,0,0.95,
ionosphere,158,3,0,5,0.98,
mammo,269,8,31,7,0.97,
parkinson,103,0,0,5,1,
seeds,98,0,0,5,1,
blood_trans,340,11,59,9,0.97,
biodegrad,489,6,1,18,0.99,
breast,35,2,0,0,0.95,
ecoli,101,0,0,5,1,
fertility,62,1,0,2,0.98,
haberman,158,5,0,3,0.97,
liver,281,12,9,2,0.96,
ionosphere,158,3,0,5,0.98,
mammo,279,8,21,7,0.97,
parkinson,103,0,0,5,1,
seeds,98,1,0,4,0.99,
blood_trans,364,10,35,10,0.97,
biodegrad,490,5,0,19,0.99,
breast,35,2,0,0,0.95,
ecoli,101,0,0,5,1,
fertility,62,0,0,3,1,
haberman,158,5,0,3,0.97,
liver,260,12,30,2,0.96,
ionosphere,158,1,0,7,0.99,
mammo,283,5,17,10,0.98,
parkinson,103,0,0,5,1,
seeds,98,1,0,4,0.99,
blood_trans,337,12,62,8,0.97,
biodegrad,490,2,0,22,1,
breast,35,0,0,2,1,
ecoli,101,0,0,5,1,
fertility,62,1,0,2,0.98,
haberman,158,5,0,3,0.97,
liver,280,11,10,3,0.96,
ionosphere,158,4,0,4,0.98,
mammo,283,13,17,2,0.96,
parkinson,103,0,0,5,1,
seeds,98,0,0,5,1,
blood_trans,399,20,0,0,0.95,
biodegrad,490,2,0,22,1,
breast,35,2,0,0,0.95,
ecoli,101,1,0,4,0.99,
fertility,62,0,0,3,1,
haberman,158,4,0,4,0.98,
liver,276,11,14,3,0.96,
ionosphere,158,2,0,6,0.99,
mammo,262,9,38,6,0.97,
parkinson,103,0,0,5,1,
seeds,98,0,0,5,1,
blood_trans,337,11,62,9,0.97,
biodegrad,490,4,0,20,0.99,
breast,35,2,0,0,0.95,
ecoli,101,0,0,5,1,
fertility,62,0,0,3,1,
haberman,158,4,0,4,0.98,
liver,237,12,53,2,0.95,
ionosphere,158,4,0,4,0.98,
mammo,289,13,11,2,0.96,
parkinson,103,0,0,5,1,
seeds,98,1,0,4,0.99,
