file,TN,FN,FP,TP,Kappa,
blood_trans,178,7,221,13,0.96,
biodegrad,224,6,266,18,0.97,
breast,0,0,35,2,NaN,
ecoli,13,2,88,3,0.87,
fertility,28,2,34,1,0.93,
haberman,77,4,81,4,0.95,
liver,146,7,144,7,0.95,
ionosphere,58,1,100,7,0.98,
mammo,148,5,152,10,0.97,
parkinson,17,0,86,5,1,
seeds,27,2,71,3,0.93,
blood_trans,183,9,216,11,0.95,
biodegrad,200,8,290,16,0.96,
breast,3,0,32,2,1,
ecoli,0,0,101,5,NaN,
fertility,35,1,27,2,0.97,
haberman,78,3,80,5,0.96,
liver,145,7,145,7,0.95,
ionosphere,74,0,84,8,1,
mammo,151,6,149,9,0.96,
parkinson,23,0,80,5,1,
seeds,24,2,74,3,0.92,
blood_trans,216,7,183,13,0.97,
biodegrad,202,4,288,20,0.98,
breast,19,0,16,2,1,
ecoli,20,2,81,3,0.91,
fertility,20,1,42,2,0.95,
haberman,74,2,84,6,0.97,
liver,144,6,146,8,0.96,
ionosphere,63,1,95,7,0.98,
mammo,151,8,149,7,0.95,
parkinson,23,0,80,5,1,
seeds,21,1,77,4,0.95,
blood_trans,171,7,228,13,0.96,
biodegrad,200,7,290,17,0.97,
breast,0,0,35,2,NaN,
ecoli,16,4,85,1,0.8,
fertility,32,2,30,1,0.94,
haberman,75,6,83,2,0.93,
liver,140,10,150,4,0.93,
ionosphere,64,2,94,6,0.97,
mammo,151,6,149,9,0.96,
parkinson,21,0,82,5,1,
seeds,18,1,80,4,0.95,
blood_trans,184,9,215,11,0.95,
biodegrad,214,4,276,20,0.98,
breast,0,0,35,2,NaN,
ecoli,15,0,86,5,1,
fertility,29,1,33,2,0.97,
haberman,77,4,81,4,0.95,
liver,150,3,140,11,0.98,
ionosphere,50,0,108,8,1,
mammo,149,10,151,5,0.94,
parkinson,23,1,80,4,0.96,
seeds,29,0,69,5,1,
blood_trans,197,10,202,10,0.95,
biodegrad,237,6,253,18,0.98,
breast,0,0,35,2,NaN,
ecoli,7,2,94,3,0.78,
fertility,34,1,28,2,0.97,
haberman,78,5,80,3,0.94,
liver,144,7,146,7,0.95,
ionosphere,82,0,76,8,1,
mammo,147,10,153,5,0.94,
parkinson,15,1,88,4,0.94,
seeds,19,2,79,3,0.9,
blood_trans,184,10,215,10,0.95,
biodegrad,226,6,264,18,0.97,
breast,0,0,35,2,NaN,
ecoli,18,1,83,4,0.95,
fertility,15,3,47,0,0.83,
haberman,79,3,79,5,0.96,
liver,147,5,143,9,0.97,
ionosphere,45,0,113,8,1,
mammo,144,11,156,4,0.93,
parkinson,16,0,87,5,1,
seeds,28,0,70,5,1,
blood_trans,189,12,210,8,0.94,
biodegrad,164,6,326,18,0.96,
breast,5,0,30,2,1,
ecoli,14,1,87,4,0.93,
fertility,31,1,31,2,0.97,
haberman,79,4,79,4,0.95,
liver,142,8,148,6,0.95,
ionosphere,61,1,97,7,0.98,
mammo,51,6,249,9,0.89,
parkinson,18,1,85,4,0.95,
seeds,27,1,71,4,0.96,
blood_trans,181,9,218,11,0.95,
biodegrad,176,11,314,13,0.94,
breast,0,0,35,2,NaN,
ecoli,15,1,86,4,0.94,
fertility,22,1,40,2,0.96,
haberman,80,4,78,4,0.95,
liver,149,2,141,12,0.99,
ionosphere,82,0,76,8,1,
mammo,148,11,152,4,0.93,
parkinson,18,0,85,5,1,
seeds,22,1,76,4,0.96,
blood_trans,190,9,209,11,0.95,
biodegrad,226,7,264,17,0.97,
breast,0,0,35,2,NaN,
ecoli,10,2,91,3,0.83,
fertility,10,3,52,0,0.77,
haberman,79,5,79,3,0.94,
liver,148,5,142,9,0.97,
ionosphere,68,1,90,7,0.99,
mammo,152,8,148,7,0.95,
parkinson,17,2,86,3,0.89,
seeds,25,0,73,5,1,
