file,TN,FN,FP,TP,Kappa,
blood_trans,287,1,112,19,1,
biodegrad,475,0,15,24,1,
breast,35,2,0,0,0.95,
ecoli,100,0,1,5,1,
fertility,61,0,1,3,1,
haberman,110,0,48,8,1,
liver,71,1,219,13,0.99,
ionosphere,153,0,5,8,1,
mammo,236,1,64,14,1,
parkinson,103,0,0,5,1,
seeds,96,0,2,5,1,
blood_trans,205,1,194,19,1,
biodegrad,474,0,16,24,1,
breast,34,0,1,2,1,
ecoli,101,0,0,5,1,
fertility,58,0,4,3,1,
haberman,74,0,84,8,1,
liver,75,0,215,14,1,
ionosphere,157,0,1,8,1,
mammo,241,1,59,14,1,
parkinson,103,0,0,5,1,
seeds,98,1,0,4,0.99,
blood_trans,204,1,195,19,1,
biodegrad,478,0,12,24,1,
breast,35,0,0,2,1,
ecoli,101,1,0,4,0.99,
fertility,57,0,5,3,1,
haberman,115,0,43,8,1,
liver,9,0,281,14,1,
ionosphere,158,0,0,8,1,
mammo,203,2,97,13,0.99,
parkinson,103,0,0,5,1,
seeds,98,0,0,5,1,
blood_trans,265,6,134,14,0.98,
biodegrad,480,0,10,24,1,
breast,35,0,0,2,1,
ecoli,101,0,0,5,1,
fertility,57,0,5,3,1,
haberman,133,0,25,8,1,
liver,117,0,173,14,1,
ionosphere,155,0,3,8,1,
mammo,240,3,60,12,0.99,
parkinson,103,0,0,5,1,
seeds,98,0,0,5,1,
blood_trans,264,2,135,18,0.99,
biodegrad,488,0,2,24,1,
breast,35,0,0,2,1,
ecoli,99,0,2,5,1,
fertility,61,0,1,3,1,
haberman,110,0,48,8,1,
liver,15,0,275,14,1,
ionosphere,158,0,0,8,1,
mammo,227,0,73,15,1,
parkinson,103,0,0,5,1,
seeds,98,0,0,5,1,
blood_trans,144,0,255,20,1,
biodegrad,485,0,5,24,1,
breast,35,0,0,2,1,
ecoli,100,0,1,5,1,
fertility,62,0,0,3,1,
haberman,129,1,29,7,0.99,
liver,23,0,267,14,1,
ionosphere,158,0,0,8,1,
mammo,218,1,82,14,1,
parkinson,103,0,0,5,1,
seeds,98,1,0,4,0.99,
blood_trans,268,3,131,17,0.99,
biodegrad,461,0,29,24,1,
breast,35,2,0,0,0.95,
ecoli,100,0,1,5,1,
fertility,44,0,18,3,1,
haberman,87,0,71,8,1,
liver,104,0,186,14,1,
ionosphere,155,0,3,8,1,
mammo,232,0,68,15,1,
parkinson,103,0,0,5,1,
seeds,97,1,1,4,0.99,
blood_trans,237,0,162,20,1,
biodegrad,467,0,23,24,1,
breast,35,0,0,2,1,
ecoli,101,0,0,5,1,
fertility,59,0,3,3,1,
haberman,107,0,51,8,1,
liver,151,1,139,13,0.99,
ionosphere,157,0,1,8,1,
mammo,240,1,60,14,1,
parkinson,101,0,2,5,1,
seeds,97,0,1,5,1,
blood_trans,197,2,202,18,0.99,
biodegrad,486,0,4,24,1,
breast,34,0,1,2,1,
ecoli,100,0,1,5,1,
fertility,58,0,4,3,1,
haberman,135,0,23,8,1,
liver,31,0,259,14,1,
ionosphere,158,0,0,8,1,
mammo,214,3,86,12,0.99,
parkinson,102,0,1,5,1,
seeds,98,0,0,5,1,
blood_trans,179,0,220,20,1,
biodegrad,488,0,2,24,1,
breast,35,0,0,2,1,
ecoli,101,0,0,5,1,
fertility,55,0,7,3,1,
haberman,124,0,34,8,1,
liver,33,0,257,14,1,
ionosphere,155,0,3,8,1,
mammo,248,2,52,13,0.99,
parkinson,103,0,0,5,1,
seeds,98,1,0,4,0.99,
