file,cost,sigma,nu,TN,FN,FP,TP,Kappa,
blood_trans,0.01,0.22,0.05,177,9,222,11,0.95,
biodegrad,0.01,0.1,0.05,253,8,237,16,0.97,
breast,0.01,0.1,0.05,17,2,18,0,0.89,
ecoli,0.01,1,0.05,46,4,55,1,0.92,
fertility,0.01,0.16,0.05,29,0,33,3,1,
haberman,0.01,0.1,0.05,77,6,81,2,0.93,
liver,0.01,0.7,0.05,145,4,145,10,0.97,
ionosphere,0.01,0.52,0.05,56,2,102,6,0.97,
mammo,0.01,0.52,0.05,154,8,146,7,0.95,
parkinson,0.01,0.52,0.05,48,0,55,5,1,
seeds,0.01,0.7,0.05,50,3,48,2,0.94,
blood_trans,0.01,0.22,0.05,205,5,194,15,0.98,
biodegrad,0.01,0.82,0.05,164,3,326,21,0.98,
breast,0.01,1,0.05,16,0,19,2,1,
ecoli,0.01,0.1,0.05,48,5,53,0,0.91,
fertility,0.01,0.16,0.05,31,0,31,3,1,
haberman,0.01,0.1,0.05,80,2,78,6,0.98,
liver,0.01,0.58,0.05,145,3,145,11,0.98,
ionosphere,0.01,0.88,0.05,77,2,81,6,0.97,
mammo,0.01,0.28,0.05,145,9,155,6,0.94,
parkinson,0.01,0.46,0.05,51,0,52,5,1,
seeds,0.01,0.94,0.05,42,4,56,1,0.91,
blood_trans,0.01,0.7,0.05,200,9,199,11,0.96,
biodegrad,0.01,0.16,0.05,247,10,243,14,0.96,
breast,0.01,0.1,0.05,18,2,17,0,0.9,
ecoli,0.01,0.1,0.05,47,5,54,0,0.9,
fertility,0.01,0.34,0.05,32,0,30,3,1,
haberman,0.01,0.1,0.05,76,6,82,2,0.93,
liver,0.01,0.58,0.05,153,2,137,12,0.99,
ionosphere,0.01,0.76,0.05,58,2,100,6,0.97,
mammo,0.01,0.52,0.05,154,9,146,6,0.94,
parkinson,0.01,0.28,0.05,46,1,57,4,0.98,
seeds,0.01,0.1,0.05,47,5,51,0,0.9,
blood_trans,0.01,0.22,0.05,185,10,214,10,0.95,
biodegrad,0.01,0.76,0.05,257,8,233,16,0.97,
breast,0.01,0.1,0.05,15,2,20,0,0.88,
ecoli,0.01,0.1,0.05,48,5,53,0,0.91,
fertility,0.01,0.22,0.05,34,0,28,3,1,
haberman,0.01,0.1,0.05,79,4,79,4,0.95,
liver,0.01,0.7,0.05,146,8,144,6,0.95,
ionosphere,0.01,0.52,0.05,70,2,88,6,0.97,
mammo,0.01,0.88,0.05,148,8,152,7,0.95,
parkinson,0.01,0.58,0.05,49,0,54,5,1,
seeds,0.01,0.1,0.05,45,5,53,0,0.9,
blood_trans,0.01,0.58,0.05,197,8,202,12,0.96,
biodegrad,0.01,0.94,0.05,196,7,294,17,0.97,
breast,0.01,0.1,0.05,17,2,18,0,0.89,
ecoli,0.01,0.1,0.05,47,5,54,0,0.9,
fertility,0.01,0.34,0.05,32,0,30,3,1,
haberman,0.01,0.22,0.05,78,3,80,5,0.96,
liver,0.01,0.88,0.05,151,1,139,13,0.99,
ionosphere,0.01,0.76,0.05,70,2,88,6,0.97,
mammo,0.01,0.22,0.05,148,12,152,3,0.92,
parkinson,0.01,1,0.05,38,0,65,5,1,
seeds,0.01,0.1,0.05,45,5,53,0,0.9,
blood_trans,0.01,0.76,0.05,208,5,191,15,0.98,
biodegrad,0.01,0.16,0.05,255,10,235,14,0.96,
breast,0.01,0.1,0.05,16,2,19,0,0.89,
ecoli,0.01,0.1,0.05,47,5,54,0,0.9,
fertility,0.01,0.28,0.05,35,0,27,3,1,
haberman,0.01,0.1,0.05,78,3,80,5,0.96,
liver,0.01,0.58,0.05,154,3,136,11,0.98,
ionosphere,0.01,0.52,0.05,62,1,96,7,0.98,
mammo,0.01,0.46,0.05,142,11,158,4,0.93,
parkinson,0.01,0.82,0.05,49,0,54,5,1,
seeds,0.01,0.58,0.05,46,4,52,1,0.92,
blood_trans,0.01,0.4,0.05,188,8,211,12,0.96,
biodegrad,0.01,1,0.05,172,6,318,18,0.97,
breast,0.01,0.88,0.05,15,1,20,1,0.94,
ecoli,0.01,0.1,0.05,50,5,51,0,0.91,
fertility,0.01,0.82,0.05,28,0,34,3,1,
haberman,0.01,0.1,0.05,80,3,78,5,0.96,
liver,0.01,0.76,0.05,147,3,143,11,0.98,
ionosphere,0.01,0.58,0.05,64,0,94,8,1,
mammo,0.01,0.94,0.05,148,12,152,3,0.92,
parkinson,0.01,0.34,0.05,45,0,58,5,1,
seeds,0.01,1,0.05,49,3,49,2,0.94,
blood_trans,0.01,0.7,0.05,177,9,222,11,0.95,
biodegrad,0.01,0.4,0.05,165,6,325,18,0.96,
breast,0.01,0.1,0.05,18,2,17,0,0.9,
ecoli,0.01,0.1,0.05,48,5,53,0,0.91,
fertility,0.01,0.16,0.05,26,0,36,3,1,
haberman,0.01,0.1,0.05,79,4,79,4,0.95,
liver,0.01,0.58,0.05,147,4,143,10,0.97,
ionosphere,0.01,0.64,0.05,67,2,91,6,0.97,
mammo,0.01,0.64,0.05,144,8,156,7,0.95,
parkinson,0.01,0.4,0.05,47,1,56,4,0.98,
seeds,0.01,0.94,0.05,45,4,53,1,0.92,
blood_trans,0.01,0.76,0.05,195,9,204,11,0.96,
biodegrad,0.01,0.28,0.05,192,9,298,15,0.96,
breast,0.01,0.1,0.05,16,2,19,0,0.89,
ecoli,0.01,0.1,0.05,47,5,54,0,0.9,
fertility,0.01,0.34,0.05,30,0,32,3,1,
haberman,0.01,0.1,0.05,76,7,82,1,0.92,
liver,0.01,0.52,0.05,146,2,144,12,0.99,
ionosphere,0.01,0.76,0.05,53,2,105,6,0.96,
mammo,0.01,0.16,0.05,148,12,152,3,0.92,
parkinson,0.01,0.82,0.05,46,0,57,5,1,
seeds,0.01,1,0.05,50,3,48,2,0.94,
blood_trans,0.01,1,0.05,182,9,217,11,0.95,
biodegrad,0.01,0.88,0.05,245,7,245,17,0.97,
breast,0.01,0.1,0.05,15,2,20,0,0.88,
ecoli,0.01,0.1,0.05,48,5,53,0,0.91,
fertility,0.01,0.94,0.05,28,0,34,3,1,
haberman,0.01,0.1,0.05,79,3,79,5,0.96,
liver,0.01,0.7,0.05,151,2,139,12,0.99,
ionosphere,0.01,0.46,0.05,59,2,99,6,0.97,
mammo,0.01,0.34,0.05,149,10,151,5,0.94,
parkinson,0.01,0.34,0.05,51,2,52,3,0.96,
seeds,0.01,0.58,0.05,44,4,54,1,0.92,
