file,P0,P1,cost,sigma,nSV_0,nSV_1,TN,FN,FP,TP,Kappa,
blood_trans,0.5,20,0.1,0.5,8,286,225,1,174,19,1,
biodegrad,0.5,14,0.1,0.5,9,241,279,5,211,19,0.98,
breast,0.5,6,0.1,0.5,1,12,23,0,12,2,1,
ecoli,0.5,4,0.1,0.5,4,29,84,0,17,5,1,
fertility,0.5,8,0.1,0.5,3,43,40,0,22,3,1,
haberman,0.5,16,0.1,0.5,5,155,49,0,109,8,1,
liver,0.5,10,0.1,0.5,11,219,137,2,153,12,0.99,
ionosphere,0.5,20,0.4,0.5,3,86,76,1,82,7,0.99,
mammo,0.5,14,0.1,0.5,6,139,206,0,94,15,1,
parkinson,0.5,8,0.1,0.5,3,48,61,0,42,5,1,
seeds,0.5,4,0.1,0.5,4,32,87,0,11,5,1,
blood_trans,0.5,20,0.1,0.5,11,399,116,0,283,20,1,
biodegrad,0.5,18,0.1,0.5,6,182,349,3,141,21,0.99,
breast,0.5,4,0.1,0.5,2,11,26,0,9,2,1,
ecoli,0.5,2,0.1,0.5,5,21,93,0,8,5,1,
fertility,0.5,10,0.1,0.5,2,40,39,0,23,3,1,
haberman,0.5,14,0.1,0.5,7,149,55,0,103,8,1,
liver,0.5,18,0.4,1,6,194,103,2,187,12,0.98,
ionosphere,0.5,20,0.1,0.5,4,153,6,1,152,7,0.86,
mammo,0.5,6,0.1,0.5,8,93,229,2,71,13,0.99,
parkinson,0.5,6,0.1,0.5,4,42,70,0,33,5,1,
seeds,0.5,6,0.1,0.5,4,40,75,0,23,5,1,
blood_trans,0.5,16,0.1,0.5,12,368,151,1,248,19,0.99,
biodegrad,0.5,18,0.1,1.5,5,148,351,2,139,22,0.99,
breast,0.5,4,0.1,0.5,2,10,31,0,4,2,1,
ecoli,0.5,2,0.1,0.5,5,21,100,0,1,5,1,
fertility,0.5,4,0.1,0.5,3,25,57,0,5,3,1,
haberman,0.5,18,0.1,0.5,5,158,68,1,90,7,0.99,
liver,0.5,10,0.1,0.5,13,213,126,2,164,12,0.98,
ionosphere,0.5,16,0.1,0.5,4,121,65,2,93,6,0.97,
mammo,0.5,20,1,0.5,5,171,142,1,158,14,0.99,
parkinson,0.5,8,0.1,0.5,5,51,63,0,40,5,1,
seeds,0.5,4,0.1,0.5,4,32,88,0,10,5,1,
blood_trans,0.5,20,0.4,0.5,8,290,140,1,259,19,0.99,
biodegrad,0.5,18,0.4,0.5,8,256,248,5,242,19,0.98,
breast,0.5,2,0.1,0.5,2,8,31,0,4,2,1,
ecoli,0.5,6,0.1,0.5,3,34,86,0,15,5,1,
fertility,0.5,6,0.1,0.5,3,31,48,0,14,3,1,
haberman,0.5,16,0.1,0.5,5,158,34,0,124,8,1,
liver,0.5,20,0.1,0.5,5,183,137,1,153,13,0.99,
ionosphere,0.5,14,0.1,0.5,3,85,79,2,79,6,0.98,
mammo,0.5,20,0.1,0.5,7,243,110,2,190,13,0.98,
parkinson,0.5,6,0.1,0.5,5,50,69,0,34,5,1,
seeds,0.5,4,0.1,0.5,4,34,87,0,11,5,1,
blood_trans,0.5,14,0.1,0.5,10,259,164,3,235,17,0.98,
biodegrad,0.5,20,0.1,1,7,260,248,5,242,19,0.98,
breast,0.5,2,0.1,0.5,2,8,35,0,0,2,1,
ecoli,0.5,12,0.1,0.5,2,48,72,0,29,5,1,
fertility,0.5,10,0.1,0.5,3,51,21,0,41,3,1,
haberman,0.5,16,0.1,0.5,6,158,0,0,158,8,NaN,
liver,0.5,14,0.1,0.5,9,233,92,0,198,14,1,
ionosphere,0.5,10,0.1,0.5,5,98,77,2,81,6,0.97,
mammo,0.5,8,0.1,0.5,8,114,210,1,90,14,1,
parkinson,0.5,8,0.1,0.5,3,43,70,0,33,5,1,
seeds,0.5,6,0.1,0.5,3,36,78,0,20,5,1,
blood_trans,0.5,20,0.1,1.5,10,365,85,1,314,19,0.99,
biodegrad,0.5,20,0.1,0.5,6,222,297,3,193,21,0.99,
breast,0.5,4,0.1,0.5,2,9,30,0,5,2,1,
ecoli,0.5,8,0.1,0.5,2,26,84,0,17,5,1,
fertility,0.5,8,0.1,0.5,3,34,41,0,21,3,1,
haberman,0.5,14,0.1,0.5,7,158,0,0,158,8,NaN,
liver,0.5,16,0.1,0.5,9,249,61,1,229,13,0.98,
ionosphere,0.5,12,0.1,0.5,4,72,95,2,63,6,0.98,
mammo,0.5,8,0.1,0.5,8,128,207,2,93,13,0.99,
parkinson,0.5,10,0.1,0.5,3,56,54,0,49,5,1,
seeds,0.5,4,0.1,0.5,5,37,81,0,17,5,1,
blood_trans,0.5,20,0.1,3,8,290,124,4,275,16,0.97,
biodegrad,0.5,20,0.1,1.5,7,247,255,5,235,19,0.98,
breast,0.5,6,0.1,0.5,1,12,24,0,11,2,1,
ecoli,0.5,6,0.1,0.5,3,36,78,0,23,5,1,
fertility,0.5,10,0.1,0.5,3,51,26,0,36,3,1,
haberman,0.5,14,0.1,0.5,6,149,85,0,73,8,1,
liver,0.5,12,0.1,0.5,10,222,132,2,158,12,0.99,
ionosphere,0.5,16,0.1,0.5,3,90,73,1,85,7,0.99,
mammo,0.5,20,0.1,2,5,157,162,1,138,14,0.99,
parkinson,0.5,6,0.1,0.5,5,49,69,0,34,5,1,
seeds,0.5,4,0.1,0.5,4,32,86,0,12,5,1,
blood_trans,0.5,18,0.1,2.5,8,225,207,0,192,20,1,
biodegrad,0.5,20,0.1,1,7,242,257,4,233,20,0.98,
breast,0.5,4,0.1,0.5,2,12,25,0,10,2,1,
ecoli,0.5,2,0.1,0.5,5,22,97,0,4,5,1,
fertility,0.5,4,0.1,0.5,3,24,53,0,9,3,1,
haberman,0.5,14,0.1,0.5,6,135,71,0,87,8,1,
liver,0.5,14,0.1,0.5,7,171,192,1,98,13,0.99,
ionosphere,0.5,20,0.1,1,4,110,62,1,96,7,0.98,
mammo,1,16,0.1,0.5,5,78,229,0,71,15,1,
parkinson,0.5,6,0.1,0.5,4,48,68,0,35,5,1,
seeds,0.5,4,0.1,0.5,5,34,90,0,8,5,1,
blood_trans,0.5,20,0.1,0.5,10,344,126,4,273,16,0.97,
biodegrad,0.5,20,0.1,0.5,6,235,278,4,212,20,0.99,
breast,0.5,4,0.1,0.5,2,10,28,0,7,2,1,
ecoli,0.5,4,0.1,0.5,4,29,89,0,12,5,1,
fertility,0.5,6,0.1,0.5,3,31,52,0,10,3,1,
haberman,0.5,18,0.1,0.5,5,141,124,1,34,7,0.99,
liver,0.5,14,0.1,0.5,9,213,135,0,155,14,1,
ionosphere,0.5,20,0.7,0.5,4,132,42,2,116,6,0.95,
mammo,0.5,20,0.1,1,5,195,158,2,142,13,0.99,
parkinson,0.5,6,0.1,0.5,4,48,62,0,41,5,1,
seeds,0.5,4,0.1,0.5,4,32,87,0,11,5,1,
blood_trans,0.5,16,0.1,0.5,10,310,166,3,233,17,0.98,
biodegrad,0.5,18,0.1,0.5,6,200,319,3,171,21,0.99,
breast,0.5,4,0.1,0.5,2,12,27,0,8,2,1,
ecoli,0.5,4,0.1,0.5,3,24,85,0,16,5,1,
