file,Corrected,TN,FN,FP,TP,Kappa,
blood_trans,F,199,20,1,0,-0.01,
blood_trans,T,0,0,200,20,0,
biodegrad,F,238,3,2,21,0.88,
biodegrad,T,215,0,25,24,0.61,
breast,F,20,0,0,2,1,
breast,T,20,0,0,2,1,
ecoli,F,50,0,0,5,1,
ecoli,T,50,0,0,5,1,
fertility,F,30,1,0,2,0.78,
fertility,T,29,0,1,3,0.84,
haberman,F,79,8,1,0,-0.02,
haberman,T,0,0,80,8,0,
liver,F,140,14,0,0,0,
liver,T,8,1,132,13,0,
ionosphere,F,80,0,0,8,1,
ionosphere,T,80,0,0,8,1,
mammo,F,149,13,1,2,0.2,
mammo,T,23,0,127,15,0.03,
parkinson,F,50,0,0,5,1,
parkinson,T,50,0,0,5,1,
seeds,F,50,0,0,5,1,
seeds,T,50,0,0,5,1,
blood_trans,F,200,17,0,3,0.24,
blood_trans,T,8,0,192,20,0.01,
biodegrad,F,237,3,3,21,0.86,
biodegrad,T,198,0,42,24,0.46,
breast,F,20,0,0,2,1,
breast,T,20,0,0,2,1,
ecoli,F,50,0,0,5,1,
ecoli,T,50,0,0,5,1,
fertility,F,30,0,0,3,1,
fertility,T,30,0,0,3,1,
haberman,F,80,7,0,1,0.21,
haberman,T,0,0,80,8,0,
liver,F,140,14,0,0,0,
liver,T,46,0,94,14,0.08,
ionosphere,F,80,0,0,8,1,
ionosphere,T,80,0,0,8,1,
mammo,F,149,13,1,2,0.2,
mammo,T,33,0,117,15,0.05,
parkinson,F,50,0,0,5,1,
parkinson,T,50,0,0,5,1,
seeds,F,50,0,0,5,1,
seeds,T,50,0,0,5,1,
blood_trans,F,198,18,2,2,0.14,
blood_trans,T,37,0,163,20,0.04,
biodegrad,F,234,10,6,14,0.6,
biodegrad,T,178,0,62,24,0.34,
breast,F,20,0,0,2,1,
breast,T,20,0,0,2,1,
ecoli,F,50,0,0,5,1,
ecoli,T,50,0,0,5,1,
fertility,F,30,0,0,3,1,
fertility,T,30,0,0,3,1,
haberman,F,79,8,1,0,-0.02,
haberman,T,0,0,80,8,0,
liver,F,140,13,0,1,0.12,
liver,T,28,0,112,14,0.04,
ionosphere,F,80,0,0,8,1,
ionosphere,T,80,0,0,8,1,
mammo,F,148,8,2,7,0.55,
mammo,T,52,0,98,15,0.09,
parkinson,F,50,0,0,5,1,
parkinson,T,50,0,0,5,1,
seeds,F,50,0,0,5,1,
seeds,T,50,0,0,5,1,
blood_trans,F,199,20,1,0,-0.01,
blood_trans,T,75,0,125,20,0.1,
biodegrad,F,236,11,4,13,0.6,
biodegrad,T,236,11,4,13,0.6,
breast,F,20,0,0,2,1,
breast,T,20,0,0,2,1,
ecoli,F,50,0,0,5,1,
ecoli,T,50,0,0,5,1,
fertility,F,30,0,0,3,1,
fertility,T,30,0,0,3,1,
haberman,F,78,8,2,0,-0.04,
haberman,T,0,0,80,8,0,
liver,F,140,13,0,1,0.12,
liver,T,20,0,120,14,0.03,
ionosphere,F,80,0,0,8,1,
ionosphere,T,80,0,0,8,1,
mammo,F,149,12,1,3,0.29,
mammo,T,26,0,124,15,0.04,
parkinson,F,50,0,0,5,1,
parkinson,T,50,0,0,5,1,
seeds,F,50,0,0,5,1,
seeds,T,50,0,0,5,1,
blood_trans,F,199,17,1,3,0.23,
blood_trans,T,3,0,197,20,0,
biodegrad,F,238,6,2,18,0.8,
biodegrad,T,188,0,52,24,0.4,
breast,F,20,0,0,2,1,
breast,T,20,0,0,2,1,
ecoli,F,50,0,0,5,1,
ecoli,T,50,0,0,5,1,
fertility,F,30,0,0,3,1,
fertility,T,30,0,0,3,1,
haberman,F,79,6,1,2,0.33,
haberman,T,0,0,80,8,0,
liver,F,140,13,0,1,0.12,
liver,T,54,0,86,14,0.1,
ionosphere,F,80,0,0,8,1,
ionosphere,T,80,0,0,8,1,
mammo,F,149,15,1,0,-0.01,
mammo,T,2,0,148,15,0,
parkinson,F,50,0,0,5,1,
parkinson,T,50,0,0,5,1,
seeds,F,50,0,0,5,1,
seeds,T,50,0,0,5,1,
blood_trans,F,199,19,1,1,0.08,
blood_trans,T,10,0,190,20,0.01,
biodegrad,F,240,0,0,24,1,
biodegrad,T,240,0,0,24,1,
breast,F,20,0,0,2,1,
breast,T,20,0,0,2,1,
ecoli,F,50,0,0,5,1,
ecoli,T,50,0,0,5,1,
fertility,F,30,0,0,3,1,
fertility,T,30,0,0,3,1,
haberman,F,80,8,0,0,0,
haberman,T,0,0,80,8,0,
liver,F,138,14,2,0,-0.02,
liver,T,48,0,92,14,0.09,
ionosphere,F,80,0,0,8,1,
ionosphere,T,80,0,0,8,1,
mammo,F,148,13,2,2,0.18,
mammo,T,16,0,134,15,0.02,
parkinson,F,50,0,0,5,1,
parkinson,T,50,0,0,5,1,
seeds,F,50,0,0,5,1,
seeds,T,50,0,0,5,1,
blood_trans,F,199,20,1,0,-0.01,
blood_trans,T,2,0,198,20,0,
biodegrad,F,237,6,3,18,0.78,
biodegrad,T,194,0,46,24,0.43,
breast,F,20,0,0,2,1,
breast,T,20,0,0,2,1,
ecoli,F,50,0,0,5,1,
ecoli,T,50,0,0,5,1,
fertility,F,30,0,0,3,1,
fertility,T,30,0,0,3,1,
haberman,F,79,7,1,1,0.17,
haberman,T,0,0,80,8,0,
liver,F,139,12,1,2,0.21,
liver,T,65,0,75,14,0.14,
ionosphere,F,80,0,0,8,1,
ionosphere,T,80,0,0,8,1,
mammo,F,145,8,5,7,0.48,
mammo,T,120,0,30,15,0.42,
parkinson,F,50,0,0,5,1,
parkinson,T,50,0,0,5,1,
seeds,F,50,0,0,5,1,
seeds,T,50,0,0,5,1,
blood_trans,F,199,18,1,2,0.15,
blood_trans,T,2,0,198,20,0,
biodegrad,F,236,6,4,18,0.76,
biodegrad,T,193,0,47,24,0.43,
breast,F,20,0,0,2,1,
breast,T,20,0,0,2,1,
ecoli,F,50,0,0,5,1,
