file,cost,sigma,nSV_0,nSV_1,TN,FN,FP,TP,Kappa,
blood_trans,0.5,0.1,36,30,600,0,0,320,1,
biodegrad,0.5,0.1,220,93,720,0,0,384,1,
breast,0.5,0.1,7,6,60,0,0,10,1,
ecoli,0.5,0.1,20,18,150,0,0,66,1,
fertility,0.5,0.1,35,12,90,0,0,13,1,
haberman,0.5,0.1,28,21,240,0,0,128,1,
liver,0.5,0.1,82,38,420,0,0,224,1,
ionosphere,0.5,0.1,72,62,240,0,0,128,1,
mammo,0.5,0.1,82,49,450,0,0,240,1,
parkinson,0.5,0.1,39,21,150,0,0,67,1,
seeds,0.5,0.1,19,15,150,0,0,60,1,
blood_trans,0.5,0.1,28,27,600,0,0,320,1,
biodegrad,0.5,0.1,202,77,720,0,0,384,1,
breast,0.5,0.1,11,4,60,0,0,4,1,
ecoli,0.5,0.1,11,12,150,0,0,61,1,
fertility,0.5,0.1,39,15,90,0,0,23,1,
haberman,0.5,0.1,24,24,240,0,0,128,1,
liver,0.5,0.1,80,32,420,0,0,224,1,
ionosphere,0.5,0.1,61,59,240,0,0,128,1,
mammo,0.5,0.1,66,50,450,0,0,240,1,
parkinson,0.5,0.1,46,23,150,0,0,63,1,
seeds,0.5,0.1,15,11,150,0,0,69,1,
blood_trans,0.5,0.1,33,30,600,0,0,320,1,
biodegrad,0.5,0.1,211,107,720,0,0,384,1,
breast,0.5,0.1,8,4,60,0,0,7,1,
ecoli,0.5,0.1,13,12,150,0,0,61,1,
fertility,0.5,0.1,37,15,89,0,1,18,1,
haberman,0.5,0.1,27,20,240,0,0,128,1,
liver,0.5,0.1,75,39,420,0,0,224,1,
ionosphere,0.5,0.1,69,69,240,0,0,128,1,
mammo,0.5,0.1,57,44,450,0,0,240,1,
parkinson,0.5,0.1,50,23,150,0,0,62,1,
seeds,0.5,0.1,11,10,150,0,0,60,1,
blood_trans,0.5,0.1,37,23,600,0,0,320,1,
biodegrad,0.5,0.1,204,79,720,0,0,384,1,
breast,0.5,0.1,8,7,60,0,0,7,1,
ecoli,0.5,0.1,14,14,150,0,0,66,1,
fertility,0.5,0.1,37,14,90,0,0,22,1,
haberman,0.5,0.1,23,20,240,0,0,128,1,
liver,0.5,0.1,79,42,420,0,0,224,1,
ionosphere,0.5,0.1,64,50,240,0,0,128,1,
mammo,0.5,0.1,78,59,450,0,0,240,1,
parkinson,0.5,0.1,42,19,150,0,0,66,1,
seeds,0.5,0.1,15,13,150,0,0,63,1,
blood_trans,0.5,0.1,33,29,600,0,0,320,1,
biodegrad,0.5,0.1,206,83,720,0,0,384,1,
breast,0.5,0.1,11,9,60,0,0,9,1,
ecoli,0.5,0.1,13,15,150,0,0,58,1,
fertility,0.5,0.1,34,14,90,0,0,22,1,
haberman,0.5,0.1,26,24,240,0,0,128,1,
liver,0.5,0.1,83,40,420,0,0,224,1,
ionosphere,0.5,0.1,67,56,240,0,0,128,1,
mammo,0.5,0.1,79,54,450,0,0,240,1,
parkinson,0.5,0.1,51,29,150,0,0,66,1,
seeds,0.5,0.1,20,16,150,0,0,66,1,
blood_trans,0.5,0.1,34,32,600,0,0,320,1,
biodegrad,0.5,0.1,206,83,720,0,0,384,1,
breast,1.5,0.1,8,6,60,0,0,7,1,
ecoli,0.5,0.1,14,13,150,0,0,66,1,
fertility,0.5,0.1,44,14,90,0,0,17,1,
haberman,0.5,0.1,30,26,240,0,0,128,1,
liver,0.5,0.1,84,39,420,0,0,224,1,
ionosphere,0.5,0.1,55,52,240,0,0,128,1,
mammo,0.5,0.1,84,48,450,0,0,240,1,
parkinson,0.5,0.1,39,21,150,0,0,73,1,
seeds,0.5,0.1,18,14,150,0,0,62,1,
blood_trans,0.5,0.1,33,28,600,0,0,320,1,
biodegrad,0.5,0.1,205,89,720,0,0,384,1,
breast,0.5,0.1,9,7,60,0,0,11,1,
ecoli,0.5,0.1,17,16,150,0,0,57,1,
fertility,0.5,0.1,37,14,90,0,0,21,1,
haberman,0.5,0.1,28,27,240,0,0,128,1,
liver,0.5,0.1,72,44,420,0,0,224,1,
ionosphere,0.5,0.1,64,56,240,0,0,128,1,
mammo,0.5,0.1,64,42,450,0,0,240,1,
parkinson,0.5,0.1,38,17,150,0,0,64,1,
seeds,0.5,0.1,17,13,150,0,0,63,1,
blood_trans,0.5,0.1,35,30,600,0,0,320,1,
biodegrad,0.5,0.1,201,74,720,0,0,384,1,
breast,0.5,0.1,8,4,60,0,0,5,1,
ecoli,0.5,0.1,11,13,150,0,0,64,1,
fertility,1,0.1,45,10,90,0,0,17,1,
haberman,0.5,0.1,33,19,240,0,0,128,1,
liver,0.5,0.1,76,36,420,0,0,224,1,
ionosphere,0.5,0.1,54,49,240,0,0,128,1,
mammo,0.5,0.1,72,55,449,0,1,240,1,
parkinson,0.5,0.1,46,22,150,0,0,59,1,
seeds,0.5,0.1,18,13,150,0,0,63,1,
blood_trans,0.5,0.1,36,31,600,0,0,320,1,
