file,L1,L2,L3,TN,FN,FP,TP,Kappa,
blood_trans,2,2,2,398,0,1,20,1,
biodegrad,20,20,20,467,21,23,3,0.96,
breast,10,10,10,34,1,1,1,0.97,
ecoli,2,2,2,101,0,0,5,1,
fertility,10,10,10,59,3,3,0,0.95,
haberman,2,2,2,157,1,1,7,0.99,
liver,10,10,10,275,14,15,0,0.95,
ionosphere,20,20,25,157,1,1,7,0.99,
mammo,10,10,10,288,12,12,3,0.96,
parkinson,20,20,20,98,5,5,0,0.95,
seeds,2,2,2,98,0,0,5,1,
blood_trans,2,2,2,397,1,2,19,1,
biodegrad,20,25,20,468,20,22,4,0.96,
breast,10,10,10,35,0,0,2,1,
ecoli,2,2,2,101,0,0,5,1,
fertility,13,13,16,60,2,2,1,0.97,
haberman,2,2,2,157,1,1,7,0.99,
liver,10,10,10,276,13,14,1,0.96,
ionosphere,20,20,25,156,2,2,6,0.99,
mammo,10,10,10,285,14,15,1,0.95,
parkinson,20,20,20,99,4,4,1,0.96,
seeds,2,2,2,98,0,0,5,1,
blood_trans,2,2,5,398,0,1,20,1,
biodegrad,20,20,25,465,23,25,1,0.95,
breast,10,10,10,34,1,1,1,0.97,
ecoli,2,2,2,101,0,0,5,1,
fertility,13,13,16,60,2,2,1,0.97,
haberman,2,2,2,157,1,1,7,0.99,
liver,10,10,10,276,13,14,1,0.96,
ionosphere,20,20,25,156,2,2,6,0.99,
mammo,10,10,10,286,13,14,2,0.96,
parkinson,20,20,20,99,4,4,1,0.96,
seeds,2,2,2,98,0,0,5,1,
blood_trans,2,2,2,397,1,2,19,1,
biodegrad,30,20,25,468,20,22,4,0.96,
breast,10,10,10,35,0,0,2,1,
ecoli,2,2,2,101,0,0,5,1,
fertility,10,10,10,60,2,2,1,0.97,
haberman,2,2,2,157,1,1,7,0.99,
liver,10,10,10,276,13,14,1,0.96,
ionosphere,20,20,25,156,2,2,6,0.99,
mammo,10,10,10,287,12,13,3,0.96,
parkinson,20,20,20,99,4,4,1,0.96,
seeds,2,2,8,98,0,0,5,1,
blood_trans,2,2,2,398,0,1,20,1,
biodegrad,20,20,25,469,19,21,5,0.96,
breast,10,10,10,35,0,0,2,1,
ecoli,2,2,2,101,0,0,5,1,
fertility,13,13,16,60,2,2,1,0.97,
haberman,2,2,2,157,1,1,7,0.99,
liver,10,10,10,275,14,15,0,0.95,
ionosphere,30,20,20,157,1,1,7,0.99,
mammo,10,10,10,287,12,13,3,0.96,
parkinson,20,20,20,98,5,5,0,0.95,
seeds,2,2,2,98,0,0,5,1,
blood_trans,2,2,2,398,0,1,20,1,
biodegrad,30,20,20,470,18,20,6,0.96,
breast,10,10,10,35,0,0,2,1,
ecoli,2,2,2,101,0,0,5,1,
fertility,10,10,10,59,3,3,0,0.95,
haberman,2,2,2,158,0,0,8,1,
liver,10,10,10,276,13,14,1,0.96,
ionosphere,25,30,20,156,2,2,6,0.99,
mammo,10,10,10,286,13,14,2,0.96,
parkinson,20,20,20,99,4,4,1,0.96,
seeds,2,2,2,98,0,0,5,1,
blood_trans,2,2,2,396,2,3,18,0.99,
biodegrad,20,25,20,473,15,17,9,0.97,
breast,10,10,10,33,2,2,0,0.94,
ecoli,2,2,2,101,0,0,5,1,
fertility,16,10,16,60,2,2,1,0.97,
haberman,2,2,2,157,1,1,7,0.99,
liver,10,10,10,276,13,14,1,0.96,
ionosphere,25,20,20,157,1,1,7,0.99,
mammo,10,10,10,286,13,14,2,0.96,
parkinson,20,20,20,100,3,3,2,0.97,
seeds,2,2,2,98,0,0,5,1,
blood_trans,2,2,2,397,1,2,19,1,
biodegrad,20,20,35,467,21,23,3,0.96,
breast,10,10,10,35,0,0,2,1,
ecoli,2,2,2,101,0,0,5,1,
fertility,10,10,13,60,2,2,1,0.97,
haberman,2,2,2,157,1,1,7,0.99,
liver,10,10,10,275,14,15,0,0.95,
ionosphere,30,30,30,156,2,2,6,0.99,
mammo,10,10,10,289,10,11,5,0.97,
parkinson,20,20,20,99,4,4,1,0.96,
seeds,2,2,5,98,0,0,5,1,
blood_trans,2,2,2,397,1,2,19,1,
biodegrad,30,20,25,469,19,21,5,0.96,
breast,10,10,10,35,0,0,2,1,
ecoli,2,2,2,101,0,0,5,1,
fertility,10,13,13,60,2,2,1,0.97,
haberman,2,2,2,157,1,1,7,0.99,
liver,10,10,10,275,14,15,0,0.95,
ionosphere,25,20,25,156,2,2,6,0.99,
mammo,10,10,10,287,12,13,3,0.96,
parkinson,20,20,20,99,4,4,1,0.96,
seeds,2,2,2,98,0,0,5,1,
blood_trans,2,2,2,397,1,2,19,1,
biodegrad,20,25,20,470,18,20,6,0.96,
breast,10,10,10,35,0,0,2,1,
ecoli,2,2,2,101,0,0,5,1,
fertility,10,10,13,60,2,2,1,0.97,
haberman,2,2,2,158,0,0,8,1,
liver,10,10,10,275,14,15,0,0.95,
ionosphere,20,20,25,156,2,2,6,0.99,
mammo,10,10,10,286,13,14,2,0.96,
parkinson,20,20,20,98,5,5,0,0.95,
seeds,2,2,2,98,0,0,5,1,
