file,cost,sigma,TN,FN,FP,TP,Kappa,
blood_trans,0.01,0.1,399,20,0,0,0.95,
biodegrad,0.01,0.1,490,24,0,0,0.95,
breast,0.01,0.1,35,2,0,0,0.95,
ecoli,0.8,0.1,101,4,0,1,0.96,
fertility,0.01,0.1,62,3,0,0,0.95,
haberman,0.01,0.1,158,8,0,0,0.95,
liver,0.01,0.1,290,14,0,0,0.95,
ionosphere,0.01,0.1,158,8,0,0,0.95,
mammo,0.01,0.1,300,15,0,0,0.95,
parkinson,0.01,0.1,103,5,0,0,0.95,
seeds,0.01,0.1,98,5,0,0,0.95,
blood_trans,0.5,0.1,399,20,0,0,0.95,
biodegrad,0.4,0.1,485,23,5,1,0.95,
breast,0.01,0.1,35,2,0,0,0.95,
ecoli,0.01,0.1,101,5,0,0,0.95,
fertility,0.01,0.1,62,3,0,0,0.95,
haberman,0.01,0.1,158,8,0,0,0.95,
liver,0.6,1,286,14,4,0,0.95,
ionosphere,0.01,0.1,158,8,0,0,0.95,
mammo,0.01,0.1,300,15,0,0,0.95,
parkinson,0.01,0.1,103,5,0,0,0.95,
seeds,0.01,0.1,98,5,0,0,0.95,
blood_trans,0.4,0.1,398,19,1,1,0.95,
biodegrad,0.16,1,489,24,1,0,0.95,
breast,0.01,0.1,35,2,0,0,0.95,
ecoli,0.01,0.1,101,5,0,0,0.95,
fertility,0.7,1,62,3,0,0,0.95,
haberman,0.01,0.1,158,8,0,0,0.95,
liver,0.01,0.1,290,14,0,0,0.95,
ionosphere,0.01,0.1,158,8,0,0,0.95,
mammo,0.01,0.1,300,15,0,0,0.95,
parkinson,0.01,0.1,103,5,0,0,0.95,
seeds,0.01,0.1,98,5,0,0,0.95,
blood_trans,0.01,0.1,399,20,0,0,0.95,
biodegrad,0.01,0.1,490,24,0,0,0.95,
breast,0.01,0.1,35,2,0,0,0.95,
ecoli,0.01,0.1,101,5,0,0,0.95,
fertility,0.01,0.1,62,3,0,0,0.95,
haberman,0.01,0.1,158,8,0,0,0.95,
liver,0.01,0.1,290,14,0,0,0.95,
ionosphere,0.01,0.1,158,8,0,0,0.95,
mammo,0.01,0.1,300,15,0,0,0.95,
parkinson,0.01,0.1,103,5,0,0,0.95,
seeds,0.01,0.1,98,5,0,0,0.95,
blood_trans,0.4,0.7,397,20,2,0,0.95,
biodegrad,0.01,0.1,490,24,0,0,0.95,
breast,0.01,0.1,35,2,0,0,0.95,
ecoli,1,0.7,101,5,0,0,0.95,
fertility,0.01,0.1,62,3,0,0,0.95,
haberman,0.01,0.1,158,8,0,0,0.95,
liver,0.6,1,282,14,8,0,0.95,
ionosphere,1,0.1,157,8,1,0,0.95,
mammo,0.01,0.1,300,15,0,0,0.95,
parkinson,0.01,0.1,103,5,0,0,0.95,
seeds,0.01,0.1,98,5,0,0,0.95,
blood_trans,0.4,0.1,398,19,1,1,0.95,
biodegrad,0.01,0.1,490,24,0,0,0.95,
breast,0.01,0.1,35,2,0,0,0.95,
ecoli,0.01,0.1,101,5,0,0,0.95,
fertility,0.01,0.1,62,3,0,0,0.95,
haberman,0.01,0.1,158,8,0,0,0.95,
liver,0.01,0.1,290,14,0,0,0.95,
ionosphere,0.01,0.1,158,8,0,0,0.95,
mammo,0.9,0.4,299,15,1,0,0.95,
parkinson,0.01,0.1,103,5,0,0,0.95,
seeds,0.01,0.1,98,5,0,0,0.95,
blood_trans,0.01,0.1,399,20,0,0,0.95,
biodegrad,0.3,0.1,489,22,1,2,0.96,
breast,0.01,0.1,35,2,0,0,0.95,
ecoli,0.01,0.1,101,5,0,0,0.95,
fertility,0.01,0.1,62,3,0,0,0.95,
haberman,1,0.1,158,8,0,0,0.95,
liver,0.01,0.1,290,14,0,0,0.95,
ionosphere,0.6,0.1,158,8,0,0,0.95,
mammo,0.01,0.1,300,15,0,0,0.95,
parkinson,0.01,0.1,103,5,0,0,0.95,
seeds,0.01,0.1,98,5,0,0,0.95,
blood_trans,0.3,0.4,398,19,1,1,0.95,
biodegrad,0.3,0.1,488,24,2,0,0.95,
breast,0.01,0.1,35,2,0,0,0.95,
ecoli,0.01,0.1,101,5,0,0,0.95,
fertility,0.01,0.1,62,3,0,0,0.95,
haberman,0.01,0.1,158,8,0,0,0.95,
liver,0.01,0.1,290,14,0,0,0.95,
ionosphere,0.01,0.1,158,8,0,0,0.95,
mammo,0.6,1,299,15,1,0,0.95,
parkinson,0.01,0.1,103,5,0,0,0.95,
