file,TN,FN,FP,TP,Kappa,
blood_trans,532,75,68,225,0.88,
biodegrad,719,2,1,357,1,
breast,35,0,0,2,1,
ecoli,214,0,0,62,1,
fertility,120,0,1,20,1,
haberman,272,22,11,65,0.93,
liver,420,210,0,0,0.67,
ionosphere,240,3,0,58,0.99,
mammo,418,105,32,106,0.8,
parkinson,208,1,0,65,1,
seeds,193,0,0,70,1,
blood_trans,479,50,121,270,0.91,
biodegrad,720,3,0,362,1,
breast,30,1,1,1,0.97,
ecoli,217,0,0,70,1,
fertility,115,6,0,10,0.95,
haberman,230,11,10,60,0.95,
liver,420,224,0,0,0.65,
ionosphere,240,10,0,53,0.96,
mammo,421,73,29,152,0.85,
parkinson,212,1,0,63,1,
seeds,198,0,0,68,1,
blood_trans,533,44,67,276,0.92,
biodegrad,720,5,0,352,0.99,
breast,2,0,0,35,1,
ecoli,220,0,0,61,1,
fertility,90,9,0,0,0.91,
haberman,239,19,1,38,0.93,
liver,383,113,37,93,0.77,
ionosphere,240,10,0,40,0.96,
mammo,442,79,8,146,0.85,
parkinson,206,1,0,70,1,
seeds,195,0,0,69,1,
blood_trans,534,53,66,267,0.91,
biodegrad,719,6,1,355,0.99,
breast,33,0,2,2,1,
ecoli,214,0,1,68,1,
fertility,90,6,0,0,0.94,
haberman,237,6,3,69,0.98,
liver,420,198,0,0,0.68,
ionosphere,267,1,0,104,1,
mammo,447,84,3,130,0.84,
parkinson,210,1,0,64,1,
seeds,197,0,0,65,1,
blood_trans,548,82,52,238,0.87,
biodegrad,720,16,0,343,0.98,
breast,86,1,0,3,0.99,
ecoli,219,0,0,56,1,
fertility,118,1,0,18,0.99,
haberman,277,29,5,59,0.91,
liver,420,197,0,0,0.68,
ionosphere,240,7,0,60,0.97,
mammo,423,110,27,118,0.79,
parkinson,211,3,0,66,0.99,
seeds,198,2,0,62,0.99,
blood_trans,576,158,24,162,0.78,
biodegrad,720,0,0,356,1,
breast,30,1,0,1,0.97,
ecoli,218,0,0,69,1,
fertility,90,1,0,5,0.99,
haberman,239,34,1,30,0.88,
liver,420,224,0,0,0.65,
ionosphere,260,5,0,101,0.98,
mammo,427,63,23,152,0.87,
parkinson,214,0,0,66,1,
seeds,199,0,0,67,1,
blood_trans,561,107,39,197,0.84,
biodegrad,720,2,0,382,1,
breast,30,1,0,1,0.97,
ecoli,214,0,0,69,1,
fertility,117,4,0,19,0.97,
haberman,238,28,2,46,0.89,
liver,420,210,0,0,0.67,
ionosphere,354,1,0,112,1,
mammo,395,40,55,185,0.91,
parkinson,208,0,0,68,1,
seeds,200,0,2,64,1,
blood_trans,524,68,76,252,0.89,
biodegrad,717,2,3,382,1,
breast,2,0,0,35,1,
ecoli,228,0,0,67,1,
fertility,120,14,0,11,0.9,
haberman,234,33,6,39,0.88,
liver,372,80,48,122,0.82,
ionosphere,240,5,0,71,0.98,
mammo,425,66,25,159,0.87,
parkinson,207,0,0,73,1,
seeds,191,0,2,61,1,
blood_trans,551,71,49,249,0.89,
biodegrad,720,2,0,356,1,
breast,32,0,3,2,1,
ecoli,150,2,0,38,0.99,
fertility,114,0,0,26,1,
haberman,240,23,0,25,0.91,
liver,420,224,0,0,0.65,
ionosphere,240,5,0,42,0.98,
mammo,450,115,0,110,0.8,
parkinson,213,0,0,65,1,
seeds,191,0,4,61,1,
blood_trans,509,44,91,245,0.92,
biodegrad,720,2,0,367,1,
breast,85,1,0,5,0.99,
ecoli,221,0,0,69,1,
fertility,90,1,0,12,0.99,
haberman,279,67,0,13,0.81,
liver,420,201,0,0,0.68,
ionosphere,270,1,0,104,1,
mammo,425,89,25,125,0.83,
parkinson,207,1,0,68,1,
seeds,199,0,0,69,1,
