file,TN,FP,FN,TP,Kappa,
blood_trans,383,12,16,8,0.97,
biodegrad,490,4,0,20,0.99,
breast,35,2,0,0,0.95,
ecoli,101,0,0,5,1,
fertility,62,1,0,2,0.98,
haberman,158,4,0,4,0.98,
liver,281,12,9,2,0.96,
ionosphere,158,4,0,4,0.98,
mammo,247,11,53,4,0.96,
parkinson,103,0,0,5,1,
seeds,98,0,0,5,1,
blood_trans,393,14,6,6,0.97,
biodegrad,490,5,0,19,0.99,
breast,35,2,0,0,0.95,
ecoli,101,0,0,5,1,
fertility,62,0,0,3,1,
haberman,157,4,1,4,0.98,
liver,246,11,44,3,0.96,
ionosphere,158,4,0,4,0.98,
mammo,279,7,21,8,0.98,
parkinson,103,0,0,5,1,
seeds,98,0,0,5,1,
blood_trans,395,16,4,4,0.96,
biodegrad,490,4,0,20,0.99,
breast,35,2,0,0,0.95,
ecoli,101,0,0,5,1,
fertility,62,1,0,2,0.98,
haberman,123,6,35,2,0.95,
liver,283,13,7,1,0.96,
ionosphere,158,3,0,5,0.98,
mammo,269,4,31,11,0.99,
parkinson,103,0,0,5,1,
seeds,98,0,0,5,1,
blood_trans,399,20,0,0,0.95,
biodegrad,490,4,0,20,0.99,
breast,35,2,0,0,0.95,
ecoli,101,0,0,5,1,
fertility,62,1,0,2,0.98,
haberman,157,1,1,7,0.99,
liver,277,12,13,2,0.96,
ionosphere,158,2,0,6,0.99,
mammo,275,7,25,8,0.98,
parkinson,103,0,0,5,1,
seeds,98,0,0,5,1,
blood_trans,387,15,12,5,0.96,
biodegrad,490,4,0,20,0.99,
breast,35,0,0,2,1,
ecoli,101,0,0,5,1,
fertility,62,0,0,3,1,
haberman,158,3,0,5,0.98,
liver,290,14,0,0,0.95,
ionosphere,158,4,0,4,0.98,
mammo,262,7,38,8,0.97,
parkinson,103,1,0,4,0.99,
seeds,98,2,0,3,0.98,
blood_trans,354,14,45,6,0.96,
biodegrad,490,3,0,21,0.99,
breast,35,2,0,0,0.95,
ecoli,101,0,0,5,1,
fertility,62,1,0,2,0.98,
haberman,158,2,0,6,0.99,
liver,243,10,47,4,0.96,
ionosphere,158,2,0,6,0.99,
mammo,286,10,14,5,0.97,
parkinson,103,0,0,5,1,
seeds,98,0,0,5,1,
blood_trans,307,12,92,8,0.96,
biodegrad,490,24,0,0,0.95,
breast,35,2,0,0,0.95,
ecoli,101,0,0,5,1,
fertility,62,0,0,3,1,
haberman,158,5,0,3,0.97,
liver,285,12,5,2,0.96,
ionosphere,158,1,0,7,0.99,
mammo,253,7,47,8,0.97,
parkinson,103,0,0,5,1,
seeds,98,0,0,5,1,
blood_trans,383,12,16,8,0.97,
biodegrad,490,24,0,0,0.95,
breast,35,2,0,0,0.95,
ecoli,101,0,0,5,1,
fertility,62,1,0,2,0.98,
haberman,148,4,10,4,0.97,
liver,290,14,0,0,0.95,
ionosphere,158,3,0,5,0.98,
mammo,294,10,6,5,0.97,
parkinson,103,0,0,5,1,
seeds,98,1,0,4,0.99,
blood_trans,394,15,5,5,0.96,
biodegrad,490,3,0,21,0.99,
breast,35,2,0,0,0.95,
ecoli,101,2,0,3,0.98,
fertility,62,0,0,3,1,
haberman,156,5,2,3,0.97,
liver,246,9,44,5,0.96,
ionosphere,158,4,0,4,0.98,
mammo,249,9,51,6,0.97,
parkinson,103,0,0,5,1,
seeds,98,0,0,5,1,
blood_trans,338,9,61,11,0.97,
biodegrad,490,1,0,23,1,
breast,35,0,0,2,1,
ecoli,101,0,0,5,1,
fertility,62,1,0,2,0.98,
haberman,157,4,1,4,0.98,
liver,249,11,41,3,0.96,
ionosphere,158,3,0,5,0.98,
mammo,264,7,36,8,0.97,
parkinson,103,0,0,5,1,
seeds,98,0,0,5,1,
