file,TN,FN,FP,TP,Kappa,
blood_trans,201,11,198,9,0.95,
biodegrad,221,6,269,18,0.97,
breast,0,0,35,2,NaN,
ecoli,14,5,87,0,0.74,
fertility,13,1,49,2,0.93,
haberman,57,4,101,4,0.93,
liver,145,7,145,7,0.95,
ionosphere,71,1,87,7,0.99,
mammo,149,6,151,9,0.96,
parkinson,23,1,80,4,0.96,
seeds,28,3,70,2,0.9,
blood_trans,196,10,203,10,0.95,
biodegrad,229,3,261,21,0.99,
breast,17,1,18,1,0.94,
ecoli,14,5,87,0,0.74,
fertility,18,3,44,0,0.86,
haberman,80,3,78,5,0.96,
liver,148,6,142,8,0.96,
ionosphere,61,2,97,6,0.97,
mammo,145,9,155,6,0.94,
parkinson,20,1,83,4,0.95,
seeds,26,3,72,2,0.9,
blood_trans,189,11,210,9,0.94,
biodegrad,243,7,247,17,0.97,
breast,0,0,35,2,NaN,
ecoli,14,5,87,0,0.74,
fertility,30,1,32,2,0.97,
haberman,82,2,76,6,0.98,
liver,147,6,143,8,0.96,
ionosphere,76,0,82,8,1,
mammo,150,7,150,8,0.96,
parkinson,25,0,78,5,1,
seeds,26,4,72,1,0.87,
blood_trans,172,12,227,8,0.93,
biodegrad,191,7,299,17,0.96,
breast,0,0,35,2,NaN,
ecoli,16,5,85,0,0.76,
fertility,31,2,31,1,0.94,
haberman,76,7,82,1,0.92,
liver,144,6,146,8,0.96,
ionosphere,57,0,101,8,1,
mammo,156,3,144,12,0.98,
parkinson,20,0,83,5,1,
seeds,23,3,75,2,0.88,
blood_trans,196,12,203,8,0.94,
biodegrad,244,9,246,15,0.96,
breast,4,0,31,2,1,
ecoli,13,5,88,0,0.72,
fertility,16,0,46,3,1,
haberman,57,5,101,3,0.92,
liver,146,7,144,7,0.95,
ionosphere,80,1,78,7,0.99,
mammo,153,7,147,8,0.96,
parkinson,22,1,81,4,0.96,
seeds,26,3,72,2,0.9,
blood_trans,182,12,217,8,0.94,
biodegrad,190,7,300,17,0.96,
breast,18,0,17,2,1,
ecoli,14,5,87,0,0.74,
fertility,32,1,30,2,0.97,
haberman,77,6,81,2,0.93,
liver,147,6,143,8,0.96,
ionosphere,50,1,108,7,0.98,
mammo,150,6,150,9,0.96,
parkinson,24,0,79,5,1,
seeds,24,4,74,1,0.86,
blood_trans,186,9,213,11,0.95,
biodegrad,206,7,284,17,0.97,
breast,0,0,35,2,NaN,
ecoli,16,5,85,0,0.76,
fertility,20,1,42,2,0.95,
haberman,76,5,82,3,0.94,
liver,142,9,148,5,0.94,
ionosphere,19,1,139,7,0.95,
mammo,145,9,155,6,0.94,
parkinson,24,0,79,5,1,
seeds,20,3,78,2,0.87,
blood_trans,192,10,207,10,0.95,
biodegrad,224,3,266,21,0.99,
breast,0,0,35,2,NaN,
ecoli,9,5,92,0,0.64,
fertility,15,3,47,0,0.83,
haberman,78,3,80,5,0.96,
liver,143,9,147,5,0.94,
ionosphere,53,1,105,7,0.98,
mammo,151,9,149,6,0.94,
parkinson,21,0,82,5,1,
seeds,27,3,71,2,0.9,
blood_trans,195,12,204,8,0.94,
biodegrad,248,9,242,15,0.96,
breast,0,0,35,2,NaN,
ecoli,50,4,51,1,0.93,
fertility,20,2,42,1,0.91,
haberman,79,4,79,4,0.95,
liver,145,6,145,8,0.96,
ionosphere,71,1,87,7,0.99,
mammo,153,8,147,7,0.95,
parkinson,18,1,85,4,0.95,
seeds,22,3,76,2,0.88,
blood_trans,200,10,199,10,0.95,
biodegrad,209,5,281,19,0.98,
breast,5,0,30,2,1,
ecoli,14,5,87,0,0.74,
fertility,31,1,31,2,0.97,
haberman,60,3,98,5,0.95,
liver,147,4,143,10,0.97,
ionosphere,61,0,97,8,1,
mammo,146,10,154,5,0.94,
parkinson,26,1,77,4,0.96,
seeds,24,1,74,4,0.96,
