file,TN,FN,FP,TP,Kappa,
blood_trans,176,2,223,18,0.99,
biodegrad,480,0,10,24,1,
breast,35,0,0,2,1,
ecoli,99,0,2,5,1,
fertility,61,0,1,3,1,
haberman,122,0,36,8,1,
liver,42,1,248,13,0.98,
ionosphere,158,0,0,8,1,
mammo,223,1,77,14,1,
parkinson,103,0,0,5,1,
seeds,97,0,1,5,1,
blood_trans,251,1,148,19,1,
biodegrad,482,0,8,24,1,
breast,34,0,1,2,1,
ecoli,101,0,0,5,1,
fertility,48,0,14,3,1,
haberman,92,0,66,8,1,
liver,66,0,224,14,1,
ionosphere,158,0,0,8,1,
mammo,226,2,74,13,0.99,
parkinson,101,0,2,5,1,
seeds,98,0,0,5,1,
blood_trans,252,1,147,19,1,
biodegrad,479,0,11,24,1,
breast,35,0,0,2,1,
ecoli,101,0,0,5,1,
fertility,56,0,6,3,1,
haberman,97,0,61,8,1,
liver,80,0,210,14,1,
ionosphere,158,0,0,8,1,
mammo,233,1,67,14,1,
parkinson,103,0,0,5,1,
seeds,97,0,1,5,1,
blood_trans,280,0,119,20,1,
biodegrad,476,0,14,24,1,
breast,33,0,2,2,1,
ecoli,100,0,1,5,1,
fertility,58,0,4,3,1,
haberman,142,0,16,8,1,
liver,19,0,271,14,1,
ionosphere,156,0,2,8,1,
mammo,241,2,59,13,0.99,
parkinson,100,0,3,5,1,
seeds,97,1,1,4,0.99,
blood_trans,266,1,133,19,1,
biodegrad,453,0,37,24,1,
breast,35,0,0,2,1,
ecoli,101,0,0,5,1,
fertility,62,0,0,3,1,
haberman,88,1,70,7,0.99,
liver,21,0,269,14,1,
ionosphere,158,0,0,8,1,
mammo,220,2,80,13,0.99,
parkinson,101,0,2,5,1,
seeds,89,0,9,5,1,
blood_trans,269,0,130,20,1,
biodegrad,486,0,4,24,1,
breast,31,0,4,2,1,
ecoli,101,0,0,5,1,
fertility,62,0,0,3,1,
haberman,103,0,55,8,1,
liver,6,0,284,14,1,
ionosphere,155,0,3,8,1,
mammo,242,2,58,13,0.99,
parkinson,103,0,0,5,1,
seeds,96,0,2,5,1,
blood_trans,217,1,182,19,1,
biodegrad,483,0,7,24,1,
breast,35,0,0,2,1,
ecoli,100,0,1,5,1,
fertility,56,0,6,3,1,
haberman,113,1,45,7,0.99,
liver,84,1,206,13,0.99,
ionosphere,153,0,5,8,1,
mammo,245,0,55,15,1,
parkinson,103,0,0,5,1,
seeds,96,0,2,5,1,
blood_trans,277,1,122,19,1,
biodegrad,454,0,36,24,1,
breast,35,0,0,2,1,
ecoli,100,0,1,5,1,
fertility,42,0,20,3,1,
haberman,70,0,88,8,1,
liver,112,1,178,13,0.99,
ionosphere,157,0,1,8,1,
mammo,230,2,70,13,0.99,
parkinson,102,0,1,5,1,
seeds,97,1,1,4,0.99,
blood_trans,245,2,154,18,0.99,
biodegrad,482,0,8,24,1,
breast,35,2,0,0,0.95,
ecoli,97,0,4,5,1,
fertility,54,0,8,3,1,
haberman,130,0,28,8,1,
liver,6,0,284,14,1,
ionosphere,158,0,0,8,1,
mammo,231,0,69,15,1,
parkinson,103,0,0,5,1,
seeds,89,0,9,5,1,
blood_trans,266,0,133,20,1,
biodegrad,475,0,15,24,1,
breast,35,0,0,2,1,
ecoli,101,0,0,5,1,
fertility,59,0,3,3,1,
haberman,92,0,66,8,1,
liver,17,0,273,14,1,
ionosphere,152,0,6,8,1,
mammo,235,4,65,11,0.98,
parkinson,102,0,1,5,1,
seeds,98,0,0,5,1,
