file,cost,sigma,nu,TN,FN,FP,TP,Kappa,
blood_trans,0.01,0.22,0.05,203,9,196,11,0.96,
biodegrad,0.01,0.46,0.05,210,9,280,15,0.96,
breast,0.01,0.1,0.05,17,2,18,0,0.89,
ecoli,0.01,0.1,0.05,47,5,54,0,0.9,
fertility,0.01,0.22,0.05,33,0,29,3,1,
haberman,0.01,0.46,0.05,78,5,80,3,0.94,
liver,0.01,0.22,0.05,147,4,143,10,0.97,
ionosphere,0.01,0.52,0.05,60,4,98,4,0.94,
mammo,0.01,0.28,0.05,144,10,156,5,0.94,
parkinson,0.01,0.4,0.05,57,2,46,3,0.97,
seeds,0.01,0.52,0.05,46,3,52,2,0.94,
blood_trans,0.01,0.28,0.05,182,9,217,11,0.95,
biodegrad,0.01,0.28,0.05,215,7,275,17,0.97,
breast,0.01,0.1,0.05,17,2,18,0,0.89,
ecoli,0.01,0.1,0.05,49,5,52,0,0.91,
fertility,0.01,0.34,0.05,28,0,34,3,1,
haberman,0.01,0.46,0.05,79,4,79,4,0.95,
liver,0.01,0.52,0.05,151,3,139,11,0.98,
ionosphere,0.01,0.46,0.05,57,0,101,8,1,
mammo,0.01,0.1,0.05,145,13,155,2,0.92,
parkinson,0.01,0.22,0.05,51,1,52,4,0.98,
seeds,0.01,0.52,0.05,49,4,49,1,0.92,
blood_trans,0.01,0.1,0.05,199,12,200,8,0.94,
biodegrad,0.01,0.52,0.05,239,8,251,16,0.97,
breast,0.01,0.1,0.05,16,2,19,0,0.89,
ecoli,0.01,0.1,0.05,48,5,53,0,0.91,
fertility,0.01,0.46,0.05,39,0,23,3,1,
haberman,0.01,0.1,0.05,79,4,79,4,0.95,
liver,0.01,0.28,0.05,142,5,148,9,0.97,
ionosphere,0.01,0.46,0.05,71,0,87,8,1,
mammo,0.01,0.4,0.05,148,14,152,1,0.91,
parkinson,0.01,0.58,0.05,51,0,52,5,1,
seeds,0.01,0.52,0.05,46,4,52,1,0.92,
blood_trans,0.01,0.1,0.05,200,11,199,9,0.95,
biodegrad,0.01,0.52,0.05,247,9,243,15,0.96,
breast,0.01,0.1,0.05,15,2,20,0,0.88,
ecoli,0.01,0.1,0.05,49,5,52,0,0.91,
fertility,0.01,0.22,0.05,28,1,34,2,0.97,
haberman,0.01,0.1,0.05,73,7,85,1,0.91,
liver,0.01,0.52,0.05,145,4,145,10,0.97,
ionosphere,0.01,0.52,0.05,66,4,92,4,0.94,
mammo,0.01,0.4,0.05,147,9,153,6,0.94,
parkinson,0.01,0.58,0.05,40,0,63,5,1,
seeds,0.01,0.1,0.05,46,5,52,0,0.9,
blood_trans,0.01,0.1,0.05,210,9,189,11,0.96,
biodegrad,0.01,0.4,0.05,177,9,313,15,0.95,
breast,0.01,0.1,0.05,16,2,19,0,0.89,
ecoli,0.01,0.1,0.05,49,5,52,0,0.91,
fertility,0.01,0.16,0.05,24,0,38,3,1,
haberman,0.01,0.22,0.05,77,5,81,3,0.94,
liver,0.01,0.28,0.05,147,4,143,10,0.97,
ionosphere,0.01,0.52,0.05,79,1,79,7,0.99,
mammo,0.01,0.16,0.05,151,9,149,6,0.94,
parkinson,0.01,0.34,0.05,43,1,60,4,0.98,
seeds,0.01,0.52,0.05,49,4,49,1,0.92,
blood_trans,0.01,0.1,0.05,199,10,200,10,0.95,
biodegrad,0.01,0.28,0.05,249,10,241,14,0.96,
breast,0.01,0.1,0.05,16,1,19,1,0.94,
ecoli,0.01,0.1,0.05,48,5,53,0,0.91,
fertility,0.01,0.1,0.05,34,0,28,3,1,
haberman,0.01,0.1,0.05,76,6,82,2,0.93,
liver,0.01,0.16,0.05,147,6,143,8,0.96,
ionosphere,0.01,0.52,0.05,52,4,106,4,0.93,
mammo,0.01,0.22,0.05,141,10,159,5,0.93,
parkinson,0.01,0.58,0.05,47,0,56,5,1,
seeds,0.01,0.1,0.05,47,5,51,0,0.9,
blood_trans,0.01,0.16,0.05,199,11,200,9,0.95,
biodegrad,0.01,0.46,0.05,192,9,298,15,0.96,
breast,0.01,0.1,0.05,16,2,19,0,0.89,
ecoli,0.01,0.1,0.05,46,5,55,0,0.9,
fertility,0.01,0.34,0.05,33,0,29,3,1,
haberman,0.01,0.4,0.05,77,6,81,2,0.93,
liver,0.01,0.52,0.05,144,4,146,10,0.97,
ionosphere,0.01,0.46,0.05,55,2,103,6,0.96,
mammo,0.01,0.22,0.05,146,11,154,4,0.93,
parkinson,0.01,0.58,0.05,39,1,64,4,0.98,
seeds,0.01,0.1,0.05,45,5,53,0,0.9,
blood_trans,0.01,0.1,0.05,202,9,197,11,0.96,
biodegrad,0.01,0.4,0.05,174,4,316,20,0.98,
breast,0.01,0.1,0.05,18,2,17,0,0.9,
ecoli,0.01,0.1,0.05,49,5,52,0,0.91,
fertility,0.01,0.1,0.05,32,1,30,2,0.97,
haberman,0.01,0.16,0.05,81,2,77,6,0.98,
liver,0.01,0.22,0.05,148,5,142,9,0.97,
ionosphere,0.01,0.58,0.05,63,3,95,5,0.95,
mammo,0.01,0.1,0.05,145,12,155,3,0.92,
parkinson,0.01,0.34,0.05,48,0,55,5,1,
seeds,0.01,0.34,0.05,48,4,50,1,0.92,
blood_trans,0.01,0.58,0.05,208,12,191,8,0.95,
biodegrad,0.01,0.28,0.05,243,11,247,13,0.96,
breast,0.01,0.1,0.05,18,2,17,0,0.9,
ecoli,0.01,0.1,0.05,47,5,54,0,0.9,
fertility,0.01,0.46,0.05,24,0,38,3,1,
haberman,0.01,0.1,0.05,78,5,80,3,0.94,
liver,0.01,0.58,0.05,147,5,143,9,0.97,
ionosphere,0.01,0.52,0.05,63,2,95,6,0.97,
mammo,0.01,0.22,0.05,144,13,156,2,0.92,
parkinson,0.01,0.52,0.05,39,1,64,4,0.98,
seeds,0.01,0.1,0.05,47,5,51,0,0.9,
blood_trans,0.01,0.16,0.05,203,5,196,15,0.98,
biodegrad,0.01,0.46,0.05,187,4,303,20,0.98,
breast,0.01,0.1,0.05,15,2,20,0,0.88,
ecoli,0.01,0.1,0.05,47,5,54,0,0.9,
fertility,0.01,0.1,0.05,28,1,34,2,0.97,
haberman,0.01,0.1,0.05,79,4,79,4,0.95,
liver,0.01,0.28,0.05,149,2,141,12,0.99,
ionosphere,0.01,0.52,0.05,60,3,98,5,0.95,
mammo,0.01,0.1,0.05,150,13,150,2,0.92,
parkinson,0.01,0.16,0.05,54,2,49,3,0.96,
seeds,0.01,0.58,0.05,50,3,48,2,0.94,
