file,P0,P1,cost,sigma,nSV_0,nSV_1,TN,FN,FP,TP,Kappa,
blood_trans,0.5,16,0.1,0.5,11,325,130,4,269,16,0.97,
biodegrad,0.5,14,0.1,0.5,9,240,275,6,215,18,0.98,
breast,0.5,2,0.1,0.5,2,8,34,0,1,2,1,
ecoli,0.5,2,0.1,0.5,5,21,94,0,7,5,1,
fertility,0.5,4,0.1,0.5,3,24,50,0,12,3,1,
haberman,0.5,20,0.4,0.5,4,150,37,1,121,7,0.97,
liver,0.5,20,0.1,0.5,7,228,90,1,200,13,0.99,
ionosphere,0.5,20,0.1,2,4,115,52,1,106,7,0.98,
mammo,0.5,20,0.1,1.5,3,102,217,0,83,15,1,
parkinson,0.5,8,0.1,0.5,4,58,60,0,43,5,1,
seeds,0.5,4,0.1,0.5,5,34,81,0,17,5,1,
blood_trans,0.5,10,0.1,0.5,14,266,202,1,197,19,1,
biodegrad,0.5,12,0.1,0.5,8,191,315,4,175,20,0.99,
breast,0.5,4,0.1,0.5,2,9,29,0,6,2,1,
ecoli,0.5,4,0.1,0.5,4,31,90,0,11,5,1,
fertility,0.5,8,0.1,0.5,3,45,31,0,31,3,1,
haberman,0.5,12,0.1,0.5,7,158,0,0,158,8,NaN,
liver,0.5,8,0.1,0.5,10,156,218,2,72,12,0.99,
ionosphere,0.5,12,0.1,0.5,5,91,74,2,84,6,0.97,
mammo,0.5,14,0.1,0.5,6,137,217,1,83,14,1,
parkinson,0.5,10,0.1,0.5,3,51,59,0,44,5,1,
seeds,0.5,6,0.1,0.5,4,38,81,0,17,5,1,
blood_trans,0.5,20,0.1,0.5,10,368,159,2,240,18,0.99,
biodegrad,0.5,18,0.1,1,5,151,352,2,138,22,0.99,
breast,0.5,4,0.1,0.5,2,11,26,0,9,2,1,
ecoli,0.5,4,0.1,0.5,3,24,86,0,15,5,1,
fertility,0.5,10,0.1,0.5,3,56,17,0,45,3,1,
haberman,0.5,18,0.1,0.5,6,158,0,0,158,8,NaN,
liver,0.5,18,0.1,0.5,8,224,107,1,183,13,0.99,
ionosphere,0.5,10,0.1,0.5,4,74,93,2,65,6,0.98,
mammo,0.5,18,0.1,0.5,4,118,203,0,97,15,1,
parkinson,0.5,8,0.1,0.5,3,49,63,0,40,5,1,
seeds,0.5,6,0.1,0.5,4,37,78,0,20,5,1,
blood_trans,0.5,16,0.1,0.5,9,277,160,3,239,17,0.98,
biodegrad,0.5,20,0.1,1,7,255,249,5,241,19,0.98,
breast,0.5,2,0.1,0.5,2,8,32,0,3,2,1,
ecoli,0.5,4,0.1,0.5,4,30,91,0,10,5,1,
fertility,0.5,6,0.1,0.5,3,34,56,0,6,3,1,
haberman,0.5,20,0.1,0.5,6,158,0,0,158,8,NaN,
liver,0.5,18,0.1,0.5,7,219,114,1,176,13,0.99,
ionosphere,0.5,18,0.4,0.5,3,81,79,1,79,7,0.99,
mammo,0.5,10,0.1,0.5,6,119,212,1,88,14,1,
parkinson,0.5,6,0.1,0.5,5,49,66,0,37,5,1,
seeds,0.5,4,0.1,0.5,4,33,86,0,12,5,1,
blood_trans,0.5,20,0.1,0.5,11,386,67,0,332,20,1,
