file,cost,sigma,nSV_0,nSV_1,TN,FN,FP,TP,Kappa,
blood_trans,0.5,0.1,35,33,600,0,0,620,1,
biodegrad,0.5,0.1,247,106,720,0,0,744,1,
breast,0.5,0.1,5,4,60,0,0,15,1,
ecoli,0.5,0.1,19,21,150,0,0,128,1,
fertility,0.5,0.1,38,15,90,0,0,30,1,
haberman,0.5,0.1,30,26,240,0,0,248,1,
liver,0.5,0.1,84,42,420,0,0,434,1,
ionosphere,0.5,0.1,63,61,240,0,0,248,1,
mammo,0.5,0.1,72,54,450,0,0,465,1,
parkinson,0.5,0.1,47,28,150,0,0,117,1,
seeds,0.5,0.1,13,11,150,0,0,125,1,
blood_trans,0.5,0.1,37,30,600,0,0,620,1,
biodegrad,0.5,0.1,241,102,720,0,0,744,1,
breast,0.5,0.1,9,8,60,0,0,14,1,
ecoli,0.5,0.1,18,16,150,0,0,130,1,
fertility,0.5,0.1,41,13,90,0,0,38,1,
haberman,0.5,0.1,28,22,240,0,0,248,1,
liver,0.5,0.1,83,45,420,0,0,434,1,
ionosphere,0.5,0.1,64,68,240,0,0,248,1,
mammo,0.5,0.1,71,61,449,0,1,465,1,
parkinson,0.5,0.1,42,18,150,0,0,116,1,
seeds,0.5,0.1,13,11,150,0,0,124,1,
blood_trans,0.5,0.1,39,31,600,0,0,620,1,
biodegrad,0.5,0.1,240,121,720,0,0,744,1,
breast,0.5,0.1,12,8,60,0,0,14,1,
ecoli,0.5,0.1,15,18,150,0,0,128,1,
fertility,0.5,0.1,39,14,90,0,0,45,1,
haberman,0.5,0.1,33,26,240,0,0,248,1,
liver,0.5,0.1,79,41,420,0,0,434,1,
ionosphere,0.5,0.1,62,76,240,0,0,248,1,
mammo,0.5,0.1,84,59,450,0,0,465,1,
parkinson,0.5,0.1,40,20,150,0,0,124,1,
seeds,0.5,0.1,12,11,150,0,0,125,1,
blood_trans,0.5,0.1,39,33,600,0,0,620,1,
biodegrad,0.5,0.1,237,99,720,0,0,744,1,
breast,1,0.1,11,6,60,0,0,14,1,
ecoli,0.5,0.1,17,15,150,0,0,126,1,
fertility,0.5,0.1,43,17,90,0,0,38,1,
haberman,0.5,0.1,27,26,240,0,0,248,1,
liver,0.5,0.1,70,36,420,0,0,434,1,
ionosphere,0.5,0.1,62,63,240,0,0,248,1,
mammo,0.5,0.1,69,53,450,0,0,465,1,
parkinson,0.5,0.1,40,26,150,0,0,123,1,
seeds,0.5,0.1,13,12,150,0,0,121,1,
blood_trans,0.5,0.1,41,32,600,0,0,620,1,
biodegrad,0.5,0.1,214,94,720,0,0,744,1,
breast,0.5,0.1,8,7,60,0,0,10,1,
ecoli,0.5,0.1,14,12,150,0,0,124,1,
fertility,0.5,0.1,41,16,90,0,0,42,1,
haberman,0.5,0.1,31,25,240,0,0,248,1,
liver,0.5,0.1,80,42,420,0,0,434,1,
ionosphere,0.5,0.1,62,51,240,0,0,248,1,
mammo,0.5,0.1,70,56,450,0,0,465,1,
parkinson,0.5,0.1,52,26,150,0,0,125,1,
seeds,0.5,0.1,14,13,150,0,0,124,1,
blood_trans,0.5,0.1,36,33,600,0,0,620,1,
biodegrad,0.5,0.1,232,100,720,0,0,744,1,
breast,0.5,0.1,9,8,60,0,0,13,1,
ecoli,0.5,0.1,17,19,150,0,0,119,1,
fertility,0.5,0.1,41,17,90,0,0,45,1,
haberman,0.5,0.1,25,25,240,0,0,248,1,
liver,0.5,0.1,86,48,420,0,0,434,1,
ionosphere,0.5,0.1,63,69,240,0,0,248,1,
mammo,0.5,0.1,66,46,450,0,0,465,1,
parkinson,0.5,0.1,42,23,150,0,0,128,1,
seeds,0.5,0.1,13,10,150,0,0,123,1,
blood_trans,0.5,0.1,37,32,600,0,0,620,1,
biodegrad,0.5,0.1,231,109,720,0,0,744,1,
breast,0.5,0.1,12,9,60,0,0,14,1,
ecoli,0.5,0.1,15,17,150,0,0,122,1,
fertility,0.5,0.1,41,15,90,0,0,37,1,
haberman,0.5,0.1,30,24,240,0,0,248,1,
liver,0.5,0.1,76,41,420,0,0,434,1,
ionosphere,0.5,0.1,52,68,240,0,0,248,1,
mammo,0.5,0.1,69,47,450,0,0,465,1,
parkinson,0.5,0.1,42,29,150,0,0,131,1,
seeds,0.5,0.1,17,12,150,0,0,122,1,
blood_trans,0.5,0.1,41,32,600,0,0,620,1,
biodegrad,0.5,0.1,228,88,720,0,0,744,1,
breast,0.5,0.1,7,6,60,0,0,10,1,
ecoli,0.5,0.1,12,11,150,0,0,130,1,
fertility,0.5,0.1,36,10,90,0,0,41,1,
haberman,0.5,0.1,28,25,240,0,0,248,1,
liver,0.5,0.1,87,47,420,0,0,434,1,
ionosphere,0.5,0.1,70,70,240,0,0,248,1,
mammo,0.5,0.1,63,46,450,0,0,465,1,
parkinson,0.5,0.1,52,24,150,0,0,131,1,
seeds,0.5,0.1,17,14,150,0,0,121,1,
blood_trans,0.5,0.1,37,33,600,0,0,620,1,
biodegrad,0.5,0.1,236,90,720,0,0,744,1,
breast,0.5,0.1,13,9,60,0,0,14,1,
ecoli,0.5,0.1,16,16,150,0,0,125,1,
fertility,0.5,0.1,40,18,89,0,1,39,1,
haberman,0.5,0.1,27,22,240,0,0,248,1,
liver,0.5,0.1,80,43,420,0,0,434,1,
ionosphere,0.5,0.1,62,62,240,0,0,248,1,
mammo,0.5,0.1,65,40,450,0,0,465,1,
parkinson,0.5,0.1,46,28,150,0,0,121,1,
seeds,0.5,0.1,20,18,150,0,0,120,1,
blood_trans,0.5,0.1,38,34,600,0,0,620,1,
biodegrad,0.5,0.1,237,102,720,0,0,744,1,
breast,0.5,0.1,8,5,60,0,0,23,1,
ecoli,0.5,0.1,15,14,150,0,0,131,1,
fertility,0.5,0.1,46,17,90,0,0,44,1,
haberman,0.5,0.1,30,26,240,0,0,248,1,
liver,0.5,0.1,76,45,420,0,0,434,1,
ionosphere,0.5,0.1,57,69,240,0,0,248,1,
mammo,0.5,0.1,68,55,450,0,0,465,1,
parkinson,0.5,0.1,49,27,150,0,0,119,1,
seeds,0.5,0.1,15,12,150,0,0,126,1,
