file,cost,sigma,nSV_0,nSV_1,TN,FN,FP,TP,Kappa,
blood_trans,0.5,0.1,36,27,260,0,0,180,1,
biodegrad,0.5,0.1,156,71,312,0,0,216,1,
breast,0.5,0.1,8,5,26,0,0,5,1,
ecoli,0.5,0.1,12,13,65,0,0,42,1,
fertility,1,0.1,27,7,39,0,0,14,1,
haberman,0.5,0.1,26,23,104,0,0,72,1,
liver,0.5,0.1,59,39,182,0,0,126,1,
ionosphere,0.5,0.1,43,38,104,0,0,72,1,
mammo,0.5,0.1,55,45,195,0,0,135,1,
parkinson,0.5,0.1,36,21,65,0,0,37,1,
seeds,0.5,0.1,17,13,65,0,0,39,1,
blood_trans,0.5,0.1,31,27,260,0,0,180,1,
biodegrad,0.5,0.1,161,68,312,0,0,216,1,
breast,0.5,0.1,7,5,26,0,0,5,1,
ecoli,0.5,0.1,11,11,65,0,0,33,1,
fertility,0.5,0.1,25,13,39,0,0,18,1,
haberman,0.5,0.1,26,23,104,0,0,72,1,
liver,0.5,0.1,69,37,182,0,0,126,1,
ionosphere,0.5,0.1,46,49,104,0,0,72,1,
mammo,0.5,0.1,56,35,195,0,0,135,1,
parkinson,0.5,0.1,34,19,65,0,0,35,1,
seeds,0.5,0.1,15,12,65,0,0,37,1,
blood_trans,0.5,0.1,33,30,260,0,0,180,1,
biodegrad,0.5,0.1,150,72,312,0,0,216,1,
breast,0.5,0.1,6,5,26,0,0,6,1,
ecoli,0.5,0.1,18,17,65,0,0,34,1,
fertility,0.5,0.1,26,13,39,0,0,15,1,
haberman,0.5,0.1,25,21,104,0,0,72,1,
liver,0.5,0.1,69,41,182,0,0,126,1,
ionosphere,0.5,0.1,43,47,104,0,0,72,1,
mammo,0.5,0.1,50,46,195,0,0,135,1,
parkinson,0.5,0.1,34,20,65,0,0,37,1,
seeds,0.5,0.1,14,10,65,0,0,36,1,
blood_trans,0.5,0.1,34,28,260,0,0,180,1,
biodegrad,0.5,0.1,161,71,311,0,1,216,1,
breast,0.5,0.1,6,4,26,0,0,5,1,
ecoli,0.5,0.1,10,12,65,0,0,36,1,
fertility,0.5,0.1,27,15,39,0,0,15,1,
haberman,0.5,0.1,26,22,104,0,0,72,1,
liver,0.5,0.1,68,38,182,0,0,126,1,
ionosphere,0.5,0.1,40,38,104,0,0,72,1,
mammo,0.5,0.1,50,40,195,0,0,135,1,
parkinson,0.5,0.1,37,21,65,0,0,37,1,
seeds,0.5,0.1,10,9,65,0,0,40,1,
blood_trans,0.5,0.1,33,26,260,0,0,180,1,
biodegrad,0.5,0.1,166,63,311,0,1,216,1,
breast,0.5,0.1,8,5,26,0,0,5,1,
ecoli,0.5,0.1,12,9,65,0,0,38,1,
fertility,1,0.1,29,7,39,0,0,13,1,
haberman,0.5,0.1,22,22,104,0,0,72,1,
liver,0.5,0.1,63,43,182,0,0,126,1,
ionosphere,0.5,0.1,45,36,104,0,0,72,1,
