file, l1, l2, l3,TN,FP,FN,TP,Recall,Neg_pred,Kappa,
blood_trans,2,2,2,170,0,1,53,1,1,0.99,
blood_trans,2,2,5,170,0,1,53,1,1,0.99,
blood_trans,2,5,2,170,0,1,53,1,1,0.99,
blood_trans,2,5,5,130,46,41,7,0.13,0.74,-0.11,
blood_trans,5,2,2,170,0,1,53,1,1,0.99,
blood_trans,5,2,5,170,0,1,53,1,1,0.99,
blood_trans,5,5,2,170,0,1,53,1,1,0.99,
blood_trans,5,5,5,170,0,1,53,1,1,0.99,
breast,10,10,10,14,2,0,15,0.88,0.87,0.87,
ecoli,2,2,2,42,0,0,57,1,1,1,
ecoli,2,2,5,42,0,0,57,1,1,1,
ecoli,2,5,2,42,0,0,57,1,1,1,
ecoli,2,5,5,42,0,0,57,1,1,1,
ecoli,5,2,2,42,0,0,57,1,1,1,
ecoli,5,2,5,42,0,0,57,1,1,1,
ecoli,5,5,2,42,23,0,34,0.6,0.65,0.56,
ecoli,5,5,5,42,0,0,57,1,1,1,
fertility,10,10,10,26,3,0,0,0,0.9,0,
fertility,10,10,13,26,3,0,0,0,0.9,0,
fertility,10,10,16,24,3,2,0,0,0.89,-0.09,
fertility,10,13,10,26,3,0,0,0,0.9,0,
fertility,10,13,13,24,3,2,0,0,0.89,-0.09,
fertility,10,13,16,26,3,0,0,0,0.9,0,
fertility,10,16,10,25,3,1,0,0,0.89,-0.05,
fertility,10,16,13,26,3,0,0,0,0.9,0,
fertility,10,16,16,26,3,0,0,0,0.9,0,
fertility,13,10,10,26,3,0,0,0,0.9,0,
fertility,13,10,13,25,2,1,1,0.33,0.93,0.35,
fertility,13,10,16,25,3,1,0,0,0.89,-0.05,
fertility,13,13,10,25,3,1,0,0,0.89,-0.05,
fertility,13,13,13,20,3,6,0,0,0.87,-0.16,
fertility,13,13,16,26,3,0,0,0,0.9,0,
fertility,13,16,10,26,3,0,0,0,0.9,0,
fertility,13,16,13,26,3,0,0,0,0.9,0,
fertility,13,16,16,25,3,1,0,0,0.89,-0.05,
fertility,16,10,10,26,3,0,0,0,0.9,0,
fertility,16,10,13,26,3,0,0,0,0.9,0,
fertility,16,10,16,26,3,0,0,0,0.9,0,
fertility,16,13,10,21,3,5,0,0,0.88,-0.15,
fertility,16,13,13,26,3,0,0,0,0.9,0,
fertility,16,13,16,26,3,0,0,0,0.9,0,
fertility,16,16,10,26,3,0,0,0,0.9,0,
fertility,16,16,13,24,3,2,0,0,0.89,-0.09,
fertility,16,16,16,25,2,1,1,0.33,0.93,0.35,
haberman,2,2,2,67,0,0,24,1,1,1,
liver,10,10,10,117,45,7,4,0.08,0.72,0.03,
ionosphere,20,20,20,66,27,1,10,0.27,0.71,0.3,
ionosphere,20,20,25,67,32,0,5,0.14,0.68,0.17,
ionosphere,20,20,30,67,28,0,9,0.24,0.71,0.29,
ionosphere,20,25,20,67,31,0,6,0.16,0.68,0.2,
ionosphere,20,25,25,67,32,0,5,0.14,0.68,0.17,
ionosphere,20,25,30,67,28,0,9,0.24,0.71,0.29,
ionosphere,20,30,20,67,34,0,3,0.08,0.66,0.1,
ionosphere,20,30,25,63,25,4,12,0.32,0.72,0.3,
ionosphere,20,30,30,63,29,4,8,0.22,0.68,0.18,
ionosphere,25,20,20,67,28,0,9,0.24,0.71,0.29,
ionosphere,25,20,25,66,28,1,9,0.24,0.7,0.27,
ionosphere,25,20,30,66,27,1,10,0.27,0.71,0.3,
ionosphere,25,25,20,67,28,0,9,0.24,0.71,0.29,
ionosphere,25,25,25,67,29,0,8,0.22,0.7,0.26,
ionosphere,25,25,30,66,28,1,9,0.24,0.7,0.27,
ionosphere,25,30,20,66,30,1,7,0.19,0.69,0.21,
ionosphere,25,30,25,67,28,0,9,0.24,0.71,0.29,
ionosphere,25,30,30,63,32,4,5,0.14,0.66,0.09,
ionosphere,30,20,20,67,30,0,7,0.19,0.69,0.23,
ionosphere,30,20,25,67,28,0,9,0.24,0.71,0.29,
ionosphere,30,20,30,67,28,0,9,0.24,0.71,0.29,
ionosphere,30,25,20,67,28,0,9,0.24,0.71,0.29,
ionosphere,30,25,25,67,28,0,9,0.24,0.71,0.29,
ionosphere,30,25,30,66,27,1,10,0.27,0.71,0.3,
ionosphere,30,30,20,67,31,0,6,0.16,0.68,0.2,
ionosphere,30,30,25,67,28,0,9,0.24,0.71,0.29,
ionosphere,30,30,30,67,32,0,5,0.14,0.68,0.17,
mammo,10,10,10,118,120,10,2,0.02,0.5,-0.06,
parkinson,20,20,20,40,13,4,1,0.07,0.75,-0.02,
biodegrad,20,20,20,203,91,6,15,0.14,0.69,0.14,
biodegrad,20,20,25,193,85,16,21,0.2,0.69,0.14,
biodegrad,20,20,30,172,101,37,5,0.05,0.63,-0.15,
biodegrad,20,25,20,181,80,28,26,0.25,0.69,0.13,
biodegrad,20,25,25,185,69,24,37,0.35,0.73,0.26,
biodegrad,20,25,30,181,93,28,13,0.12,0.66,-0.01,
biodegrad,20,30,20,158,102,51,4,0.04,0.61,-0.23,
biodegrad,20,30,25,167,103,42,3,0.03,0.62,-0.2,
biodegrad,20,30,30,158,102,51,4,0.04,0.61,-0.23,
biodegrad,25,20,20,200,106,9,0,0,0.65,-0.06,
biodegrad,25,20,25,201,105,8,1,0.01,0.66,-0.04,
biodegrad,25,20,30,177,101,32,5,0.05,0.64,-0.13,
biodegrad,25,25,20,174,93,35,13,0.12,0.65,-0.05,
biodegrad,25,25,25,158,102,51,4,0.04,0.61,-0.23,
biodegrad,25,25,30,186,104,23,2,0.02,0.64,-0.11,
biodegrad,25,30,20,158,102,51,4,0.04,0.61,-0.23,
biodegrad,25,30,25,197,102,12,4,0.04,0.66,-0.02,
biodegrad,25,30,30,158,102,51,4,0.04,0.61,-0.23,
biodegrad,30,20,20,158,102,51,4,0.04,0.61,-0.23,
biodegrad,30,20,25,160,80,49,26,0.25,0.67,0.01,
biodegrad,30,20,30,182,94,27,12,0.11,0.66,-0.02,
biodegrad,30,25,20,190,104,19,2,0.02,0.65,-0.09,
biodegrad,30,25,25,169,103,40,3,0.03,0.62,-0.19,
biodegrad,30,25,30,188,106,21,0,0,0.64,-0.13,
biodegrad,30,30,20,203,106,6,0,0,0.66,-0.04,
biodegrad,30,30,25,189,105,20,1,0.01,0.64,-0.11,
biodegrad,30,30,30,196,97,13,9,0.08,0.67,0.03,
seeds,2,2,2,42,0,0,21,1,1,1,
seeds,2,2,5,42,0,0,21,1,1,1,
seeds,2,2,8,42,0,0,21,1,1,1,
seeds,2,5,2,42,0,0,21,1,1,1,
seeds,2,5,5,42,5,0,16,0.76,0.89,0.81,
seeds,2,5,8,42,5,0,16,0.76,0.89,0.81,
seeds,2,8,2,42,0,0,21,1,1,1,
seeds,2,8,5,39,21,3,0,0,0.65,-0.09,
seeds,2,8,8,42,0,0,21,1,1,1,
seeds,5,2,2,42,0,0,21,1,1,1,
seeds,5,2,5,42,0,0,21,1,1,1,
seeds,5,2,8,40,21,2,0,0,0.66,-0.06,
seeds,5,5,2,42,0,0,21,1,1,1,
seeds,5,5,5,42,0,0,21,1,1,1,
seeds,5,5,8,42,0,0,21,1,1,1,
seeds,5,8,2,42,0,0,21,1,1,1,
seeds,5,8,5,42,0,0,21,1,1,1,
seeds,5,8,8,42,0,0,21,1,1,1,
seeds,8,2,2,42,0,0,21,1,1,1,
seeds,8,2,5,37,21,5,0,0,0.64,-0.15,
seeds,8,2,8,42,0,0,21,1,1,1,
seeds,8,5,2,42,0,0,21,1,1,1,
seeds,8,5,5,42,0,0,21,1,1,1,
seeds,8,5,8,42,0,0,21,1,1,1,
seeds,8,8,2,42,0,0,21,1,1,1,
seeds,8,8,5,42,0,0,21,1,1,1,
seeds,8,8,8,42,0,0,21,1,1,1,
