file,TN,FN,FP,TP,Kappa,
blood_trans,485,166,115,415,NA,
biodegrad,710,12,10,702,NA,
breast,1,0,1,30,NA,
ecoli,150,1,0,78,NA,
fertility,117,1,0,44,NA,
haberman,240,103,0,0,NA,
liver,60,16,360,372,NA,
ionosphere,240,10,0,102,NA,
mammo,30,1,420,434,NA,
parkinson,201,0,6,126,NA,
seeds,188,0,12,120,NA,
blood_trans,415,141,185,446,NA,
biodegrad,701,11,19,681,NA,
breast,1,0,1,30,NA,
ecoli,216,17,4,114,NA,
fertility,90,5,0,5,NA,
haberman,231,65,9,52,NA,
liver,30,1,390,403,NA,
ionosphere,240,6,0,133,NA,
mammo,30,1,420,434,NA,
parkinson,210,15,0,108,NA,
seeds,193,0,0,126,NA,
blood_trans,394,106,206,454,NA,
biodegrad,797,14,28,730,NA,
breast,79,4,4,15,NA,
ecoli,207,0,10,128,NA,
fertility,90,12,0,0,NA,
haberman,240,70,0,30,NA,
liver,0,0,420,434,NA,
ionosphere,262,0,0,155,NA,
mammo,201,0,450,465,NA,
parkinson,207,11,0,110,NA,
seeds,195,0,0,125,NA,
blood_trans,334,119,266,501,NA,
biodegrad,710,12,10,671,NA,
breast,35,0,0,2,NA,
ecoli,223,0,1,120,NA,
fertility,116,46,0,0,NA,
haberman,191,40,49,112,NA,
liver,90,33,330,341,NA,
ionosphere,248,0,11,156,NA,
mammo,60,13,390,403,NA,
parkinson,213,0,0,116,NA,
seeds,197,0,3,122,NA,
blood_trans,224,24,376,596,NA,
biodegrad,466,13,254,731,NA,
breast,30,1,0,1,NA,
ecoli,225,0,0,128,NA,
fertility,116,39,0,0,NA,
haberman,240,95,0,0,NA,
liver,90,34,330,341,NA,
ionosphere,248,2,16,190,NA,
mammo,203,0,450,465,NA,
parkinson,212,5,0,119,NA,
seeds,188,0,4,125,NA,
blood_trans,304,164,296,456,NA,
biodegrad,704,15,16,676,NA,
breast,84,1,0,12,NA,
ecoli,219,0,5,132,NA,
fertility,90,11,0,0,NA,
haberman,237,144,3,0,NA,
liver,150,123,270,279,NA,
ionosphere,252,0,10,163,NA,
mammo,30,1,420,434,NA,
parkinson,213,1,0,122,NA,
seeds,198,0,6,121,NA,
blood_trans,163,0,437,620,NA,
biodegrad,711,14,9,672,NA,
breast,83,14,0,0,NA,
ecoli,213,0,4,128,NA,
fertility,115,42,0,0,NA,
haberman,234,80,6,59,NA,
liver,0,0,420,434,NA,
ionosphere,88,2,180,197,NA,
mammo,90,41,360,372,NA,
parkinson,157,12,0,65,NA,
seeds,193,0,5,125,NA,
blood_trans,345,59,255,561,NA,
biodegrad,715,14,5,700,NA,
breast,87,5,0,8,NA,
ecoli,150,1,0,66,NA,
fertility,90,15,0,0,NA,
haberman,240,90,0,0,NA,
liver,0,0,420,434,NA,
ionosphere,257,5,0,152,NA,
mammo,30,1,420,434,NA,
parkinson,208,0,0,121,NA,
seeds,197,0,1,134,NA,
blood_trans,511,244,89,349,NA,
biodegrad,695,3,25,695,NA,
breast,30,1,0,1,NA,
ecoli,226,6,11,124,NA,
fertility,88,1,2,19,NA,
haberman,240,108,0,33,NA,
liver,60,10,360,372,NA,
ionosphere,197,5,43,139,NA,
mammo,30,1,420,434,NA,
parkinson,201,1,0,117,NA,
seeds,189,3,6,120,NA,
blood_trans,290,55,310,565,NA,
biodegrad,700,7,20,689,NA,
breast,30,1,0,1,NA,
ecoli,208,0,4,121,NA,
fertility,90,17,0,0,NA,
haberman,234,41,6,64,NA,
liver,120,73,300,310,NA,
ionosphere,252,2,14,171,NA,
mammo,30,1,420,434,NA,
parkinson,156,3,5,78,NA,
seeds,190,0,3,123,NA,
