file,TN,FN,FP,TP,Kappa,
blood_trans,234,78,26,87,0.75,
biodegrad,312,3,0,198,0.99,
breast,34,0,1,2,1,
ecoli,132,0,1,35,1,
fertility,39,3,0,4,0.93,
haberman,103,14,1,24,0.88,
liver,162,58,20,56,0.74,
ionosphere,104,2,0,54,0.98,
mammo,160,31,35,91,0.84,
parkinson,125,0,0,35,1,
seeds,111,2,0,38,0.98,
blood_trans,230,46,30,123,0.83,
biodegrad,312,3,0,205,0.99,
breast,13,1,0,1,0.93,
ecoli,135,0,0,33,1,
fertility,39,5,0,0,0.89,
haberman,104,25,0,7,0.81,
liver,182,112,0,0,0.62,
ionosphere,127,3,0,54,0.98,
mammo,141,6,54,121,0.96,
parkinson,121,0,0,36,1,
seeds,117,0,0,37,1,
blood_trans,232,49,28,131,0.83,
biodegrad,311,0,1,206,1,
breast,13,1,0,1,0.93,
ecoli,65,1,0,26,0.98,
fertility,39,3,0,4,0.93,
haberman,104,17,0,25,0.86,
liver,182,126,0,0,0.59,
ionosphere,126,3,0,50,0.98,
mammo,171,58,24,63,0.75,
parkinson,124,0,0,38,1,
seeds,106,1,0,35,0.99,
blood_trans,238,49,22,131,0.83,
biodegrad,312,1,0,215,1,
breast,2,0,0,35,1,
ecoli,131,0,0,37,1,
fertility,39,3,0,2,0.93,
haberman,100,20,4,26,0.83,
liver,178,100,4,17,0.64,
ionosphere,131,0,0,47,1,
mammo,180,51,15,76,0.78,
parkinson,117,0,0,40,1,
seeds,115,0,0,40,1,
blood_trans,231,41,29,132,0.85,
biodegrad,312,1,0,212,1,
breast,53,0,0,8,1,
ecoli,114,0,0,40,1,
fertility,39,5,0,0,0.89,
haberman,104,27,0,9,0.79,
liver,167,85,15,31,0.66,
ionosphere,136,1,0,45,0.99,
mammo,168,45,27,72,0.79,
parkinson,125,0,0,44,1,
seeds,110,0,0,40,1,
blood_trans,228,39,32,141,0.85,
biodegrad,312,0,0,204,1,
breast,2,0,0,35,1,
ecoli,132,0,0,41,1,
fertility,39,2,0,5,0.95,
haberman,104,11,0,34,0.9,
liver,162,54,20,60,0.75,
ionosphere,104,2,0,42,0.98,
mammo,184,49,11,73,0.79,
parkinson,129,1,0,38,0.99,
seeds,110,0,0,32,1,
blood_trans,248,46,12,134,0.84,
biodegrad,311,1,1,208,1,
breast,2,0,0,35,1,
ecoli,124,0,0,32,1,
fertility,39,3,0,4,0.93,
haberman,102,4,2,40,0.96,
liver,182,120,0,0,0.6,
ionosphere,104,4,0,43,0.96,
mammo,156,30,39,97,0.84,
parkinson,126,0,0,37,1,
seeds,114,2,0,34,0.98,
blood_trans,189,13,71,167,0.94,
biodegrad,312,4,0,199,0.99,
breast,2,0,0,35,1,
ecoli,137,0,0,34,1,
fertility,39,4,0,0,0.91,
haberman,145,18,5,46,0.89,
liver,156,37,26,72,0.81,
ionosphere,125,6,0,38,0.95,
mammo,138,6,57,121,0.96,
parkinson,119,1,0,36,0.99,
seeds,111,0,0,40,1,
blood_trans,237,89,23,86,0.73,
biodegrad,311,7,1,203,0.98,
breast,51,0,0,5,1,
ecoli,131,0,0,30,1,
fertility,39,2,0,8,0.95,
haberman,104,32,0,3,0.76,
liver,182,116,0,0,0.61,
ionosphere,130,7,0,34,0.95,
mammo,194,42,1,79,0.82,
parkinson,131,0,0,37,1,
seeds,114,0,0,37,1,
blood_trans,229,44,31,136,0.84,
biodegrad,312,3,0,198,0.99,
breast,1,0,1,13,0.93,
ecoli,128,0,0,38,1,
fertility,39,3,0,6,0.93,
haberman,104,25,0,14,0.81,
liver,173,91,9,35,0.66,
ionosphere,129,0,0,47,1,
mammo,171,51,24,76,0.77,
parkinson,121,0,0,37,1,
seeds,113,0,0,40,1,
