file,TN,FN,FP,TP,Kappa,
blood_trans,200,1,199,19,1,
biodegrad,476,0,14,24,1,
breast,34,0,1,2,1,
ecoli,100,0,1,5,1,
fertility,58,0,4,3,1,
haberman,107,0,51,8,1,
liver,82,1,208,13,0.99,
ionosphere,155,0,3,8,1,
mammo,209,1,91,14,1,
parkinson,102,0,1,5,1,
seeds,98,1,0,4,0.99,
blood_trans,235,1,164,19,1,
biodegrad,471,0,19,24,1,
breast,35,0,0,2,1,
ecoli,101,0,0,5,1,
fertility,49,0,13,3,1,
haberman,79,0,79,8,1,
liver,27,0,263,14,1,
ionosphere,158,0,0,8,1,
mammo,248,1,52,14,1,
parkinson,103,0,0,5,1,
seeds,98,0,0,5,1,
blood_trans,158,0,241,20,1,
biodegrad,484,0,6,24,1,
breast,35,0,0,2,1,
ecoli,99,0,2,5,1,
fertility,50,0,12,3,1,
haberman,111,0,47,8,1,
liver,5,0,285,14,1,
ionosphere,158,0,0,8,1,
mammo,198,1,102,14,0.99,
parkinson,103,0,0,5,1,
seeds,98,1,0,4,0.99,
blood_trans,265,2,134,18,0.99,
biodegrad,470,0,20,24,1,
breast,35,0,0,2,1,
ecoli,101,0,0,5,1,
fertility,60,0,2,3,1,
haberman,108,0,50,8,1,
liver,92,1,198,13,0.99,
ionosphere,157,0,1,8,1,
mammo,228,0,72,15,1,
parkinson,103,0,0,5,1,
seeds,97,0,1,5,1,
blood_trans,265,2,134,18,0.99,
biodegrad,477,0,13,24,1,
breast,35,0,0,2,1,
ecoli,101,0,0,5,1,
fertility,55,0,7,3,1,
haberman,96,0,62,8,1,
liver,72,1,218,13,0.99,
ionosphere,157,0,1,8,1,
mammo,220,2,80,13,0.99,
parkinson,103,0,0,5,1,
seeds,96,0,2,5,1,
blood_trans,147,0,252,20,1,
biodegrad,481,0,9,24,1,
breast,35,0,0,2,1,
ecoli,100,0,1,5,1,
fertility,51,0,11,3,1,
haberman,140,1,18,7,0.99,
liver,12,0,278,14,1,
ionosphere,158,0,0,8,1,
mammo,217,1,83,14,1,
parkinson,103,0,0,5,1,
seeds,97,0,1,5,1,
blood_trans,246,2,153,18,0.99,
biodegrad,475,0,15,24,1,
breast,35,0,0,2,1,
ecoli,101,0,0,5,1,
fertility,51,0,11,3,1,
haberman,140,0,18,8,1,
liver,42,0,248,14,1,
ionosphere,156,0,2,8,1,
mammo,233,2,67,13,0.99,
parkinson,102,0,1,5,1,
seeds,97,1,1,4,0.99,
blood_trans,218,1,181,19,1,
biodegrad,463,0,27,24,1,
breast,35,0,0,2,1,
ecoli,100,0,1,5,1,
fertility,61,0,1,3,1,
haberman,116,0,42,8,1,
liver,140,2,150,12,0.99,
ionosphere,158,0,0,8,1,
mammo,220,1,80,14,1,
parkinson,102,0,1,5,1,
seeds,98,0,0,5,1,
blood_trans,189,1,210,19,0.99,
biodegrad,483,0,7,24,1,
breast,35,0,0,2,1,
ecoli,100,0,1,5,1,
fertility,60,0,2,3,1,
haberman,124,0,34,8,1,
liver,26,0,264,14,1,
ionosphere,156,0,2,8,1,
mammo,192,0,108,15,1,
parkinson,103,0,0,5,1,
seeds,98,0,0,5,1,
blood_trans,213,0,186,20,1,
biodegrad,479,0,11,24,1,
breast,35,0,0,2,1,
ecoli,99,0,2,5,1,
fertility,49,0,13,3,1,
haberman,97,0,61,8,1,
liver,142,0,148,14,1,
ionosphere,158,0,0,8,1,
mammo,233,1,67,14,1,
parkinson,102,0,1,5,1,
seeds,97,0,1,5,1,
