file,P0,P1,cost,sigma,nSV_0,nSV_1,TN,FN,FP,TP,Kappa,
blood_trans,0.5,20,0.1,0.5,14,399,0,0,399,20,NaN,
biodegrad,0.5,20,0.1,0.5,6,202,310,4,180,20,0.99,
breast,0.5,4,0.1,0.5,2,10,28,0,7,2,1,
ecoli,0.5,4,0.1,0.5,4,29,88,0,13,5,1,
fertility,0.5,6,0.1,0.5,3,34,38,0,24,3,1,
haberman,0.5,16,0.1,0.5,6,158,0,0,158,8,NaN,
liver,0.5,14,0.1,0.5,8,206,127,2,163,12,0.98,
ionosphere,0.5,12,0.7,0.5,3,60,102,1,56,7,0.99,
mammo,0.5,4,0.1,0.5,13,102,240,2,60,13,0.99,
parkinson,0.5,6,0.1,0.5,4,46,65,0,38,5,1,
seeds,0.5,4,0.1,0.5,4,32,83,0,15,5,1,
blood_trans,0.5,20,0.1,3,8,276,185,1,214,19,0.99,
biodegrad,0.5,16,0.1,0.5,6,193,319,4,171,20,0.99,
breast,0.5,2,0.1,0.5,2,8,34,0,1,2,1,
ecoli,0.5,4,0.1,0.5,4,30,89,0,12,5,1,
fertility,0.5,8,0.1,0.5,3,47,31,0,31,3,1,
haberman,0.5,14,0.1,0.5,7,158,20,0,138,8,1,
liver,0.5,14,0.1,0.5,8,221,113,0,177,14,1,
ionosphere,0.5,16,0.7,0.5,3,68,91,1,67,7,0.99,
mammo,0.5,4,0.1,0.5,12,88,226,3,74,12,0.99,
parkinson,0.5,4,0.1,0.5,5,41,75,0,28,5,1,
seeds,0.5,4,0.1,0.5,4,33,87,0,11,5,1,
blood_trans,0.5,18,0.1,1.5,10,323,191,2,208,18,0.99,
biodegrad,0.5,20,0.1,0.5,6,242,267,5,223,19,0.98,
breast,0.5,2,0.1,0.5,2,8,34,0,1,2,1,
ecoli,0.5,20,0.1,0.5,2,68,48,0,53,5,1,
fertility,0.5,10,0.1,0.5,3,47,24,0,38,3,1,
haberman,0.5,20,0.4,0.5,4,144,38,1,120,7,0.97,
liver,0.5,20,0.1,0.5,8,257,68,0,222,14,1,
ionosphere,0.5,18,0.7,0.5,3,102,77,1,81,7,0.99,
mammo,0.5,12,0.1,0.5,7,144,203,2,97,13,0.99,
parkinson,0.5,6,0.1,0.5,5,51,64,0,39,5,1,
seeds,0.5,4,0.1,0.5,5,34,83,0,15,5,1,
blood_trans,0.5,20,0.1,0.5,9,323,200,2,199,18,0.99,
biodegrad,0.5,20,0.1,0.5,8,234,283,5,207,19,0.98,
breast,0.5,4,0.1,0.5,2,11,28,0,7,2,1,
ecoli,0.5,4,0.1,0.5,3,24,88,0,13,5,1,
fertility,0.5,10,0.1,0.5,3,55,16,0,46,3,1,
haberman,0.5,16,0.1,0.5,6,158,0,0,158,8,NaN,
liver,0.5,18,0.1,0.5,9,238,109,2,181,12,0.98,
ionosphere,0.5,12,0.1,0.5,5,112,69,2,89,6,0.97,
mammo,0.5,16,0.1,0.5,5,150,198,2,102,13,0.99,
parkinson,0.5,6,0.1,0.5,5,49,65,0,38,5,1,
seeds,0.5,4,0.1,0.5,4,32,87,0,11,5,1,
blood_trans,0.5,20,0.1,0.5,10,369,147,2,252,18,0.99,
biodegrad,0.5,18,0.1,0.5,7,204,306,4,184,20,0.99,
breast,0.5,6,0.1,0.5,1,12,26,0,9,2,1,
ecoli,0.5,2,0.1,0.5,5,21,92,0,9,5,1,
fertility,0.5,6,0.1,0.5,3,38,41,0,21,3,1,
haberman,0.5,16,0.1,0.5,6,158,24,0,134,8,1,
liver,0.5,18,0.1,0.5,7,232,100,2,190,12,0.98,
ionosphere,0.5,20,0.1,1,3,103,61,1,97,7,0.98,
mammo,0.5,16,0.1,1,7,175,174,1,126,14,0.99,
parkinson,0.5,4,0.1,0.5,5,41,90,0,13,5,1,
seeds,0.5,4,0.1,0.5,5,36,80,0,18,5,1,
blood_trans,0.5,18,0.1,0.5,10,336,161,1,238,19,0.99,
biodegrad,0.5,12,0.1,0.5,7,168,357,3,133,21,0.99,
breast,0.5,4,0.1,0.5,2,11,28,0,7,2,1,
ecoli,0.5,8,0.1,0.5,3,40,71,0,30,5,1,
fertility,0.5,8,0.1,0.5,3,40,38,0,24,3,1,
haberman,0.5,20,0.4,1,2,76,95,0,63,8,1,
liver,0.5,14,0.1,0.5,9,216,138,2,152,12,0.99,
ionosphere,0.5,16,0.4,0.5,3,93,65,1,93,7,0.98,
mammo,0.5,18,0.4,0.5,6,195,124,3,176,12,0.98,
parkinson,0.5,12,0.1,0.5,3,47,61,0,42,5,1,
seeds,0.5,4,0.1,0.5,4,33,85,0,13,5,1,
blood_trans,0.5,18,0.1,0.5,11,380,103,1,296,19,0.99,
biodegrad,0.5,16,0.1,0.5,8,259,265,6,225,18,0.98,
breast,0.5,4,0.1,0.5,2,12,26,0,9,2,1,
ecoli,0.5,4,0.1,0.5,4,32,88,0,13,5,1,
fertility,0.5,10,0.1,0.5,3,49,25,0,37,3,1,
haberman,0.5,10,0.4,0.5,4,80,130,1,28,7,0.99,
liver,0.5,10,0.1,0.5,12,213,126,1,164,13,0.99,
ionosphere,0.5,8,0.7,0.5,5,82,84,2,74,6,0.98,
mammo,0.5,20,0.1,2,4,134,178,2,122,13,0.99,
parkinson,0.5,8,0.1,0.5,4,46,68,0,35,5,1,
seeds,0.5,4,0.1,0.5,5,37,84,0,14,5,1,
blood_trans,0.5,16,0.1,0.5,12,355,161,2,238,18,0.99,
biodegrad,0.5,14,0.1,0.5,7,196,340,3,150,21,0.99,
breast,0.5,4,0.1,0.5,2,11,29,0,6,2,1,
ecoli,0.5,4,0.1,0.5,4,26,91,0,10,5,1,
fertility,0.5,10,0.1,0.5,3,52,26,0,36,3,1,
haberman,0.5,20,0.1,0.5,4,145,61,0,97,8,1,
liver,0.5,16,0.1,0.5,8,226,121,1,169,13,0.99,
ionosphere,0.5,8,0.1,0.5,4,54,116,2,42,6,0.98,
mammo,0.5,16,0.1,2,5,128,185,1,115,14,0.99,
parkinson,0.5,6,0.1,0.5,4,49,62,0,41,5,1,
seeds,0.5,4,0.1,0.5,4,32,90,0,8,5,1,
blood_trans,0.5,18,0.1,0.5,13,393,83,1,316,19,0.99,
biodegrad,0.5,16,0.1,0.5,8,255,256,5,234,19,0.98,
breast,0.5,4,0.1,0.5,2,12,26,0,9,2,1,
ecoli,0.5,4,0.1,0.5,3,24,93,0,8,5,1,
fertility,0.5,8,0.1,0.5,3,38,38,0,24,3,1,
haberman,0.5,16,0.1,0.5,5,151,68,1,90,7,0.99,
liver,0.5,20,0.1,0.5,6,191,145,1,145,13,0.99,
ionosphere,0.5,18,0.1,0.5,5,157,1,2,157,6,0.33,
mammo,0.5,18,0.1,0.5,5,154,169,1,131,14,0.99,
parkinson,0.5,6,0.1,0.5,4,43,68,0,35,5,1,
seeds,0.5,4,0.1,0.5,4,33,82,0,16,5,1,
blood_trans,0.5,20,0.1,0.5,8,263,148,3,251,17,0.98,
biodegrad,0.5,20,0.1,3,6,233,260,4,230,20,0.98,
breast,0.5,4,0.1,0.5,2,10,29,0,6,2,1,
ecoli,0.5,12,0.1,0.5,2,46,70,0,31,5,1,
fertility,0.5,10,0.1,0.5,2,41,36,0,26,3,1,
haberman,0.5,16,0.1,0.5,6,158,0,0,158,8,NaN,
liver,0.5,16,0.1,0.5,7,207,130,1,160,13,0.99,
ionosphere,0.5,16,0.1,0.5,5,128,41,3,117,5,0.93,
mammo,0.5,20,0.1,1,4,127,197,1,103,14,0.99,
parkinson,0.5,6,0.1,0.5,5,45,74,0,29,5,1,
seeds,0.5,4,0.1,0.5,5,33,89,0,9,5,1,
