file,cost,gamma,nu,nSV_0,nSV_2,TN,FN,FP,TP,Kappa,
blood_trans,0.01,0.1,0.05,12,16,399,20,0,0,0.95,
breast,0.01,0.1,0.05,2,8,35,2,0,0,0.95,
ecoli,0.01,0.1,0.05,4,13,101,5,0,0,0.95,
fertility,0.01,0.1,0.05,3,50,62,3,0,0,0.95,
haberman,0.01,0.1,0.05,5,10,158,8,0,0,0.95,
liver,0.01,0.1,0.05,11,57,290,14,0,0,0.95,
ionosphere,0.01,0.1,0.05,8,61,158,8,0,0,0.95,
mammo,0.01,0.1,0.05,9,40,300,15,0,0,0.95,
parkinson,0.01,0.1,0.05,5,44,103,5,0,0,0.95,
biodegrad,0.01,0.1,0.05,18,236,490,24,0,0,0.95,
seeds,0.01,0.1,0.05,3,13,98,5,0,0,0.95,
