file, l1, l2, l3,TN,FP,FN,TP,Recall,Neg_pred,Kappa,
blood_trans,4,4,4,4,10,0,0,0,0,0,
blood_trans,4,4,5,4,10,0,0,0,0,0,
blood_trans,4,5,4,4,10,0,0,0,0,0,
blood_trans,4,5,5,4,10,0,0,0,0,0,
blood_trans,5,4,4,6,12,0,0,0,0,0.01,
blood_trans,5,4,5,4,10,0,0,0,0,0,
blood_trans,5,5,4,4,10,0,0,0,0,0,
blood_trans,5,5,5,4,10,0,0,0,0,0,
breast,4,4,4,1,1,0,0,0,0,0.03,
breast,4,4,5,1,1,0,0,0,0,0.03,
breast,4,5,4,1,1,0,0,0,0,0.03,
breast,4,5,5,1,1,0,0,0,0,0.03,
breast,5,4,4,1,1,0,0,0,0,0.03,
breast,5,4,5,1,1,0,0,0,0,0.03,
breast,5,5,4,1,1,0,0,0,0,0.03,
breast,5,5,5,1,1,0,0,0,0,0.03,
ecoli,4,4,4,0,0,0,0,0,0,0,
ecoli,4,4,5,0,0,0,0,0,0,0,
ecoli,4,5,4,0,0,0,0,0,0,0,
ecoli,4,5,5,0,0,0,0,0,0,0,
ecoli,5,4,4,0,1,0,0,0,0,0,
ecoli,5,4,5,0,0,0,0,0,0,0,
ecoli,5,5,4,0,0,0,0,0,0,0,
ecoli,5,5,5,0,0,0,0,0,0,0,
