file,TN,FP,FN,TP,Recall,Neg_pred,Kappa,
blood_trans,168,49,3,4,0.08,0.77,0.08,
blood_trans,170,50,1,3,0.06,0.77,0.07,
blood_trans,170,52,1,1,0.02,0.77,0.02,
blood_trans,171,52,0,1,0.02,0.77,0.03,
blood_trans,165,46,6,7,0.13,0.78,0.13,
blood_trans,167,50,4,3,0.06,0.77,0.05,
blood_trans,167,46,4,7,0.13,0.78,0.15,
blood_trans,169,52,2,1,0.02,0.76,0.01,
blood_trans,164,46,7,7,0.13,0.78,0.12,
blood_trans,166,46,5,7,0.13,0.78,0.14,
blood_trans,167,49,4,4,0.08,0.77,0.07,
blood_trans,169,51,2,2,0.04,0.77,0.04,
blood_trans,164,46,7,7,0.13,0.78,0.12,
blood_trans,170,51,1,2,0.04,0.77,0.05,
blood_trans,167,48,4,5,0.09,0.78,0.1,
blood_trans,169,50,2,3,0.06,0.77,0.07,
blood_trans,164,46,7,7,0.13,0.78,0.12,
blood_trans,169,50,2,3,0.06,0.77,0.07,
blood_trans,167,47,4,6,0.11,0.78,0.12,
blood_trans,169,50,2,3,0.06,0.77,0.07,
blood_trans,164,46,7,7,0.13,0.78,0.12,
blood_trans,169,49,2,4,0.08,0.78,0.09,
blood_trans,167,46,4,7,0.13,0.78,0.15,
blood_trans,168,50,3,3,0.06,0.77,0.06,
breast,14,17,0,0,0,0.45,0,
breast,14,17,0,0,0,0.45,0,
breast,14,17,0,0,0,0.45,0,
breast,14,17,0,0,0,0.45,0,
breast,14,17,0,0,0,0.45,0,
breast,14,17,0,0,0,0.45,0,
breast,14,17,0,0,0,0.45,0,
breast,14,17,0,0,0,0.45,0,
breast,14,17,0,0,0,0.45,0,
breast,14,17,0,0,0,0.45,0,
breast,14,17,0,0,0,0.45,0,
breast,14,17,0,0,0,0.45,0,
breast,14,17,0,0,0,0.45,0,
breast,14,17,0,0,0,0.45,0,
breast,14,17,0,0,0,0.45,0,
breast,14,17,0,0,0,0.45,0,
breast,14,17,0,0,0,0.45,0,
breast,14,17,0,0,0,0.45,0,
breast,14,17,0,0,0,0.45,0,
breast,14,16,0,1,0.06,0.47,0.05,
breast,14,17,0,0,0,0.45,0,
breast,14,17,0,0,0,0.45,0,
breast,14,17,0,0,0,0.45,0,
breast,14,16,0,1,0.06,0.47,0.05,
ecoli,42,57,0,0,0,0.42,0,
ecoli,42,57,0,0,0,0.42,0,
ecoli,42,57,0,0,0,0.42,0,
ecoli,42,57,0,0,0,0.42,0,
ecoli,42,57,0,0,0,0.42,0,
ecoli,42,55,0,2,0.04,0.43,0.03,
ecoli,42,55,0,2,0.04,0.43,0.03,
ecoli,42,56,0,1,0.02,0.43,0.01,
ecoli,42,57,0,0,0,0.42,0,
ecoli,42,54,0,3,0.05,0.44,0.05,
ecoli,41,52,1,5,0.09,0.44,0.06,
ecoli,42,55,0,2,0.04,0.43,0.03,
ecoli,42,57,0,0,0,0.42,0,
ecoli,42,53,0,4,0.07,0.44,0.06,
ecoli,41,52,1,5,0.09,0.44,0.06,
ecoli,42,55,0,2,0.04,0.43,0.03,
ecoli,42,55,0,2,0.04,0.43,0.03,
ecoli,42,52,0,5,0.09,0.45,0.08,
ecoli,41,50,1,7,0.12,0.45,0.09,
ecoli,41,55,1,2,0.04,0.43,0.01,
ecoli,42,54,0,3,0.05,0.44,0.05,
ecoli,42,51,0,6,0.11,0.45,0.09,
ecoli,41,50,1,7,0.12,0.45,0.09,
ecoli,41,55,1,2,0.04,0.43,0.01,
fertility,26,3,0,0,0,0.9,0,
fertility,26,3,0,0,0,0.9,0,
fertility,26,3,0,0,0,0.9,0,
fertility,26,3,0,0,0,0.9,0,
fertility,26,3,0,0,0,0.9,0,
fertility,26,3,0,0,0,0.9,0,
fertility,25,3,1,0,0,0.89,-0.05,
fertility,25,3,1,0,0,0.89,-0.05,
fertility,26,3,0,0,0,0.9,0,
fertility,26,3,0,0,0,0.9,0,
fertility,25,3,1,0,0,0.89,-0.05,
fertility,25,3,1,0,0,0.89,-0.05,
fertility,26,3,0,0,0,0.9,0,
fertility,26,3,0,0,0,0.9,0,
fertility,25,3,1,0,0,0.89,-0.05,
fertility,25,3,1,0,0,0.89,-0.05,
fertility,26,3,0,0,0,0.9,0,
fertility,26,3,0,0,0,0.9,0,
fertility,24,3,2,0,0,0.89,-0.09,
fertility,24,3,2,0,0,0.89,-0.09,
fertility,26,3,0,0,0,0.9,0,
fertility,26,3,0,0,0,0.9,0,
fertility,24,3,2,0,0,0.89,-0.09,
fertility,24,3,2,0,0,0.89,-0.09,
haberman,67,24,0,0,0,0.74,0,
haberman,66,24,1,0,0,0.73,-0.02,
haberman,67,24,0,0,0,0.74,0,
haberman,67,24,0,0,0,0.74,0,
haberman,66,24,1,0,0,0.73,-0.02,
haberman,65,24,2,0,0,0.73,-0.04,
haberman,67,24,0,0,0,0.74,0,
haberman,67,24,0,0,0,0.74,0,
haberman,66,24,1,0,0,0.73,-0.02,
haberman,66,24,1,0,0,0.73,-0.02,
haberman,67,24,0,0,0,0.74,0,
haberman,65,23,2,1,0.04,0.74,0.02,
haberman,65,24,2,0,0,0.73,-0.04,
haberman,66,22,1,2,0.08,0.75,0.1,
haberman,67,24,0,0,0,0.74,0,
haberman,65,22,2,2,0.08,0.75,0.07,
haberman,65,24,2,0,0,0.73,-0.04,
haberman,64,23,3,1,0.04,0.74,0,
haberman,67,24,0,0,0,0.74,0,
haberman,65,22,2,2,0.08,0.75,0.07,
haberman,65,24,2,0,0,0.73,-0.04,
haberman,64,23,3,1,0.04,0.74,0,
haberman,65,22,2,2,0.08,0.75,0.07,
haberman,65,22,2,2,0.08,0.75,0.07,
liver,124,49,0,0,0,0.72,0,
liver,124,49,0,0,0,0.72,0,
liver,124,49,0,0,0,0.72,0,
liver,124,49,0,0,0,0.72,0,
liver,124,49,0,0,0,0.72,0,
liver,122,47,2,2,0.04,0.72,0.03,
liver,123,48,1,1,0.02,0.72,0.02,
liver,123,49,1,0,0,0.72,-0.01,
liver,124,49,0,0,0,0.72,0,
liver,122,47,2,2,0.04,0.72,0.03,
liver,122,47,2,2,0.04,0.72,0.03,
liver,121,49,3,0,0,0.71,-0.03,
liver,124,49,0,0,0,0.72,0,
liver,120,46,4,3,0.06,0.72,0.04,
liver,122,49,2,0,0,0.71,-0.02,
liver,122,49,2,0,0,0.71,-0.02,
liver,124,49,0,0,0,0.72,0,
liver,120,46,4,3,0.06,0.72,0.04,
liver,120,46,4,3,0.06,0.72,0.04,
liver,122,49,2,0,0,0.71,-0.02,
liver,123,49,1,0,0,0.72,-0.01,
liver,120,46,4,3,0.06,0.72,0.04,
liver,120,49,4,0,0,0.71,-0.04,
liver,122,49,2,0,0,0.71,-0.02,
ionosphere,67,37,0,0,0,0.64,0,
ionosphere,67,37,0,0,0,0.64,0,
ionosphere,67,37,0,0,0,0.64,0,
ionosphere,67,37,0,0,0,0.64,0,
ionosphere,67,34,0,3,0.08,0.66,0.1,
ionosphere,67,37,0,0,0,0.64,0,
ionosphere,67,37,0,0,0,0.64,0,
ionosphere,67,37,0,0,0,0.64,0,
ionosphere,66,34,1,3,0.08,0.66,0.08,
ionosphere,67,37,0,0,0,0.64,0,
ionosphere,67,37,0,0,0,0.64,0,
ionosphere,67,37,0,0,0,0.64,0,
ionosphere,65,34,2,3,0.08,0.66,0.06,
ionosphere,67,37,0,0,0,0.64,0,
ionosphere,67,37,0,0,0,0.64,0,
ionosphere,67,37,0,0,0,0.64,0,
