file, gam, nu, TN,FN,FP,TP,Kappa,
blood_trans,0.02,0.1,9,0,390,20,1,
breast,0.03,0.1,5,0,30,2,1,
ecoli,0.04,0.1,9,0,92,5,1,
fertility,0.01,0.1,25,0,37,3,1,
haberman,0.02,0.1,5,0,153,8,1,
liver,0.02,0.1,23,0,267,14,1,
ionosphere,0.05,0.1,34,1,124,7,0.97,
mammo,0.01,0.1,23,0,277,15,1,
parkinson,0.05,0.3,43,0,60,5,1,
biodegrad,0.02,0.1,104,3,386,21,0.97,
seeds,0.04,0.1,9,0,89,5,1,
blood_trans,0.05,0.1,399,20,0,0,0.95,
breast,0.05,0.1,35,2,0,0,0.95,
ecoli,0.05,0.1,101,5,0,0,0.95,
fertility,0.05,0.1,62,3,0,0,0.95,
haberman,0.05,0.1,158,8,0,0,0.95,
liver,0.05,0.1,290,14,0,0,0.95,
ionosphere,0.05,0.1,158,8,0,0,0.95,
mammo,0.05,0.1,300,15,0,0,0.95,
parkinson,0.05,0.1,103,5,0,0,0.95,
biodegrad,0.05,0.1,490,24,0,0,0.95,
seeds,0.05,0.1,98,5,0,0,0.95,
