file,P0,P1,cost,sigma,nSV_0,nSV_1,TN,FN,FP,TP,Kappa,
blood_trans,0.5,20,0.1,0.5,11,386,82,1,317,19,0.99,
breast,0.5,4,0.1,0.5,2,10,28,0,7,2,1,
ecoli,0.5,6,0.1,0.5,3,31,87,0,14,5,1,
fertility,0.5,10,0.1,0.5,3,46,36,0,26,3,1,
haberman,0.5,16,0.1,0.5,5,150,39,0,119,8,1,
liver,0.5,12,0.1,0.5,10,212,137,2,153,12,0.99,
ionosphere,0.5,16,0.1,0.5,4,123,49,2,109,6,0.96,
mammo,0.5,14,0.1,0.5,5,137,217,0,83,15,1,
parkinson,0.5,12,0.1,0.5,3,60,59,0,44,5,1,
biodegrad,0.5,18,0.1,0.5,6,212,300,4,190,20,0.99,
seeds,0.5,4,0.1,0.5,5,35,86,0,12,5,1,
