file,Corrected,TN,FN,FP,TP,Kappa,
blood_trans,F,197,20,3,0,-0.02,
blood_trans,T,21,0,179,20,0.02,
biodegrad,F,238,3,2,21,0.88,
biodegrad,T,194,1,46,23,0.42,
breast,F,20,0,0,2,1,
breast,T,20,0,0,2,1,
ecoli,F,50,0,0,5,1,
ecoli,T,50,0,0,5,1,
fertility,F,30,1,0,2,0.78,
fertility,T,29,0,1,3,0.84,
haberman,F,79,7,1,1,0.17,
haberman,T,0,0,80,8,0,
liver,F,138,13,2,1,0.09,
liver,T,65,0,75,14,0.14,
ionosphere,F,80,0,0,8,1,
ionosphere,T,80,0,0,8,1,
mammo,F,147,13,3,2,0.16,
mammo,T,26,0,124,15,0.04,
parkinson,F,50,0,0,5,1,
parkinson,T,50,0,0,5,1,
seeds,F,50,0,0,5,1,
seeds,T,50,0,0,5,1,
blood_trans,F,199,18,1,2,0.15,
blood_trans,T,21,0,179,20,0.02,
biodegrad,F,240,0,0,24,1,
biodegrad,T,240,0,0,24,1,
breast,F,20,0,0,2,1,
breast,T,20,0,0,2,1,
ecoli,F,50,0,0,5,1,
ecoli,T,50,0,0,5,1,
fertility,F,30,0,0,3,1,
fertility,T,30,0,0,3,1,
haberman,F,79,8,1,0,-0.02,
haberman,T,0,0,80,8,0,
liver,F,140,14,0,0,0,
liver,T,26,0,114,14,0.04,
ionosphere,F,80,0,0,8,1,
ionosphere,T,80,0,0,8,1,
mammo,F,150,13,0,2,0.22,
mammo,T,85,0,65,15,0.19,
parkinson,F,50,0,0,5,1,
parkinson,T,50,0,0,5,1,
seeds,F,50,0,0,5,1,
seeds,T,50,0,0,5,1,
blood_trans,F,200,19,0,1,0.09,
blood_trans,T,1,0,199,20,0,
biodegrad,F,240,0,0,24,1,
biodegrad,T,240,0,0,24,1,
breast,F,20,0,0,2,1,
breast,T,20,0,0,2,1,
ecoli,F,50,0,0,5,1,
ecoli,T,50,0,0,5,1,
fertility,F,30,0,0,3,1,
fertility,T,30,0,0,3,1,
haberman,F,79,8,1,0,-0.02,
haberman,T,0,0,80,8,0,
liver,F,140,12,0,2,0.23,
liver,T,48,0,92,14,0.09,
ionosphere,F,80,0,0,8,1,
