file,cost,sigma,nSV_0,nSV_1,TN,FN,FP,TP,Kappa,
blood_trans,0.5,0.1,32,28,260,0,0,180,1,
biodegrad,0.5,0.1,169,78,312,0,0,216,1,
breast,0.5,0.1,6,3,26,0,0,3,1,
ecoli,0.5,0.1,14,14,65,0,0,41,1,
fertility,0.5,0.1,29,12,39,0,0,17,1,
haberman,0.5,0.1,23,23,104,0,0,72,1,
liver,0.5,0.1,63,40,182,0,0,126,1,
ionosphere,0.5,0.1,46,35,104,0,0,72,1,
mammo,0.5,0.1,47,43,195,0,0,135,1,
parkinson,0.5,0.1,34,21,65,0,0,35,1,
seeds,0.5,0.1,12,10,65,0,0,37,1,
blood_trans,0.5,0.1,31,28,260,0,0,180,1,
biodegrad,1,0.1,153,55,312,0,0,216,1,
breast,0.5,0.1,7,4,26,0,0,4,1,
ecoli,0.5,0.1,15,14,65,0,0,38,1,
fertility,0.5,0.1,28,10,39,0,0,11,1,
haberman,0.5,0.1,27,20,104,0,0,72,1,
liver,0.5,0.1,62,38,182,0,0,126,1,
ionosphere,0.5,0.1,47,51,104,0,0,72,1,
mammo,0.5,0.1,44,34,195,0,0,135,1,
parkinson,0.5,0.1,29,17,65,0,0,34,1,
seeds,0.5,0.1,10,9,65,0,0,36,1,
blood_trans,0.5,0.1,28,24,260,0,0,180,1,
biodegrad,0.5,0.1,152,78,312,0,0,216,1,
breast,1,0.1,5,3,26,0,0,3,1,
ecoli,0.5,0.1,11,11,65,0,0,40,1,
fertility,1,0.1,25,7,39,0,0,13,1,
haberman,0.5,0.1,26,24,104,0,0,72,1,
liver,0.5,0.1,59,32,182,0,0,126,1,
ionosphere,0.5,0.1,41,39,104,0,0,72,1,
mammo,1.5,0.1,38,21,195,0,0,135,1,
parkinson,0.5,0.1,32,22,65,0,0,41,1,
seeds,0.5,0.1,16,14,65,0,0,35,1,
blood_trans,0.5,0.1,34,29,260,0,0,180,1,
biodegrad,0.5,0.1,154,79,312,0,0,216,1,
breast,0.5,0.1,6,4,26,0,0,4,1,
ecoli,0.5,0.1,13,12,65,0,0,38,1,
fertility,0.5,0.1,26,13,39,0,0,14,1,
haberman,0.5,0.1,28,19,104,0,0,72,1,
liver,0.5,0.1,61,36,182,0,0,126,1,
ionosphere,0.5,0.1,40,43,104,0,0,72,1,
mammo,0.5,0.1,58,50,195,0,0,135,1,
parkinson,0.5,0.1,35,19,65,0,0,36,1,
seeds,0.5,0.1,11,8,65,0,0,34,1,
blood_trans,0.5,0.1,29,26,260,0,0,180,1,
biodegrad,0.5,0.1,155,81,311,0,1,216,1,
breast,0.5,0.1,7,3,26,0,0,3,1,
ecoli,0.5,0.1,12,13,65,0,0,40,1,
fertility,1.5,0.1,26,6,39,0,0,11,1,
haberman,0.5,0.1,25,20,104,0,0,72,1,
liver,0.5,0.1,64,39,182,0,0,126,1,
ionosphere,0.5,0.1,44,45,104,0,0,72,1,
mammo,0.5,0.1,53,42,195,0,0,135,1,
parkinson,0.5,0.1,24,15,65,0,0,36,1,
seeds,0.5,0.1,14,13,65,0,0,33,1,
blood_trans,0.5,0.1,31,30,260,0,0,180,1,
biodegrad,0.5,0.1,136,59,312,0,0,216,1,
breast,1,0.1,5,4,26,0,0,5,1,
ecoli,0.5,0.1,13,13,65,0,0,41,1,
fertility,0.5,0.1,31,11,39,0,0,11,1,
haberman,0.5,0.1,26,21,104,0,0,72,1,
liver,0.5,0.1,59,38,182,0,0,126,1,
ionosphere,0.5,0.1,46,44,103,0,1,72,1,
mammo,0.5,0.1,46,36,195,0,0,135,1,
parkinson,0.5,0.1,32,18,65,0,0,35,1,
seeds,0.5,0.1,11,8,65,0,0,32,1,
blood_trans,0.5,0.1,27,23,260,0,0,180,1,
biodegrad,0.5,0.1,161,69,312,0,0,216,1,
breast,0.5,0.1,6,5,26,0,0,5,1,
ecoli,0.5,0.1,17,15,65,0,0,36,1,
fertility,0.5,0.1,28,13,39,0,0,16,1,
haberman,0.5,0.1,27,22,104,0,0,72,1,
liver,0.5,0.1,62,41,182,0,0,126,1,
ionosphere,0.5,0.1,41,46,104,0,0,72,1,
mammo,0.5,0.1,54,46,195,0,0,135,1,
parkinson,0.5,0.1,34,18,65,0,0,33,1,
seeds,0.5,0.1,13,10,65,0,0,37,1,
blood_trans,0.5,0.1,30,26,260,0,0,180,1,
biodegrad,0.5,0.1,155,64,312,0,0,216,1,
breast,0.5,0.1,7,6,26,0,0,6,1,
ecoli,0.5,0.1,9,7,65,0,0,41,1,
fertility,1,0.1,26,9,39,0,0,15,1,
haberman,0.5,0.1,24,21,104,0,0,72,1,
liver,0.5,0.1,64,40,182,0,0,126,1,
ionosphere,0.5,0.1,41,37,104,0,0,72,1,
mammo,0.5,0.1,55,42,195,0,0,135,1,
parkinson,0.5,0.1,34,21,65,0,0,38,1,
seeds,0.5,0.1,12,9,65,0,0,35,1,
blood_trans,0.5,0.1,32,28,260,0,0,180,1,
biodegrad,0.5,0.1,140,63,312,0,0,216,1,
breast,0.5,0.1,8,7,26,0,0,7,1,
ecoli,0.5,0.1,13,12,65,0,0,39,1,
fertility,1,0.1,23,7,39,0,0,11,1,
haberman,0.5,0.1,29,20,104,0,0,72,1,
liver,0.5,0.1,60,36,182,0,0,126,1,
ionosphere,0.5,0.1,41,39,104,0,0,72,1,
mammo,0.5,0.1,56,49,195,0,0,135,1,
parkinson,0.5,0.1,30,21,65,0,0,35,1,
seeds,0.5,0.1,12,10,65,0,0,38,1,
blood_trans,0.5,0.1,31,28,260,0,0,180,1,
biodegrad,0.5,0.1,165,71,312,0,0,216,1,
breast,0.5,0.1,6,6,26,0,0,7,1,
ecoli,0.5,0.1,11,11,65,0,0,34,1,
fertility,0.5,0.1,15,13,39,0,0,15,1,
haberman,0.5,0.1,25,21,104,0,0,72,1,
liver,0.5,0.1,68,34,182,0,0,126,1,
ionosphere,0.5,0.1,46,46,104,0,0,72,1,
mammo,0.5,0.1,51,33,195,0,0,135,1,
parkinson,0.5,0.1,27,16,65,0,0,38,1,
seeds,0.5,0.1,11,10,65,0,0,38,1,
