file,cost,sigma,TN,FN,FP,TP,Kappa,
blood_trans,0.01,0.1,399,20,0,0,0.95,
biodegrad,0.01,0.1,490,24,0,0,0.95,
breast,0.01,0.1,35,2,0,0,0.95,
ecoli,0.8,0.4,101,5,0,0,0.95,
fertility,0.01,0.1,62,3,0,0,0.95,
haberman,0.01,0.1,158,8,0,0,0.95,
liver,0.01,0.1,290,14,0,0,0.95,
ionosphere,0.01,0.1,158,8,0,0,0.95,
mammo,0.01,0.1,300,15,0,0,0.95,
parkinson,0.01,0.1,103,5,0,0,0.95,
seeds,0.01,0.1,98,5,0,0,0.95,
blood_trans,0.4,0.7,399,20,0,0,0.95,
biodegrad,0.01,0.1,490,24,0,0,0.95,
breast,0.01,0.1,35,2,0,0,0.95,
ecoli,0.01,0.1,101,5,0,0,0.95,
fertility,0.01,0.1,62,3,0,0,0.95,
haberman,0.01,0.1,158,8,0,0,0.95,
liver,0.01,0.1,290,14,0,0,0.95,
ionosphere,0.01,0.1,158,8,0,0,0.95,
mammo,0.01,0.1,300,15,0,0,0.95,
parkinson,0.01,0.1,103,5,0,0,0.95,
seeds,0.01,0.1,98,5,0,0,0.95,
blood_trans,0.3,0.1,399,20,0,0,0.95,
biodegrad,0.01,0.1,490,24,0,0,0.95,
breast,0.01,0.1,35,2,0,0,0.95,
ecoli,0.6,0.7,101,5,0,0,0.95,
fertility,0.01,0.1,62,3,0,0,0.95,
haberman,0.8,0.1,158,8,0,0,0.95,
liver,0.01,0.1,290,14,0,0,0.95,
ionosphere,0.01,0.1,158,8,0,0,0.95,
mammo,0.4,0.4,300,15,0,0,0.95,
parkinson,0.01,0.1,103,5,0,0,0.95,
seeds,0.01,0.1,98,5,0,0,0.95,
blood_trans,0.6,0.7,397,20,2,0,0.95,
biodegrad,0.4,0.4,481,24,9,0,0.95,
breast,0.01,0.1,35,2,0,0,0.95,
ecoli,0.01,0.1,101,5,0,0,0.95,
fertility,0.01,0.1,62,3,0,0,0.95,
haberman,0.01,0.1,158,8,0,0,0.95,
liver,0.01,0.1,290,14,0,0,0.95,
ionosphere,0.01,0.1,158,8,0,0,0.95,
mammo,0.01,0.1,300,15,0,0,0.95,
parkinson,0.01,0.1,103,5,0,0,0.95,
seeds,0.01,0.1,98,5,0,0,0.95,
blood_trans,0.4,1,399,19,0,1,0.95,
biodegrad,0.01,0.1,490,24,0,0,0.95,
breast,0.01,0.1,35,2,0,0,0.95,
ecoli,0.01,0.1,101,5,0,0,0.95,
fertility,0.01,0.1,62,3,0,0,0.95,
haberman,0.01,0.1,158,8,0,0,0.95,
liver,0.01,0.1,290,14,0,0,0.95,
ionosphere,0.5,0.1,158,8,0,0,0.95,
mammo,0.5,1,293,15,7,0,0.95,
parkinson,0.01,0.1,103,5,0,0,0.95,
seeds,0.01,0.1,98,5,0,0,0.95,
blood_trans,0.7,0.1,399,20,0,0,0.95,
biodegrad,0.01,0.1,490,24,0,0,0.95,
breast,0.01,0.1,35,2,0,0,0.95,
ecoli,0.01,0.1,101,5,0,0,0.95,
fertility,0.01,0.1,62,3,0,0,0.95,
haberman,0.8,0.1,158,8,0,0,0.95,
liver,0.01,0.1,290,14,0,0,0.95,
ionosphere,0.01,0.1,158,8,0,0,0.95,
mammo,0.01,0.1,300,15,0,0,0.95,
parkinson,0.01,0.1,103,5,0,0,0.95,
seeds,0.01,0.1,98,5,0,0,0.95,
blood_trans,0.01,0.1,399,20,0,0,0.95,
biodegrad,0.01,0.1,490,24,0,0,0.95,
breast,0.01,0.1,35,2,0,0,0.95,
ecoli,0.01,0.1,101,5,0,0,0.95,
fertility,0.01,0.1,62,3,0,0,0.95,
haberman,0.01,0.1,158,8,0,0,0.95,
liver,0.01,0.1,290,14,0,0,0.95,
ionosphere,0.01,0.1,158,8,0,0,0.95,
mammo,0.01,0.1,300,15,0,0,0.95,
parkinson,0.01,0.1,103,5,0,0,0.95,
seeds,0.01,0.1,98,5,0,0,0.95,
blood_trans,0.01,0.1,399,20,0,0,0.95,
biodegrad,0.3,0.1,488,23,2,1,0.95,
breast,0.01,0.1,35,2,0,0,0.95,
ecoli,0.01,0.1,101,5,0,0,0.95,
fertility,0.01,0.1,62,3,0,0,0.95,
haberman,0.01,0.1,158,8,0,0,0.95,
liver,0.01,0.1,290,14,0,0,0.95,
ionosphere,0.01,0.1,158,8,0,0,0.95,
mammo,0.01,0.1,300,15,0,0,0.95,
