file,TN,FN,FP,TP,Kappa,
blood_trans,130,50,73,150,NA,
biodegrad,348,18,3,222,NA,
breast,1,0,1,10,NA,
ecoli,108,0,0,40,NA,
ionosphere,99,1,13,70,NA,
parkinson,111,4,0,39,NA,
seeds,96,1,0,39,NA,
blood_trans,123,31,79,169,NA,
biodegrad,240,29,3,202,NA,
breast,42,7,0,0,NA,
ecoli,115,0,0,38,NA,
ionosphere,80,13,0,23,NA,
parkinson,103,3,0,40,NA,
seeds,98,0,1,42,NA,
blood_trans,145,64,57,126,NA,
biodegrad,234,19,9,212,NA,
breast,10,1,0,1,NA,
ecoli,120,0,0,39,NA,
ionosphere,80,7,0,40,NA,
parkinson,110,3,0,41,NA,
seeds,92,1,3,39,NA,
blood_trans,120,27,82,170,NA,
biodegrad,240,18,3,212,NA,
breast,35,0,0,2,NA,
ecoli,118,8,0,36,NA,
ionosphere,104,14,0,54,NA,
parkinson,104,6,0,37,NA,
seeds,101,0,1,39,NA,
blood_trans,131,9,72,191,NA,
biodegrad,240,24,3,203,NA,
breast,10,1,0,1,NA,
ecoli,118,3,0,37,NA,
ionosphere,86,5,14,60,NA,
parkinson,105,0,1,45,NA,
seeds,99,6,3,33,NA,
blood_trans,128,34,75,149,NA,
biodegrad,239,12,4,214,NA,
breast,1,0,1,10,NA,
ecoli,126,14,0,27,NA,
ionosphere,104,5,0,44,NA,
parkinson,110,3,0,37,NA,
seeds,98,0,1,38,NA,
blood_trans,154,56,48,136,NA,
biodegrad,239,13,4,214,NA,
breast,35,0,0,2,NA,
ecoli,50,5,0,15,NA,
ionosphere,96,7,1,60,NA,
parkinson,111,5,0,36,NA,
seeds,96,0,4,40,NA,
blood_trans,165,41,37,159,NA,
biodegrad,240,7,3,218,NA,
breast,10,1,0,1,NA,
ecoli,113,5,0,35,NA,
ionosphere,105,0,0,59,NA,
parkinson,112,2,0,43,NA,
seeds,95,0,3,40,NA,
blood_trans,177,62,26,138,NA,
biodegrad,241,9,2,216,NA,
breast,10,1,0,1,NA,
ecoli,114,11,0,32,NA,
ionosphere,101,9,1,44,NA,
parkinson,111,5,0,37,NA,
seeds,94,0,0,41,NA,
blood_trans,133,32,69,168,NA,
biodegrad,240,7,3,223,NA,
breast,35,0,0,2,NA,
ecoli,129,5,0,33,NA,
ionosphere,212,0,4,80,NA,
parkinson,65,1,0,22,NA,
seeds,94,0,2,43,NA,
fertility,30,2,0,3,NA,
liver,69,0,73,140,NA,
mammo,100,8,52,126,NA,
fertility,30,3,0,4,NA,
liver,106,25,35,100,NA,
mammo,87,4,65,130,NA,
fertility,48,8,0,6,NA,
liver,108,28,34,101,NA,
mammo,119,24,33,110,NA,
fertility,55,0,0,15,NA,
liver,47,1,95,130,NA,
mammo,291,26,57,124,NA,
fertility,30,5,0,0,NA,
liver,156,14,47,126,NA,
mammo,126,32,26,99,NA,
fertility,55,1,0,16,NA,
liver,101,50,40,85,NA,
mammo,122,25,29,112,NA,
fertility,30,2,0,8,NA,
liver,113,13,29,114,NA,
mammo,111,35,41,99,NA,
fertility,30,3,0,6,NA,
liver,63,0,79,140,NA,
mammo,318,17,31,133,NA,
fertility,30,5,0,0,NA,
mammo,315,17,41,133,NA,
fertility,30,2,0,5,NA,
haberman,77,11,3,18,NA,
haberman,80,24,0,10,NA,
haberman,77,4,3,40,NA,
haberman,76,20,4,27,NA,
haberman,80,20,0,16,NA,
haberman,123,21,2,30,NA,
haberman,110,7,9,38,NA,
haberman,74,10,6,42,NA,
haberman,79,8,1,34,NA,
haberman,80,21,0,14,NA,
blood_trans,168,18,34,182,0.9,
biodegrad,243,2,0,226,0.99,
breast,2,0,0,35,1,
ecoli,126,0,3,43,1,
fertility,30,1,0,8,0.97,
haberman,79,21,1,22,0.79,
liver,79,15,62,110,0.84,
ionosphere,212,0,4,80,1,
mammo,98,18,54,115,0.84,
parkinson,65,1,0,26,0.98,
seeds,96,0,0,42,1,
