file,TN,FP,FN,TP,Kappa,
blood_trans,176,13,223,7,0.93,
biodegrad,490,4,0,20,0.99,
breast,35,2,0,0,0.95,
ecoli,101,0,0,5,1,
fertility,62,1,0,2,0.98,
haberman,158,5,0,3,0.97,
liver,234,11,56,3,0.96,
ionosphere,158,2,0,6,0.99,
mammo,246,8,54,7,0.97,
parkinson,103,0,0,5,1,
seeds,98,1,0,4,0.99,
blood_trans,320,11,79,9,0.97,
biodegrad,489,1,1,23,1,
breast,35,2,0,0,0.95,
ecoli,101,0,0,5,1,
fertility,62,1,0,2,0.98,
haberman,158,3,0,5,0.98,
liver,290,14,0,0,0.95,
ionosphere,158,0,0,8,1,
mammo,279,5,21,10,0.98,
parkinson,103,0,0,5,1,
seeds,98,0,0,5,1,
blood_trans,399,20,0,0,0.95,
biodegrad,490,4,0,20,0.99,
breast,35,2,0,0,0.95,
ecoli,101,1,0,4,0.99,
fertility,62,1,0,2,0.98,
haberman,157,1,1,7,0.99,
liver,237,12,53,2,0.95,
ionosphere,158,4,0,4,0.98,
mammo,290,9,10,6,0.97,
parkinson,103,0,0,5,1,
seeds,98,1,0,4,0.99,
blood_trans,399,20,0,0,0.95,
biodegrad,490,17,0,7,0.97,
breast,35,2,0,0,0.95,
ecoli,101,0,0,5,1,
fertility,62,2,0,1,0.97,
haberman,157,4,1,4,0.98,
liver,289,10,1,4,0.97,
ionosphere,158,4,0,4,0.98,
mammo,273,7,27,8,0.98,
parkinson,103,0,0,5,1,
seeds,98,0,0,5,1,
blood_trans,375,13,24,7,0.97,
biodegrad,490,5,0,19,0.99,
breast,35,0,0,2,1,
ecoli,101,0,0,5,1,
fertility,62,1,0,2,0.98,
haberman,155,2,3,6,0.99,
liver,233,12,57,2,0.95,
ionosphere,158,3,0,5,0.98,
mammo,270,8,30,7,0.97,
parkinson,103,0,0,5,1,
seeds,98,0,0,5,1,
blood_trans,383,13,16,7,0.97,
biodegrad,490,6,0,18,0.99,
breast,35,2,0,0,0.95,
ecoli,101,0,0,5,1,
fertility,62,2,0,1,0.97,
haberman,158,4,0,4,0.98,
liver,110,7,180,7,0.94,
ionosphere,158,1,0,7,0.99,
mammo,277,7,23,8,0.98,
parkinson,103,0,0,5,1,
seeds,98,0,0,5,1,
blood_trans,396,13,3,7,0.97,
biodegrad,490,8,0,16,0.98,
breast,35,2,0,0,0.95,
ecoli,101,0,0,5,1,
fertility,62,1,0,2,0.98,
haberman,157,5,1,3,0.97,
liver,279,11,11,3,0.96,
ionosphere,158,1,0,7,0.99,
mammo,248,11,52,4,0.96,
parkinson,103,0,0,5,1,
seeds,98,0,0,5,1,
blood_trans,388,16,11,4,0.96,
biodegrad,490,2,0,22,1,
breast,35,2,0,0,0.95,
ecoli,101,1,0,4,0.99,
fertility,62,3,0,0,0.95,
haberman,153,1,5,7,0.99,
liver,280,11,10,3,0.96,
ionosphere,158,4,0,4,0.98,
mammo,282,8,18,7,0.97,
parkinson,103,0,0,5,1,
seeds,98,0,0,5,1,
blood_trans,376,10,23,10,0.97,
biodegrad,489,5,1,19,0.99,
breast,35,0,0,2,1,
ecoli,101,0,0,5,1,
fertility,61,1,1,2,0.98,
haberman,158,5,0,3,0.97,
liver,271,10,19,4,0.96,
ionosphere,158,4,0,4,0.98,
mammo,275,8,25,7,0.97,
parkinson,103,0,0,5,1,
seeds,98,0,0,5,1,
blood_trans,398,16,1,4,0.96,
biodegrad,490,4,0,20,0.99,
breast,35,2,0,0,0.95,
ecoli,101,0,0,5,1,
fertility,62,1,0,2,0.98,
haberman,158,4,0,4,0.98,
liver,287,9,3,5,0.97,
ionosphere,158,4,0,4,0.98,
mammo,282,9,18,6,0.97,
parkinson,103,0,0,5,1,
seeds,98,0,0,5,1,
