file,TN,FP,FN,TP,Kappa,
blood_trans,176,7,223,13,0.96,
biodegrad,187,6,303,18,0.97,
breast,0,0,35,2,NaN,
ecoli,15,5,86,0,0.75,
fertility,30,2,32,1,0.94,
haberman,77,6,81,2,0.93,
liver,143,10,147,4,0.93,
ionosphere,66,1,92,7,0.99,
mammo,148,7,152,8,0.95,
parkinson,20,0,83,5,1,
seeds,24,4,74,1,0.86,
blood_trans,191,12,208,8,0.94,
biodegrad,240,11,250,13,0.96,
breast,16,1,19,1,0.94,
ecoli,16,4,85,1,0.8,
fertility,32,1,30,2,0.97,
haberman,78,3,80,5,0.96,
liver,148,5,142,9,0.97,
ionosphere,63,3,95,5,0.95,
mammo,150,3,150,12,0.98,
parkinson,24,1,79,4,0.96,
seeds,20,3,78,2,0.87,
blood_trans,198,10,201,10,0.95,
biodegrad,231,9,259,15,0.96,
breast,17,1,18,1,0.94,
ecoli,48,4,53,1,0.92,
fertility,35,2,27,1,0.95,
haberman,76,6,82,2,0.93,
liver,144,7,146,7,0.95,
ionosphere,74,0,84,8,1,
mammo,156,7,144,8,0.96,
parkinson,20,1,83,4,0.95,
seeds,28,3,70,2,0.9,
blood_trans,197,13,202,7,0.94,
biodegrad,238,9,252,15,0.96,
breast,0,0,35,2,NaN,
ecoli,15,5,86,0,0.75,
fertility,30,1,32,2,0.97,
haberman,79,2,79,6,0.98,
liver,139,10,151,4,0.93,
ionosphere,55,1,103,7,0.98,
mammo,152,7,148,8,0.96,
parkinson,25,1,78,4,0.96,
seeds,23,4,75,1,0.85,
blood_trans,202,12,197,8,0.94,
biodegrad,199,5,291,19,0.98,
breast,6,0,29,2,1,
ecoli,24,4,77,1,0.86,
fertility,33,2,29,1,0.94,
haberman,76,5,82,3,0.94,
liver,144,8,146,6,0.95,
ionosphere,49,1,109,7,0.98,
mammo,151,9,149,6,0.94,
parkinson,21,1,82,4,0.95,
seeds,24,3,74,2,0.89,
blood_trans,180,10,219,10,0.95,
biodegrad,229,7,261,17,0.97,
breast,0,0,35,2,NaN,
ecoli,13,4,88,1,0.76,
fertility,32,2,30,1,0.94,
haberman,78,5,80,3,0.94,
liver,143,7,147,7,0.95,
ionosphere,70,1,88,7,0.99,
mammo,153,6,147,9,0.96,
parkinson,19,1,84,4,0.95,
seeds,27,3,71,2,0.9,
blood_trans,195,14,204,6,0.93,
biodegrad,249,7,241,17,0.97,
breast,0,0,35,2,NaN,
ecoli,19,5,82,0,0.79,
fertility,30,3,32,0,0.91,
haberman,75,7,83,1,0.91,
liver,142,7,148,7,0.95,
ionosphere,77,1,81,7,0.99,
mammo,152,7,148,8,0.96,
parkinson,22,0,81,5,1,
seeds,26,3,72,2,0.9,
blood_trans,199,9,200,11,0.96,
biodegrad,235,5,255,19,0.98,
breast,0,0,35,2,NaN,
ecoli,11,5,90,0,0.69,
fertility,29,1,33,2,0.97,
haberman,57,4,101,4,0.93,
liver,144,7,146,7,0.95,
ionosphere,69,0,89,8,1,
mammo,155,7,145,8,0.96,
parkinson,26,1,77,4,0.96,
seeds,23,5,75,0,0.82,
blood_trans,191,10,208,10,0.95,
biodegrad,186,4,304,20,0.98,
breast,4,0,31,2,1,
ecoli,16,5,85,0,0.76,
fertility,33,3,29,0,0.92,
haberman,77,4,81,4,0.95,
liver,144,8,146,6,0.95,
ionosphere,57,1,101,7,0.98,
mammo,146,9,154,6,0.94,
parkinson,19,1,84,4,0.95,
seeds,24,4,74,1,0.86,
blood_trans,215,9,184,11,0.96,
biodegrad,208,6,282,18,0.97,
breast,18,1,17,1,0.95,
ecoli,17,5,84,0,0.77,
fertility,33,0,29,3,1,
haberman,76,2,82,6,0.97,
liver,146,6,144,8,0.96,
ionosphere,56,2,102,6,0.97,
mammo,157,7,143,8,0.96,
parkinson,22,1,81,4,0.96,
seeds,22,4,76,1,0.85,
