file,TN,FN,FP,TP,Kappa,
blood_trans,194,0,205,20,1,
biodegrad,477,0,13,24,1,
breast,0,0,35,2,NaN,
ecoli,100,0,1,5,1,
fertility,54,0,8,3,1,
haberman,108,0,50,8,1,
liver,14,0,276,14,1,
ionosphere,138,0,20,8,1,
mammo,238,1,62,14,1,
parkinson,41,0,62,5,1,
seeds,52,0,46,5,1,
blood_trans,167,0,232,20,1,
biodegrad,477,0,13,24,1,
breast,34,0,1,2,1,
ecoli,26,1,75,4,0.96,
fertility,58,0,4,3,1,
haberman,45,0,113,8,1,
liver,19,0,271,14,1,
ionosphere,157,0,1,8,1,
mammo,211,0,89,15,1,
parkinson,43,0,60,5,1,
seeds,48,0,50,5,1,
blood_trans,316,4,83,16,0.99,
biodegrad,489,0,1,24,1,
breast,9,0,26,2,1,
ecoli,100,0,1,5,1,
fertility,32,0,30,3,1,
haberman,109,0,49,8,1,
liver,0,0,290,14,NaN,
ionosphere,158,0,0,8,1,
mammo,175,1,125,14,0.99,
parkinson,42,0,61,5,1,
seeds,45,0,53,5,1,
blood_trans,120,0,279,20,1,
biodegrad,477,0,13,24,1,
breast,32,0,3,2,1,
ecoli,31,0,70,5,1,
fertility,62,0,0,3,1,
haberman,72,1,86,7,0.99,
liver,32,0,258,14,1,
ionosphere,158,0,0,8,1,
mammo,216,1,84,14,1,
parkinson,41,0,62,5,1,
seeds,48,0,50,5,1,
blood_trans,200,1,199,19,1,
biodegrad,476,0,14,24,1,
breast,0,0,35,2,NaN,
ecoli,32,0,69,5,1,
fertility,58,0,4,3,1,
haberman,107,0,51,8,1,
liver,82,1,208,13,0.99,
ionosphere,155,0,3,8,1,
mammo,209,1,91,14,1,
parkinson,42,0,61,5,1,
seeds,52,1,46,4,0.98,
blood_trans,213,1,186,19,1,
biodegrad,477,1,13,23,1,
breast,35,0,0,2,1,
ecoli,100,0,1,5,1,
fertility,56,0,6,3,1,
haberman,72,0,86,8,1,
liver,46,1,244,13,0.98,
ionosphere,158,0,0,8,1,
mammo,239,0,61,15,1,
parkinson,95,0,8,5,1,
seeds,50,0,48,5,1,
blood_trans,325,5,74,15,0.98,
biodegrad,480,0,10,24,1,
breast,10,0,25,2,1,
ecoli,39,0,62,5,1,
fertility,59,0,3,3,1,
haberman,125,0,33,8,1,
liver,6,0,284,14,1,
ionosphere,135,0,23,8,1,
mammo,244,2,56,13,0.99,
parkinson,50,0,53,5,1,
seeds,46,1,52,4,0.98,
blood_trans,217,0,182,20,1,
biodegrad,490,0,0,24,1,
breast,0,0,35,2,NaN,
ecoli,31,0,70,5,1,
fertility,35,0,27,3,1,
haberman,58,0,100,8,1,
liver,21,0,269,14,1,
ionosphere,127,0,31,8,1,
mammo,32,1,268,14,0.97,
parkinson,45,0,58,5,1,
seeds,49,1,49,4,0.98,
blood_trans,250,2,149,18,0.99,
biodegrad,488,0,2,24,1,
breast,12,1,23,1,0.92,
ecoli,13,0,88,5,1,
fertility,60,0,2,3,1,
haberman,107,1,51,7,0.99,
liver,59,0,231,14,1,
ionosphere,156,0,2,8,1,
mammo,246,2,54,13,0.99,
parkinson,92,0,11,5,1,
seeds,52,2,46,3,0.96,
blood_trans,277,2,122,18,0.99,
biodegrad,470,0,20,24,1,
breast,0,0,35,2,NaN,
ecoli,36,0,65,5,1,
fertility,59,0,3,3,1,
haberman,93,0,65,8,1,
liver,25,0,265,14,1,
ionosphere,158,0,0,8,1,
mammo,195,0,105,15,1,
parkinson,40,0,63,5,1,
seeds,51,0,47,5,1,
blood_trans,281,2,118,18,0.99,
biodegrad,475,0,15,24,1,
breast,0,0,35,2,NaN,
ecoli,21,0,80,5,1,
fertility,60,0,2,3,1,
haberman,112,1,46,7,0.99,
liver,52,0,238,14,1,
ionosphere,19,0,139,8,1,
mammo,220,2,80,13,0.99,
parkinson,88,0,15,5,1,
seeds,51,0,47,5,1,
