file,cost,sigma,nu,TN,FN,FP,TP,Kappa,
blood_trans,0.01,0.22,0.05,182,8,217,12,0.96,
biodegrad,0.01,0.28,0.05,218,9,272,15,0.96,
breast,0.01,0.1,0.05,16,2,19,0,0.89,
ecoli,0.01,0.1,0.05,47,5,54,0,0.9,
fertility,0.01,0.4,0.05,32,0,30,3,1,
haberman,0.01,0.1,0.05,76,5,82,3,0.94,
liver,0.01,0.1,0.05,148,4,142,10,0.97,
ionosphere,0.01,0.46,0.05,64,3,94,5,0.96,
mammo,0.01,0.4,0.05,150,11,150,4,0.93,
parkinson,0.01,0.16,0.05,52,3,51,2,0.95,
seeds,0.01,0.58,0.05,50,4,48,1,0.93,
blood_trans,0.01,0.1,0.05,202,8,197,12,0.96,
biodegrad,0.01,0.34,0.05,181,7,309,17,0.96,
breast,0.01,0.1,0.05,17,2,18,0,0.89,
ecoli,0.01,0.46,0.05,48,4,53,1,0.92,
fertility,0.01,0.34,0.05,42,0,20,3,1,
haberman,0.01,0.1,0.05,80,4,78,4,0.95,
liver,0.01,0.28,0.05,146,5,144,9,0.97,
ionosphere,0.01,0.58,0.05,60,1,98,7,0.98,
mammo,0.01,0.28,0.05,150,10,150,5,0.94,
parkinson,0.01,0.34,0.05,49,1,54,4,0.98,
seeds,0.01,0.28,0.05,48,4,50,1,0.92,
blood_trans,0.01,0.1,0.05,206,11,193,9,0.95,
biodegrad,0.01,0.34,0.05,235,8,255,16,0.97,
breast,0.01,0.1,0.05,17,2,18,0,0.89,
ecoli,0.01,0.1,0.05,48,5,53,0,0.91,
fertility,0.01,0.34,0.05,35,0,27,3,1,
haberman,0.01,0.16,0.05,76,5,82,3,0.94,
liver,0.01,0.28,0.05,147,4,143,10,0.97,
ionosphere,0.01,0.46,0.05,62,5,96,3,0.93,
mammo,0.01,0.52,0.05,146,8,154,7,0.95,
parkinson,0.01,0.52,0.05,49,0,54,5,1,
seeds,0.01,0.1,0.05,47,5,51,0,0.9,
blood_trans,0.01,0.58,0.05,190,11,209,9,0.95,
biodegrad,0.01,0.28,0.05,180,8,310,16,0.96,
breast,0.01,0.52,0.05,19,1,16,1,0.95,
ecoli,0.01,0.1,0.05,48,5,53,0,0.91,
fertility,0.01,0.28,0.05,34,1,28,2,0.97,
haberman,0.01,0.1,0.05,79,5,79,3,0.94,
liver,0.01,0.58,0.05,148,2,142,12,0.99,
ionosphere,0.01,0.52,0.05,68,7,90,1,0.91,
mammo,0.01,0.16,0.05,146,11,154,4,0.93,
parkinson,0.01,0.52,0.05,42,0,61,5,1,
seeds,0.01,0.46,0.05,46,4,52,1,0.92,
blood_trans,0.01,0.22,0.05,204,6,195,14,0.97,
biodegrad,0.01,0.34,0.05,174,5,316,19,0.97,
breast,0.01,0.1,0.05,16,2,19,0,0.89,
ecoli,0.01,0.1,0.05,48,5,53,0,0.91,
fertility,0.01,0.16,0.05,29,0,33,3,1,
haberman,0.01,0.1,0.05,79,5,79,3,0.94,
liver,0.01,0.34,0.05,145,5,145,9,0.97,
ionosphere,0.01,0.58,0.05,55,4,103,4,0.93,
mammo,0.01,0.28,0.05,148,11,152,4,0.93,
parkinson,0.01,0.52,0.05,59,1,44,4,0.98,
seeds,0.01,0.34,0.05,47,4,51,1,0.92,
blood_trans,0.01,0.1,0.05,199,10,200,10,0.95,
biodegrad,0.01,0.22,0.05,248,6,242,18,0.98,
breast,0.01,0.1,0.05,16,2,19,0,0.89,
ecoli,0.01,0.1,0.05,47,5,54,0,0.9,
fertility,0.01,0.4,0.05,36,0,26,3,1,
haberman,0.01,0.1,0.05,76,6,82,2,0.93,
liver,0.01,0.46,0.05,152,2,138,12,0.99,
ionosphere,0.01,0.46,0.05,66,3,92,5,0.96,
mammo,0.01,0.1,0.05,150,12,150,3,0.93,
parkinson,0.01,0.34,0.05,49,2,54,3,0.96,
seeds,0.01,0.4,0.05,45,4,53,1,0.92,
blood_trans,0.01,0.22,0.05,199,10,200,10,0.95,
biodegrad,0.01,0.52,0.05,226,7,264,17,0.97,
breast,0.01,0.1,0.05,16,2,19,0,0.89,
ecoli,0.01,0.1,0.05,49,5,52,0,0.91,
fertility,0.01,0.52,0.05,21,0,41,3,1,
haberman,0.01,0.1,0.05,79,4,79,4,0.95,
liver,0.01,0.52,0.05,143,5,147,9,0.97,
ionosphere,0.01,0.52,0.05,71,4,87,4,0.95,
mammo,0.01,0.22,0.05,143,11,157,4,0.93,
parkinson,0.01,0.46,0.05,43,1,60,4,0.98,
seeds,0.01,0.4,0.05,44,4,54,1,0.92,
blood_trans,0.01,0.16,0.05,211,7,188,13,0.97,
biodegrad,0.01,0.28,0.05,215,9,275,15,0.96,
breast,0.01,0.1,0.05,17,2,18,0,0.89,
ecoli,0.01,0.1,0.05,48,5,53,0,0.91,
fertility,0.01,0.34,0.05,25,0,37,3,1,
haberman,0.01,0.1,0.05,80,4,78,4,0.95,
liver,0.01,0.46,0.05,147,5,143,9,0.97,
ionosphere,0.01,0.46,0.05,56,4,102,4,0.93,
mammo,0.01,0.4,0.05,147,9,153,6,0.94,
parkinson,0.01,0.34,0.05,57,0,46,5,1,
seeds,0.01,0.1,0.05,47,5,51,0,0.9,
blood_trans,0.01,0.22,0.05,177,11,222,9,0.94,
biodegrad,0.01,0.52,0.05,225,8,265,16,0.97,
breast,0.01,0.58,0.05,16,1,19,1,0.94,
ecoli,0.01,0.1,0.05,48,5,53,0,0.91,
fertility,0.01,0.1,0.05,31,1,31,2,0.97,
haberman,0.01,0.1,0.05,81,5,77,3,0.94,
liver,0.01,0.1,0.05,147,5,143,9,0.97,
ionosphere,0.01,0.58,0.05,72,3,86,5,0.96,
mammo,0.01,0.1,0.05,149,12,151,3,0.93,
parkinson,0.01,0.16,0.05,52,2,51,3,0.96,
seeds,0.01,0.34,0.05,45,4,53,1,0.92,
blood_trans,0.01,0.1,0.05,198,10,201,10,0.95,
biodegrad,0.01,0.46,0.05,176,5,314,19,0.97,
breast,0.01,0.1,0.05,18,2,17,0,0.9,
ecoli,0.01,0.1,0.05,49,5,52,0,0.91,
fertility,0.01,0.16,0.05,33,1,29,2,0.97,
haberman,0.01,0.1,0.05,77,6,81,2,0.93,
liver,0.01,0.34,0.05,144,6,146,8,0.96,
ionosphere,0.01,0.52,0.05,61,2,97,6,0.97,
mammo,0.01,0.1,0.05,148,9,152,6,0.94,
parkinson,0.01,0.28,0.05,58,1,45,4,0.98,
seeds,0.01,0.1,0.05,45,5,53,0,0.9,
