file,P0,P1,cost,sigma,nSV_0,nSV_1,TN,FN,FP,TP,Kappa,
blood_trans,0.1,12,0.1,0.5,4,399,0,0,399,20,NaN,
biodegrad,0.1,14,0.1,0.5,4,418,104,0,386,24,1,
breast,0.1,2,0.1,0.5,2,21,33,0,2,2,1,
ecoli,0.1,2,0.1,0.5,4,62,96,0,5,5,1,
fertility,0.1,4,0.1,0.5,3,62,8,0,54,3,1,
haberman,0.1,4,0.1,0.5,5,158,0,0,158,8,NaN,
liver,0.1,6,0.1,0.5,7,290,0,0,290,14,NaN,
ionosphere,0.1,6,0.1,0.5,3,158,9,0,149,8,1,
mammo,0.1,10,0.1,0.5,4,250,151,0,149,15,1,
parkinson,0.1,2,0.1,0.5,4,70,61,0,42,5,1,
seeds,0.1,2,0.1,0.5,4,56,63,0,35,5,1,
blood_trans,0.1,4,0.1,0.5,11,399,8,0,391,20,1,
biodegrad,0.1,8,0.1,0.5,6,381,175,0,315,24,1,
breast,0.1,2,0.1,0.5,2,25,30,0,5,2,1,
ecoli,0.1,2,0.1,0.5,3,61,82,0,19,5,1,
fertility,0.1,2,0.1,0.5,3,59,24,0,38,3,1,
haberman,0.1,2,0.1,0.5,8,158,50,0,108,8,1,
liver,0.1,4,0.1,0.5,9,276,43,0,247,14,1,
ionosphere,0.1,4,0.1,0.5,4,127,61,0,97,8,1,
mammo,0.1,4,0.1,0.5,5,177,181,0,119,15,1,
parkinson,0.1,2,0.1,0.5,4,63,61,0,42,5,1,
seeds,0.1,2,0.1,0.5,3,57,62,0,36,5,1,
blood_trans,0.1,8,0.1,0.5,6,393,109,0,290,20,1,
biodegrad,0.1,12,0.1,0.5,5,453,57,0,433,24,1,
breast,0.1,2,0.1,0.5,2,27,27,0,8,2,1,
ecoli,0.1,2,0.1,0.5,4,61,69,0,32,5,1,
fertility,0.1,2,0.1,0.5,3,54,42,0,20,3,1,
haberman,0.1,4,0.1,0.5,5,158,0,0,158,8,NaN,
liver,0.1,4,0.1,0.5,8,282,34,0,256,14,1,
ionosphere,0.1,4,0.1,0.5,4,154,44,0,114,8,1,
mammo,0.1,6,0.1,0.5,6,300,96,0,204,15,1,
parkinson,0.1,2,0.1,0.5,4,65,58,0,45,5,1,
seeds,0.1,2,0.1,0.5,3,55,64,0,34,5,1,
blood_trans,0.1,6,0.1,0.5,8,397,8,0,391,20,1,
biodegrad,0.1,10,0.1,0.5,4,332,238,0,252,24,1,
breast,0.1,2,0.1,0.5,2,26,30,0,5,2,1,
ecoli,0.1,2,0.1,0.5,4,78,59,0,42,5,1,
fertility,0.1,4,0.1,0.5,2,62,21,0,41,3,1,
haberman,0.1,4,0.1,0.5,5,158,0,0,158,8,NaN,
liver,0.1,2,0.1,0.5,14,242,129,0,161,14,1,
ionosphere,0.1,8,0.1,0.5,2,133,59,0,99,8,1,
mammo,0.1,6,0.1,0.5,5,174,168,0,132,15,1,
parkinson,0.1,2,0.1,0.5,4,64,59,0,44,5,1,
seeds,0.1,2,0.1,0.5,3,56,65,0,33,5,1,
blood_trans,0.1,4,0.1,0.5,14,399,0,0,399,20,NaN,
biodegrad,0.1,16,0.1,0.5,3,418,106,0,384,24,1,
breast,0.1,2,0.1,0.5,2,23,27,0,8,2,1,
ecoli,0.1,2,0.1,0.5,3,58,80,0,21,5,1,
