"V2","V3","V4","V5","V6","V7","V8","V9"
0.81,0.44,0.48,0.5,0.42,0.67,0.68,"1"
0.84,0.44,0.48,0.5,0.48,0.71,0.74,"1"
0.73,0.36,0.48,0.5,0.53,0.91,0.92,"1"
0.69,0.65,0.48,0.5,0.63,0.48,0.41,"1"
0.79,0.36,0.48,0.5,0.46,0.82,0.7,"1"
0.49,0.29,0.48,0.5,0.56,0.24,0.35,"0"
0.07,0.4,0.48,0.5,0.54,0.35,0.44,"0"
0.23,0.32,0.48,0.5,0.55,0.25,0.35,"0"
0.67,0.39,0.48,0.5,0.36,0.38,0.46,"0"
0.29,0.28,0.48,0.5,0.44,0.23,0.34,"0"
0.42,0.4,0.48,0.5,0.56,0.18,0.3,"0"
0.25,0.48,0.48,0.5,0.44,0.17,0.29,"0"
0.39,0.32,0.48,0.5,0.46,0.24,0.35,"0"
0.51,0.5,0.48,0.5,0.46,0.32,0.35,"0"
0.22,0.43,0.48,0.5,0.48,0.16,0.28,"0"
0.25,0.4,0.48,0.5,0.46,0.44,0.52,"0"
0.34,0.45,0.48,0.5,0.38,0.24,0.35,"0"
0.23,0.4,0.48,0.5,0.39,0.28,0.38,"0"
0.41,0.57,0.48,0.5,0.39,0.21,0.32,"0"
0.3,0.16,0.48,0.5,0.56,0.11,0.23,"0"
0.36,0.39,0.48,0.5,0.48,0.22,0.23,"0"
0.29,0.37,0.48,0.5,0.48,0.44,0.52,"0"
0.25,0.4,0.48,0.5,0.47,0.33,0.42,"0"
0.43,0.39,0.48,0.5,0.47,0.31,0.41,"0"
0.53,0.38,0.48,0.5,0.44,0.26,0.36,"0"
0.34,0.33,0.48,0.5,0.38,0.35,0.44,"0"
0.56,0.51,0.48,0.5,0.34,0.37,0.46,"0"
0.4,0.29,0.48,0.5,0.42,0.35,0.44,"0"
0.24,0.35,0.48,0.5,0.31,0.19,0.31,"0"
0.36,0.54,0.48,0.5,0.41,0.38,0.46,"0"
0.29,0.52,0.48,0.5,0.42,0.29,0.39,"0"
0.65,0.47,0.48,0.5,0.59,0.3,0.4,"0"
0.32,0.42,0.48,0.5,0.35,0.28,0.38,"0"
0.38,0.46,0.48,0.5,0.48,0.22,0.29,"0"
0.33,0.45,0.48,0.5,0.52,0.32,0.41,"0"
0.3,0.37,0.48,0.5,0.59,0.41,0.49,"0"
0.4,0.5,0.48,0.5,0.45,0.39,0.47,"0"
0.61,0.45,0.48,0.5,0.48,0.35,0.41,"0"
0.17,0.38,0.48,0.5,0.45,0.42,0.5,"0"
0.44,0.35,0.48,0.5,0.55,0.55,0.61,"0"
0.43,0.4,0.48,0.5,0.39,0.28,0.39,"0"
0.42,0.35,0.48,0.5,0.58,0.15,0.27,"0"
0.23,0.33,0.48,0.5,0.43,0.33,0.43,"0"
0.37,0.52,0.48,0.5,0.42,0.42,0.36,"0"
