"V1","V2","V3","V4","V5","V6","V7","V8"
13.2,13.66,0.8883,5.236,3.232,8.315,5.056,"1"
11.82,13.4,0.8274,5.314,2.777,4.471,5.178,"1"
10.74,12.73,0.8329,5.145,2.642,4.702,4.963,"1"
13.37,13.78,0.8849,5.32,3.128,4.67,5.091,"1"
11.26,13.01,0.8355,5.186,2.71,5.335,5.092,"1"
15.26,14.84,0.871,5.763,3.312,2.221,5.22,"0"
13.84,13.94,0.8955,5.324,3.379,2.259,4.805,"0"
16.14,14.99,0.9034,5.658,3.562,1.355,5.175,"0"
14.38,14.21,0.8951,5.386,3.312,2.462,4.956,"0"
14.69,14.49,0.8799,5.563,3.259,3.586,5.219,"0"
14.11,14.1,0.8911,5.42,3.302,2.7,5,"0"
16.63,15.46,0.8747,6.053,3.465,2.04,5.877,"0"
16.44,15.25,0.888,5.884,3.505,1.969,5.533,"0"
15.26,14.85,0.8696,5.714,3.242,4.543,5.314,"0"
14.03,14.16,0.8796,5.438,3.201,1.717,5.001,"0"
13.89,14.02,0.888,5.439,3.199,3.986,4.738,"0"
13.78,14.06,0.8759,5.479,3.156,3.136,4.872,"0"
13.74,14.05,0.8744,5.482,3.114,2.932,4.825,"0"
15.69,14.75,0.9058,5.527,3.514,1.599,5.046,"0"
14.7,14.21,0.9153,5.205,3.466,1.767,4.649,"0"
12.72,13.57,0.8686,5.226,3.049,4.102,4.914,"0"
14.16,14.4,0.8584,5.658,3.129,3.072,5.176,"0"
14.11,14.26,0.8722,5.52,3.168,2.688,5.219,"0"
15.88,14.9,0.8988,5.618,3.507,0.7651,5.091,"0"
12.08,13.23,0.8664,5.099,2.936,1.415,4.961,"0"
15.01,14.76,0.8657,5.789,3.245,1.791,5.001,"0"
13.02,13.76,0.8641,5.395,3.026,3.373,4.825,"0"
12.74,13.67,0.8564,5.395,2.956,2.504,4.869,"0"
13.94,14.17,0.8728,5.585,3.15,2.124,5.012,"0"
16.12,15,0.9,5.709,3.485,2.27,5.443,"0"
16.2,15.27,0.8734,5.826,3.464,2.823,5.527,"0"
17.08,15.38,0.9079,5.832,3.683,2.956,5.484,"0"
14.8,14.52,0.8823,5.656,3.288,3.112,5.309,"0"
13.54,13.85,0.8871,5.348,3.156,2.587,5.178,"0"
13.5,13.85,0.8852,5.351,3.158,2.249,5.176,"0"
15.5,14.86,0.882,5.877,3.396,4.711,5.528,"0"
15.11,14.54,0.8986,5.579,3.462,3.128,5.18,"0"
13.8,14.04,0.8794,5.376,3.155,1.56,4.961,"0"
15.36,14.76,0.8861,5.701,3.393,1.367,5.132,"0"
14.99,14.56,0.8883,5.57,3.377,2.958,5.175,"0"
14.79,14.52,0.8819,5.545,3.291,2.704,5.111,"0"
14.43,14.4,0.8751,5.585,3.272,3.975,5.144,"0"
15.78,14.91,0.8923,5.674,3.434,5.593,5.136,"0"
14.49,14.61,0.8538,5.715,3.113,4.116,5.396,"0"
